Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Vps37d	0.18	0.61	0.73	0.38	0.58	0.67
Pcsk4	0.03	0.11	0.1	0.41	0.53	0.49
A430078G23Rik	3.31	6.89	7.81	10.5	10.56	11.44
Vipas39	1.93	2.97	2.27	7.66	8.63	6.34
Mir3067	0	0	0	0	0	0
Dner	0.03	0.2	0.22	0.11	0.06	0.2
AK051424	0.07	0.2	0.07	0.38	0.87	0.57
DQ556396	0	0	0	0	0	0
Sec24d	2.17	2.91	2.55	5.09	6.32	6.98
Mir367	0	0	0	0	0	0
Phf3	2.43	3.05	3.46	5.79	10.63	9.35
9130209A04Rik	0	0	0	0.09	0	0
G6pc3	0.93	1.21	1	1.93	3.64	3.07
AK040231	0.02	0.34	0.01	0.15	0	0.27
Txn2	4.8	4.25	4.98	10.16	10.3	8.87
DQ689607	0	0	0	0	0	0
Ly6h	0.05	0.08	0.18	0.19	0	0.2
Vmn2r26	0	0	0.04	0.02	0	0
Tuba1b	58.23	63.31	71.09	111.5	122.99	118.2
Fam149a	0.99	1.47	1.4	1.18	2.02	1.45
Itm2b	25.92	33.62	31.98	83.01	157.6	114.53
Sik2	1.24	1.34	1.44	3.17	5.31	5.71
Map3k4	1.13	1.68	1.49	2.58	4.68	4.3
Stk3	1.92	1.83	2.84	3.46	7.03	4.59
9930111H07Rik	0.03	0	0.05	0	0	0
Prss23	2.16	2.72	2.72	10.84	19.77	13.45
Dis3	0.66	0.98	0.85	1.69	2.67	1.97
Cpd	2.65	3.09	4.69	8.87	20.05	16.69
Gm2115	0.01	0.17	0.1	0.28	0.21	0.21
Olfr851	0.02	0.23	0	0	0	0
DQ725059	0	0	0	0	0	0
Pycrl	0.36	1.12	0.61	2.26	2.09	1.57
Olfr1318	0	0	0	0	0	0
DQ072390	0	0	0	0	0	0
Smim20	1.38	1.34	1.1	3.96	4.72	4.02
Ccdc85b	0.77	0.66	0.61	1.22	2.38	1.86
Map7d3	0.15	0.26	0.42	0.27	0.38	0.24
DQ694998	0	0	0	0	0	0
BC089553	1.07	3.97	1.05	8.58	11.01	4.59
Slc4a1ap	1.28	1.86	1.63	3.38	6.19	5.15
Asap1	2.38	3.16	3.63	9.86	17.91	14.14
Magea7	0	0	0	0	0	0
AK016335	0	0.12	0.07	0.09	0	0
Exoc3l2	0.16	0.21	0.27	0.34	0.34	0.3
Olfr1010	0.07	0	0.13	0.06	0.19	0
Hmgxb3	1.08	1.35	1.32	2.73	5.96	4.79
DQ702089	0	0	0	0	0	0
Gm20219	0.09	0.08	0.33	0.38	0.73	1.11
Mrgprx2	0.05	0.07	0.01	0.05	0	0
Itgam	2.51	1.77	1.54	16.58	17.45	14.06
Ccdc163	0.2	0.03	0.76	0.72	1.88	1.45
DQ712012	0	0	0	0	0	0
DQ725705	0	0	0	0	0	0
Pard6a	0.07	0.55	0.3	0.81	1.2	0.85
Rnf183	0	0.72	0.33	0.23	0.19	0.18
Snora69	0	0	0	0	0	0
Olfr1310	0	0	0.04	0.06	0	0.09
Ece1	7.37	8.01	11.64	23.08	68.06	48.57
Evl	8.46	11.64	11.25	43.35	41.46	40.97
Wee2	0	0.04	0.01	0.05	0.05	0.03
DQ710600	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0.13
Nup85	1.19	1.16	0.9	1.64	3.27	1.83
Ngfr	0.11	0.08	0.28	0.26	0.24	0.18
Nat8f1	0.02	1.34	0.31	0.9	0.55	0.69
DQ700676	0	0	0	0	0	0
Csnk2a1	4.8	7.19	7.79	12.34	22.29	18.25
AB339715	0	0	0	0	0	0
BC041149	0.06	0.1	0.03	0.17	0.58	0.38
Spg11	1.16	0.87	0.98	2.7	4.7	3.92
AK084809	0.2	0.09	0	0.19	0.4	0.38
Padi1	0	0.03	0.14	0.06	0	0
Mia3	2.37	1.34	2.85	7.2	13.15	9.32
DQ692085	0	0	0	0	0	0
Mical3	0.96	1.18	1.59	2.01	7.95	7.07
Actl7b	0.14	0.19	0.44	0.15	0.17	0.29
Nhp2	2.4	1.86	1.98	3.16	2.28	4.04
AK005363	0	0	0.19	0	0	0
DQ561155	0	0	0	0	0	0
Ttc9	0.17	0.31	0.36	0.51	1.06	0.52
Muc4	0.4	0.32	0.58	1.62	12.61	10.46
AK165384	0.04	0.06	0.17	0.08	0.47	0.6
Itpripl1	0.43	0.93	0.79	2.31	3	2.37
Pcdhga2	0.02	0.03	0.01	0.17	0.64	0.56
DQ701436	0	0	0	0	0	0
Pold2	1.22	1.95	2.15	3.9	3.52	4.41
E030030I06Rik	0.67	1.76	2.51	2.71	1.55	1.94
2010109A12Rik	0	0	0	0	0	0
DQ712765	0	0	0	0	0	0
AK090363	0	0.02	0.06	0.29	0.64	0.44
Gm20556	0.1	0.03	0.15	0.22	0.07	0.13
Smok2a	0	0	0.1	0.03	0	0.09
4931430N09Rik	0	0	0.08	0.05	1.84	0.89
Tarsl2	0.13	0.32	0.47	0.63	0.59	0.71
AK162061	0.07	0.4	0.2	0.08	0.13	0.38
Adss	3.29	3.73	3.29	5.36	10.17	7.79
Mir7013	0	0	0	0	0	0
Gm11517	0	0	0.07	0.65	1.15	0.56
1810007D17Rik	0	0.16	0	0	0	0
Mir5622	0	0	0	0	0	0
Bcas3	1.44	1.65	2.69	4.11	10.6	9.18
Slc7a11	1.26	1.61	2.02	3.33	4.41	4.71
U83242	0	0	0	0	0	0
DQ719729	0	0	0	0	0	0
AF216290	0	0	0	0	0	0
DQ725504	0	0	0	0	0	0
Rasl10b	0.21	0.14	0.31	0.24	0.3	0.51
Mup7	0.09	0.11	0.22	0.99	0.26	0
Ppm1d	0.85	0.92	1.48	2.52	3.76	3.22
Gsk3b	3.41	4.19	5.02	7.53	14.85	12.72
Smc3	1.55	1.71	1.4	2.81	4.15	3.01
Rab40c	0.73	0.97	1.4	2.88	3.74	3.57
Micall1	0.92	1.16	1.16	2.99	5.73	4.77
Ppp1r3g	0.02	0.92	0.23	0.17	0.17	0.13
DQ694760	0	0	0	0	0	0
Ctla2a	10.93	21.59	26.61	50.07	52.62	48.8
Sap30bp	1.55	2	2.41	6.16	6.94	6.21
Gm10653	0.23	0.17	0.21	0.79	0.56	0.38
Gm15326	0.07	0.63	0.05	0.15	0.81	0.8
Cr2	0.2	0.23	0.15	0.59	1.35	0.81
DQ695332	0	0	0	0	0	0
AK153212	0.39	0	1.02	38.97	47.05	31.06
DQ563207	0	0	0	0	0	0
Prr9	0	0	0	0	0	0.07
Clock	3.33	4.01	2.76	4.8	12.4	8.72
Baz1a	2.35	1.79	2.17	6.52	9.24	7.76
Fxyd4	0.13	0	0.06	0	0.13	0.25
Cd200r3	1.02	3.45	4.66	8.77	7.55	11.53
Mir6969	0	0	0	0	0	0
Supv3l1	0.71	0.8	0.59	1.66	2.62	1.99
4930528A17Rik	0.02	0.57	0.3	0.07	0.19	0.07
DQ712273	0	0	0	0	0	0
Clspn	0.18	0.36	0.3	0.64	1.07	0.94
Pecam1	13.44	17.29	21.96	40.3	107.43	71.08
Ak7	0.53	0.17	0.11	0.5	1.05	1.47
Apol7b	0	0.06	0.13	0.22	0.19	0.24
Mfsd2b	0.06	0.1	0.18	0.18	0.7	0.87
DQ685301	0	0	0	0	0	0
Gm20098	0.05	0.22	0.08	0.1	0.09	0.07
Gfra4	0	0.21	0.19	0.2	0.18	0.35
4933415F23Rik	0	0.05	0.12	0.03	0.04	0
Mir7031	0	0	0	0	0	0
Snhg14	0.86	1.44	1.62	3.29	4.05	5.09
Rab5c	13.9	19.41	16.39	52.27	49.38	44.66
Olfr1245	0	0	0	0.05	0.08	0
DQ723160	0	0	0	0	0	0
DQ564199	0	0	0	0	0	0
DQ558374	0	0	0	0	0	0
DQ702260	0	0	0	0	0	0
A930016O22Rik	0.03	0.17	0.2	0.11	0.1	0.26
DQ558919	0	0	0	0	0	0
DQ694834	0	0	0	0	0	0
Mir3074-1	0	0	0	0	0	0
Mc1r	0.06	0.25	0.2	0.23	0.1	0.09
Sema4f	0.31	0.26	0.49	0.8	1.95	2.21
Ppan	1.18	1.55	0.83	1.79	3.74	2.66
Zxdc	1.02	1.24	1.52	2.87	5.72	4.89
Hbq1a	0	0	0	0.76	0	0
Nfkb1	5.74	6.09	6.73	19.27	28.83	25.1
Gm2788	0.07	0.1	0.11	0.12	0.24	0.18
4931406P16Rik	5.55	7.06	8.05	14.05	29.43	21.02
Gm29811	0.02	0.18	0.17	0.31	0.43	0.29
Lmbrd1	0.84	1.07	0.91	3.91	7.47	5.93
Lilr4b	10.84	6.74	9.15	60.98	78.41	68.11
Txndc12	2.04	1.63	2.79	6.57	7.69	5.63
Vmn1r203	0.23	0.04	0.13	0.06	0.25	0
Dmbx1	0.05	0.05	0.18	0.01	0	0.14
Nat8f3	0.3	0.29	0.7	1.22	1.55	0.99
DQ718653	0	0	0	0	0	0
Adprh	1.81	2.05	2.36	3.87	4.56	4.5
Lpl	6.93	12.06	11.32	26.08	28.36	27.65
Lce1b	0	0.13	0.29	0	0	0
C030007H22Rik	0	0	0	0	0	0
Zfp605	0.34	0.55	0.34	0.96	1.89	1.64
Enah	0.7	0.74	0.84	1.28	2.88	2.51
DQ704415	0	0	0	0	0	0
Gm19710	0	0	0	0	0.79	0.15
AK144265	0	0	0	0	0	0
DQ713375	0	0	0	0	0	0
Tcaf1	1.17	1.56	1.68	1.54	4.11	2.77
Zfp831	0.27	0.24	0.23	0.77	1.01	0.64
Olfr273	0	0	0.04	0	0.19	0
BC147413	0.01	0.03	0.04	0.36	1.9	1.93
DQ695082	0	0	0	0	0	0
Btbd18	0.05	0.2	0.13	0.15	0.28	0.17
Emc3	2.55	3.46	3.49	9.4	15.88	12.96
Thyn1	1.13	2.24	0.61	2.13	2.68	3.11
AA986860	1.16	1.4	1.82	4.6	10.48	9.02
DQ562079	0	0	0	0	0	0
Car13	1.79	1.68	1.63	6.55	6.88	6.73
Slc43a3	5.42	7.63	10.14	20.35	48.86	39.22
9130015L21Rik	0	0	0	0	0	0
AK016175	0	0.03	0	0.16	0.25	0.08
Ascc2	0.65	1.39	1.97	4.41	5.99	4.28
4930563E22Rik	0.05	0.02	0	0.04	0	0
AB339136	0	0	0	0	0	0
Bmp15	0.02	0.03	0.04	0.05	0.07	0.02
Fopnl	2.22	1.72	2.2	2.97	3.18	2.65
Grk4	8.07	19.72	19.6	33.82	49.69	55.43
Snord100	0	0	0	0	0	0
Marcksl1	8.82	12.06	9.69	29.31	27.99	31.27
Nfatc2ip	0.36	0.61	0.94	1.5	2.91	2.37
AB335713	0	0	0	0	0	0
Pigh	0.34	1.06	0.42	1.86	2.51	2.21
Colq	0.3	0.33	0.67	0.59	2.6	1.02
Pnlip	0	0	0	0.18	0	0
AK078283	0.1	0.03	0	0.32	1.07	0.84
Slc5a11	0.01	0.01	0.04	0	0	0
DQ710890	0	0	0	0	0	0
Smoc1	0.07	0.2	0.15	0.13	0.2	0.39
DQ724387	0	0	0	0	0	0
Slc39a4	0.39	0.37	0.98	1.63	7.3	6.45
Zfp607a	0.27	0.39	0.2	0.72	1.91	0.94
B020004J07Rik	0.03	0.03	0.09	0.03	0.04	0
Smarcb1	3.24	3.98	5.63	9.69	13.28	10.64
DQ706373	0	0	0	0	0	0
Olfr780	0	0.43	0.13	0	0	0
DQ724381	0	0	0	0	0	0
Apoc2	1.16	1.65	0.42	4.38	1.65	4.12
Dcun1d1	2.13	2.49	1.48	4.01	5.7	4.26
DQ692748	0	0	0	0	0	0
Dmrt1	0.17	0.25	0.05	0.08	0	0.16
Gsdmcl1	0.04	0.18	0.03	0.05	0.15	0
Dmpk	1.29	1.4	1.46	1.67	5.47	3.45
Pkmyt1	0.23	0.32	0.32	1.32	1.69	1.28
AK039595	0	0	0.89	0.38	0	0
Ndufaf7	0.83	0.84	1.61	3.68	3.42	4.81
Anp32b	19.27	20.02	21.61	26.76	40.02	31.22
DQ707297	0	0	0	0	0	0
Ptbp2	0.43	0.46	0.48	1.77	10.28	5.84
4930523C07Rik	7.57	7.12	1.45	9.11	13.25	16.22
Spink4	1.91	0.47	0.32	0.44	0.69	0.33
Rgr	0	0.06	0.1	0.06	0	0.04
Mfsd12	0.6	0.68	0.49	4.12	4.72	5.08
Tfdp1	2.55	3.06	2.33	5.54	7.39	7.37
Rdh16	0.02	0.11	0.04	0.03	0	0.03
Scarna8	0	0	0	0	0	0
A530006G24Rik	0	0.05	0	0	0.06	0
Th	0	0.11	0.02	0.03	0	0
Pccb	1.37	1.77	1.51	1.68	3.1	1.8
AK020060	0.21	0.15	0.17	0.23	0.17	0.3
Nwd2	0.09	0.08	0.11	0.15	0.27	0.2
Gm5089	0.03	0	0.25	0.02	0.04	0.04
Slc35e2	0.36	0.53	0.67	2.47	3.57	3.66
DQ727314	0	0	0	0	0	0
Malat1	59.21	44.62	67.98	391.59	2749.27	2248.84
Olfr916	0	0.04	0	0.12	0	0
DQ702332	0	0	0	0	0	0
Slfn10-ps	0.15	0.67	0.42	3.86	7.72	5.66
Gm7550	0	0	0.08	0.11	0	0
DQ722395	0	0	0	0	0	0
Acaa2	3.09	4.53	3.59	6.47	6.49	4.89
BC024386	0	0.15	0.28	0.35	0.31	0.1
BC067249	0	0.09	0	0	0.23	0.22
Rab42	0.22	0	0.48	0.17	0	0
DQ552508	0	0	0	0	0	0
4930546K05Rik	0.02	0.13	0.03	0.01	0.02	0.04
n-R5s146	0	0	0	0	0	0
Smpd3	0.06	0.08	0.24	0.11	0.41	0.53
Mir2861	0	0	0	0	0	0
AK006909	0	0	0	0	0	0
Bbs9	0.88	1.11	0.94	1.48	4.86	2.93
Bcas1os2	0	0	0	0	0	0
DQ552594	0	0	0	0	0	0
BC096037	0.15	0.02	0.05	0.22	0.27	0.19
Hist1h4k	35.31	49.81	31.14	67.5	65.86	51.28
DQ550609	0	0	0	0	0	0
Igdcc3	0.1	0.05	0.02	0.08	0.17	0.12
AB339101	0	0	0	0	0	0
Wt1	0.14	0.38	0.42	0.25	0.27	0.28
Mok	0	0.13	0.22	0.4	0.37	0.76
Scgb1a1	452.82	476.01	566.76	922.87	1576.6	1643.25
Wdr64	0.01	0	0.01	0.02	0	0
Dsg2	0.11	0.14	0.18	0.15	0.53	0.51
Plekhs1	0	0.21	0.02	0.14	0.06	0.13
Halr1	0.02	0.08	0.12	0.15	0.18	0.09
App	19.66	23.79	27.88	49.25	117.14	82.25
Umad1	0.55	1.21	0.54	1.51	2.58	2.1
AK038711	0	0	0	0	0	0
DQ704842	0	0	0	0	0	0
DQ705208	0	0	0	0	0	0
Desi2	1.37	1.23	1.08	1.56	4.13	3.32
DQ699272	0	0	0	0	0	0
Spag17	0.07	0.07	0.13	0.18	0.73	0.76
AK087719	0.14	0.59	0.45	0.33	0.34	0.42
Lrrc74b	0.03	0.1	0.12	0.11	0.37	0.43
Ankrd13c	3.63	4.42	5	8.04	13.05	11.99
AK039166	0.07	0.08	0.16	0.32	0.5	0.87
Cdc45	0.15	0.3	0.53	0.66	0.82	0.61
Lingo4	0.01	0.1	0.29	0.18	0.1	0.28
Fam20c	0.53	0.41	0.42	2.06	2.34	1.73
Kir3dl1	0.02	0	0	0	0	0
Mir129-2	0	0	0	0	0	0
Pdlim4	0.95	1.15	0.41	1.09	0.79	1.2
Clstn1	2.19	3.51	4.57	6.69	20.28	14.32
Guca2b	0.21	0.22	0.16	0.22	0	0.17
Ttn	0.19	0.44	0.78	0.42	1.64	1.52
Vmn1r20	0	0	0	0	0	0
Rspo1	0.51	0.65	0.76	1.12	1.83	1.41
Rims4	0	0.05	0	0	0	0
Kcna2	0.42	0.48	0.44	0.32	0.58	0.56
DQ542776	0	0	0	0	0	0
Gm6034	0.01	0.08	0.27	0.23	0.57	0.81
Zc3h8	0.02	0.02	0.09	0.4	0.67	0.31
1700041A01Rik	0	0	0	0	0	0.37
Cds2	1.99	2.47	2.28	5.47	13.14	10.92
Ssrp1	4.03	4.52	3.94	9.64	10.39	8.66
Rfx5	1.46	1.31	1.63	4.39	8.57	7.58
2310035C23Rik	1.07	0.92	1.32	3.28	7.98	5.38
Sult1c1	0.09	0.09	0.19	0	0.05	0.16
DQ696446	0	0	0	0	0	0
4933421I07Rik	0.03	0	0.05	0.04	0	0.18
AA536875	0.01	0.24	0	0.14	0	0.07
Pinlyp	0	0.11	0	0	0	0
Nle1	0.17	0.4	0.35	1.29	2.31	1.97
Gpr132	1.06	0.83	0.39	4.29	6.2	5.18
Dmtf1	1.6	1.57	2.01	4.49	13.26	11.08
Parpbp	0.1	0.04	0.21	0.26	0.12	0.29
Alkbh3	1.34	1.31	1.41	3.3	6.64	4.63
Ccrl2	6.98	6.18	3.72	18.39	30.83	20.28
Tmem5	0.68	1.91	1.27	2.31	5.25	2.76
KY467971	0	0	0	0	0	0
DQ540779	0	0	0	0	0	0
DQ705769	0	0	0	0	0	0
Tubb2b	0.29	1.12	0.43	1.59	1.18	1.35
1700128F08Rik	3.03	8.11	4.7	6.44	11.79	11.76
Hspb3	0	0.05	0.38	0.15	0	0.12
Olfr605	0.06	0.35	0.08	0	0	0
Xlr4b	0.59	0.25	0.39	0.73	1.72	0.98
Ugcg	2.29	2.86	2.05	9.73	16.74	13.41
0610037L13Rik	2.09	2.37	1.22	3.24	7.98	4.21
Aven	0.78	0.64	1.87	2.1	1.75	2.5
Chat	0.08	0.12	0.2	0.24	0.1	0.11
Grm1	0.01	0.08	0.12	0.11	0.02	0.12
Washc3	2.68	2.65	2.78	8.16	9.6	6.74
Ano4	0.14	0.12	0.06	0.07	0.04	0.04
Apof	0	0.12	0.06	0.11	0.04	0.32
Slc26a10	0	0.03	0.08	0.02	0.07	0
Eif3m	7.13	8.27	7.68	13.01	14.95	12.28
Notch3	0.63	0.89	0.89	1.32	8.77	5.42
Zfp580	1.43	2.01	1.87	1.97	2.5	2.84
Naglu	0.97	1.39	0.98	4.24	5.86	4.57
DQ551951	0	0	0	0	0	0
BC027685	0.13	0.34	0	0.35	0.4	0.13
Gm597	0.04	0	0.18	0.07	0.05	0.08
AK019743	0	0.11	0.47	0.11	0	0.08
DQ695017	0	0	0	0	0	0
Bag6	5.19	8.29	7.24	18.92	24.49	21.61
DQ693303	0	0	0	0	0	0
DQ703660	0	0	0	0	0	0
Camk2g	1.28	1.15	1.63	3.58	5.74	4.91
Tubg2	0.06	0.3	0.16	0.26	0.36	0.44
Lilra5	0.63	0.9	0.52	1.85	1.9	1.47
Mex3b	0.26	0.26	0.36	0.62	0.6	0.57
Arhgef26	1.87	2.17	2.23	4.76	12.27	9.01
Esco2	0.32	0.18	0.14	0.57	0.62	0.74
Scp2	7.86	9.78	6.91	13.64	19.39	17.07
Sephs2	2.71	2.03	1.6	3.55	4.95	2.91
Abcb11	0	0.04	0.02	0.04	0.08	0.05
Sbno1	2.8	2.33	3.26	7.33	13.87	10.1
Gm10440	0.01	0.19	0.05	0.04	0.03	0.11
DQ701717	0	0	0	0	0	0
DQ720899	0	0	0	0	0	0
AK088578	0.06	0.23	0.27	0.6	0.85	0.57
Rps15a-ps4	1.52	0.18	0.45	0.59	1.33	0.57
Gm16159	0	0.08	0.09	0	0	0
DQ557185	0	0	0	0	0	0
