Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Gm6607	1	4	0	0	5	2
Sntg1	4	9	22	1	4	4
Myo15	30	18	28	25	16	18
DQ700040	0	0	0	0	0	0
DQ715522	0	0	0	0	0	0
Mucl1	0	0	0	0	0	0
Serpina1e	0	0	0	0	0	0
Evx1os	4	12	8	11	2	2
KY467714	12	5	15	25	36	29
LOC110008574	0	0	0	0	1	0
Gm13544	16	1	1	4	1	1
Alg12	48	21	47	57	82	62
Dvl2	130	87	85	160	114	136
Olfr1350	0	0	3	1	0	4
Dbf4	76	90	22	70	50	45
Rpa3	52	40	24	26	28	22
FJ541107	0	0	0	0	0	0
Lonrf3	152	133	64	82	90	117
DQ724543	0	0	0	0	0	0
Timeless	241	155	124	334	346	323
Tmem132d	24	38	12	30	43	56
Erdr1	1747	569	1484	950	1906	2289
9630013A20Rik	3	0	3	8	39	29
Vmn1r195	6	5	3	2	1	2
Mdh2	719	511	380	805	440	367
Zfp971	269	180	141	162	260	197
DQ717308	0	0	0	0	0	0
AK084795	4	0	4	7	8	7
Ubash3b	164	107	115	307	220	177
Vmn1r118	0	17	0	5	3	3
Wipf3	97	50	74	46	65	62
Arrdc4	1285	915	806	839	863	547
6D	0	0	0	1	0	0
G3bp1	805	708	593	771	687	691
Gm2027	4	31	17	13	11	13
Ankrd13b	43	61	48	53	69	45
Dynlt3	782	478	448	360	386	292
Pafah1b1	1693	1328	998	1353	1630	1381
Vsig1	3	2	3	3	1	1
4930459C07Rik	3	0	5	1	0	2
Samd4	768	493	488	221	342	246
1500011B03Rik	55	66	42	76	48	43
E330020D12Rik	288	335	391	305	234	245
Fam167b	7	7	12	7	7	9
Sp9	13	26	32	13	2	4
AK029192	3	25	18	33	189	93
Mir7668	0	0	0	0	0	0
DQ719737	0	0	0	0	0	0
DQ569645	0	0	0	0	0	0
AK004434	31	0	0	7	0	0
Gm14308	595	470	316	326	598	454
DQ564349	0	0	0	0	0	0
Mcrip2	5	10	5	6	1	1
AB345468	0	0	0	0	0	0
Metrn	56	99	58	67	37	31
AK156992	0	0	5	0	0	0
DQ684713	0	0	0	0	0	0
DQ562368	0	0	0	0	0	0
DQ565516	0	0	0	0	0	0
Rpl14	1777	1174	953	1127	515	418
4930401C15Rik	0	2	0	3	2	0
H2bfm	2	9	20	4	0	0
Vmn1r38	0	0	0	2	0	0
Arrdc3	831	442	382	633	934	837
Dtwd2	56	49	60	42	26	28
Gm14023	6	14	4	11	17	16
Krt10	6	13	8	3	3	4
Aspg	16	2	19	10	15	15
Apex1	134	60	65	89	55	49
Slain1	55	48	57	93	64	60
AK047323	0	3	1	0	0	0
Nkx6-3	2	13	8	1	4	2
Arrdc5	6	1	6	1	0	0
Gm7977	0	1	1	1	0	0
Fbxw22	4	0	2	0	0	0
Arl8b	922	585	539	806	665	651
Dtwd1	29	32	36	22	32	13
Commd6	127	47	70	73	51	51
D930048N14Rik	2	10	24	19	43	28
Wdr92	272	147	172	203	210	183
Olfr1178	2	1	0	1	0	0
Fgf5	8	1	7	4	1	3
Klhdc7b	0	12	1	1	0	0
AK207688	0	0	0	0	0	0
Hs3st6	13	6	9	5	3	5
Ncapg2	103	101	83	108	102	88
Tfip11	335	184	180	277	243	203
Thap3	18	28	36	40	36	36
Mir302b	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0
Ccdc180	52	5	34	64	86	105
Rbmxl2	0	8	0	7	2	10
Prkcd	1927	1152	923	1563	1171	1162
Prkab2	96	63	40	88	127	103
DQ546919	0	0	0	0	0	0
Cyp2j5	1	0	0	4	1	5
Gm17333	6	11	17	57	16	29
Drg1	310	238	151	264	247	224
Mrpl42	161	188	106	109	85	56
6330415B21Rik	0	7	9	7	4	2
Rsph3a	249	137	87	110	102	64
Cmtm4	389	214	221	150	281	236
Cct3	452	318	264	402	331	270
Ccny	1286	750	746	704	733	620
Grin3a	42	13	36	12	21	16
Sox4	698	735	562	394	538	371
DQ696821	0	0	0	0	0	0
DQ691275	0	0	0	0	0	0
Gm4302	0	29	10	10	0	5
Olfr96	4	0	5	2	1	1
Olfr1390	0	0	0	0	1	0
DQ713738	19	4	1	4	5	1
DQ554809	0	0	0	0	0	0
AB339720	0	0	0	0	0	0
Spata46	1	0	0	1	8	7
AK020768	33	35	49	108	197	116
DQ691962	0	0	0	0	0	0
AK053147	3	3	1	1	4	7
Hmg20b	213	190	176	213	290	197
Elac1	164	125	62	101	128	110
2300002M23Rik	0	0	0	2	0	1
Olfr813	0	0	0	0	0	0
AI507597	3	5	9	8	2	3
Loxl3	83	22	53	79	112	69
Pde8a	142	104	77	156	141	118
8430430B14Rik	0	0	2	1	0	0
Med31	65	27	19	41	19	22
Zfp819	8	1	4	3	3	4
Ccdc154	4	4	4	3	0	3
Tfb1m	38	29	13	33	39	20
Gm9047	0	0	3	1	2	1
AK076771	0	1	0	0	0	0
Ska3	26	10	12	10	10	16
DQ540348	0	0	0	0	0	0
4930503E24Rik	0	0	0	0	0	0
Rnf113a2	65	21	45	41	36	22
Zdhhc13	119	56	44	102	125	97
A2m	8	3	5	3	7	2
Tubgcp6	111	144	149	177	317	236
Abi2	243	266	192	163	292	182
2310039L15Rik	20	17	13	24	16	9
Olfr31	1	0	4	3	0	0
DQ550304	0	0	0	0	0	0
2700049A03Rik	65	49	31	104	168	97
DQ719413	0	0	0	0	0	0
5430431A17Rik	1	0	1	2	9	10
Scn9a	5	23	19	10	1	1
Rnf187	890	613	497	522	513	404
AK032489	4	5	10	8	6	11
DQ710893	70	52	111	84	158	122
Wnk4	54	14	62	46	106	89
DQ560459	0	0	0	0	0	0
Lvrn	15	5	2	0	1	7
Gm3317	0	2	2	4	6	4
Nkx2-3	10	15	8	5	4	2
Mtpn	2373	1556	1347	2218	1872	1586
Plat	65	53	53	152	203	146
Pfdn1	132	92	51	104	69	74
DQ691935	0	0	0	0	0	0
DQ702922	0	0	0	0	0	0
Sgsm3	101	90	79	132	138	155
Fcf1	165	115	172	207	176	147
Sox5	139	110	92	92	179	119
DQ720523	0	0	0	0	0	0
Dchs1	116	128	172	187	455	249
DQ714217	0	0	0	0	0	0
Gprc5d	2	1	9	2	3	1
Ninj2	0	1	0	1	0	1
Gbp11	262	130	154	610	636	520
DQ541037	0	0	0	0	0	0
Agt	9	1	10	4	4	5
AK018352	4	2	3	4	20	23
Sharpin	254	183	182	418	297	259
AK135986	3	1	0	5	9	6
Srrm4os	18	8	4	6	0	2
4833420G17Rik	173	99	85	173	274	172
D630003M21Rik	38	33	39	11	18	11
Olfr1232	0	1	6	0	0	0
KC202843	0	0	0	0	1	0
Crh	0	0	2	1	1	3
Wls	398	185	216	294	498	334
AK172490	17	2	18	27	37	31
AK053727	10	22	18	13	29	19
DQ716573	0	0	0	0	0	0
DQ562730	0	0	0	0	0	0
DQ692087	0	0	0	0	0	0
Tmem265	30	27	17	34	29	21
Klc4	114	73	92	71	93	52
Cnnm3	175	63	110	150	194	148
DQ710664	0	0	0	0	0	0
Krt73	1	7	6	1	1	4
Krtap27-1	0	0	3	1	0	1
BC048679	0	0	0	1	0	0
Ankrd60	1	0	1	0	0	2
Cxcl3	40	34	30	55	31	34
Ninl	2	13	20	11	44	26
Maoa	312	316	296	240	274	220
9330151L19Rik	9	0	13	27	60	62
Bora	202	217	216	265	242	263
Stk31	0	1	0	3	0	0
AB904934	21	20	12	30	35	28
AK142217	18	10	8	11	34	26
DQ696512	0	0	0	0	0	0
Cyp2c50	0	3	1	4	0	0
AB346747	0	0	0	0	0	0
Slc44a5	3	5	5	3	4	3
1110025L11Rik	2	0	0	2	1	0
DQ563927	0	0	0	0	0	0
1700030J22Rik	15	23	26	30	13	12
Gm3230	10	11	5	8	10	3
Gab3	6	23	17	40	40	41
Upf3a	256	125	133	134	166	150
Gm3435	32	29	74	56	28	61
AK142999	0	0	0	0	0	0
Gm12130	5	5	2	2	1	0
BC046251	4	16	7	8	0	0
Spast	287	172	194	216	260	200
Kantr	70	125	64	98	142	117
Nat8f4	0	7	9	5	6	8
Mospd4	1	0	19	2	4	1
DQ544519	0	0	0	0	0	0
Myl7	8	12	11	2	19	10
DQ708403	0	0	0	0	0	0
Cnih3	3	3	15	5	3	0
Mfsd14b	273	166	154	393	557	380
Dnah3	16	2	21	19	99	98
Rplp0	4215	3429	2237	2733	1961	1701
AK017104	7	5	0	11	11	9
DQ542984	0	0	0	0	0	0
AB350795	0	0	0	0	0	0
Mir1958	0	0	0	0	0	0
Nop53	744	583	671	865	629	551
AB351778	0	0	0	0	0	0
Gcdh	68	25	50	76	37	47
Impg1	1	0	0	0	3	2
Ptpn23	554	245	358	525	636	551
DQ724512	0	0	0	0	0	0
DQ692123	0	0	0	0	0	0
AK008432	0	4	0	0	0	0
Ttc36	4	20	9	3	4	3
Ilf2	468	403	683	981	579	864
Mapk10	36	15	32	10	13	19
AF479020	0	0	0	0	3	0
Trp53tg5	0	2	2	0	0	1
Pxmp2	21	2	12	22	21	9
Copg1	698	506	584	796	710	588
Timm23	335	378	221	501	411	316
Z12254	0	0	0	0	0	0
Olfr781	0	0	0	2	0	1
Snora33	0	1	0	0	0	0
Angel2	386	303	199	274	306	225
Rnf214	292	248	201	318	352	324
Mt1	294	197	187	240	154	146
Sbds	229	162	208	191	188	150
Cyp2c53-ps	0	0	0	0	0	0
Tm2d2	151	137	84	139	148	106
AK204799	0	0	0	0	0	0
Ica1	109	91	118	141	216	175
DQ561380	0	0	0	0	0	0
Amd2	63	42	20	13	29	32
BC139451	0	0	0	0	0	0
Pld6	2	6	0	3	10	6
Snx8	160	125	110	151	169	128
Cyth2	121	165	116	152	189	170
TRNA_Leu	0	0	0	0	0	0
Csf2ra	347	150	173	585	459	536
Arpp21	10	20	35	8	2	9
AK034519	13	3	1	7	2	3
Ttc7b	324	196	219	264	325	239
Cst13	0	3	0	0	0	1
AK141780	9	13	16	26	120	88
Nxph2	6	5	2	4	0	4
Olfr829	0	4	5	0	1	2
Snora65	0	0	1	0	0	1
DQ549318	0	0	0	0	0	0
1700013F07Rik	1	2	8	4	3	5
Rhbdl3	41	34	41	26	33	24
Stmn3	1	0	3	3	3	1
Nat14	25	3	29	4	9	19
AK184064	0	1	0	16	8	2
Eda	8	16	30	24	21	18
Acad12	71	16	32	47	34	30
Mir6994	0	0	0	0	0	0
DQ716622	0	0	0	0	0	0
Smchd1	644	545	466	1189	1241	979
AK079263	56	18	69	55	70	38
Immt	333	237	223	324	363	287
Sec63	589	367	356	473	671	497
Ccl27b	0	4	0	0	0	0
Mir21c	0	0	0	0	0	0
AK036547	29	15	34	24	17	23
Engase	45	14	37	32	28	27
A730017L22Rik	95	126	142	134	112	139
AB341208	0	0	0	0	0	0
Apba3	137	99	69	185	130	108
Trbv4	0	0	0	0	1	0
Mir124a-1hg	8	15	10	8	1	1
4930567J20Rik	0	1	0	1	0	0
Dcaf11	350	252	259	330	312	267
DQ695801	0	0	0	0	0	0
Atp5l	449	255	210	322	163	169
Gprin2	4	4	8	1	2	2
KY467550	0	0	0	0	1	0
Atr	202	121	134	183	308	203
Mbl1	0	2	0	3	6	5
Mir877	0	0	0	0	0	0
DQ547948	0	0	0	0	0	0
Elob	628	445	433	512	296	279
Pramel1	5	2	4	8	0	0
Mettl18	16	6	10	15	12	8
Bod1l	760	542	559	808	1142	845
Tfe3	488	400	413	890	676	671
DQ690109	0	0	0	0	0	0
Cog8	144	187	121	333	271	242
AK132687	179	276	236	203	57	146
AK133078	0	1	7	0	0	0
Rab24	75	52	52	77	97	68
Brf1	192	204	148	213	303	259
Gm6568	0	1	0	0	1	1
DQ722332	0	0	0	0	0	0
Tap2	359	218	256	1181	1883	1655
Rps10	2925	1926	1694	2093	1153	1028
AF374167	0	0	0	0	0	0
Psmc6	325	184	184	234	231	179
Ubxn2a	404	325	231	235	264	194
DQ689368	0	0	0	0	0	0
Acaa1a	213	182	92	196	194	161
DQ696923	0	0	0	0	0	0
Cdh16	12	22	28	15	13	5
Cabp7	0	0	0	2	0	0
Hlx	381	364	275	407	306	304
Sval2	0	0	0	0	0	0
Cyp2d13	5	17	6	10	1	4
DQ690939	0	0	0	0	0	0
Zbtb40	100	71	73	113	202	142
KY467912	0	4	0	1	7	1
Rngtt	168	84	102	146	211	195
Rab2b	125	123	122	118	166	119
Synj2bp	755	592	580	904	954	1109
Magi2	117	67	45	20	45	31
Cyp2c55	6	5	6	0	1	0
DQ726224	0	0	0	0	0	0
DQ559831	0	0	0	0	0	0
5830428M24Rik	3	24	10	6	30	18
Akirin2	266	263	223	213	236	169
Slc30a6	50	29	24	82	58	72
Aqp2	2	14	8	6	4	1
DQ549389	0	0	0	0	0	0
Tlx2	23	0	7	0	1	7
Snord42b	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
DQ713480	0	0	0	0	0	0
B3galt1	7	25	3	6	16	22
Aloxe3	0	0	4	4	1	2
1700022I11Rik	7	6	16	7	8	5
4930461G14Rik	4	0	2	0	0	0
Mroh1	345	261	230	484	578	553
Pmel	2	2	8	4	3	8
Efemp2	218	125	125	147	191	129
DQ698060	0	0	0	0	0	0
4930453H23Rik	5	6	3	2	0	1
AK084157	8	6	11	28	77	50
Kank4os	2	0	8	4	2	0
DQ541189	0	0	0	0	0	0
AK049522	0	1	0	0	0	0
Taf12	152	141	128	189	125	106
Npy	2	7	9	29	14	3
AK043242	0	7	21	0	0	0
Cyp2c69	0	0	0	2	0	0
Selenbp1	937	603	676	611	656	651
DQ558175	0	0	0	0	0	0
DQ702905	0	0	0	0	0	0
Edem1	614	400	427	894	904	803
Abcb8	30	28	42	40	66	50
4933402J10Rik	0	1	0	0	0	0
Gata3	137	125	63	169	107	151
DQ711904	0	0	0	0	0	0
Hcfc2	128	64	83	118	166	116
9030625G05Rik	0	2	2	0	1	0
Pam	913	771	873	532	1007	593
Znrd1as	8	2	10	11	8	8
AK139230	5	2	11	11	7	13
Prss35	61	56	75	30	33	38
DQ539900	0	0	0	0	0	0
Hras	200	205	108	227	112	96
B3gnt8	54	37	50	82	73	77
Snord57	0	0	0	0	0	0
Pate4	0	0	2	3	0	0
Mamld1	57	122	104	93	85	77
DQ546810	0	0	0	0	0	0
N4bp2l1	131	91	49	153	91	110
NM_177808	0	0	0	0	0	0
Tnf	233	121	70	441	304	346
Msrb2	28	36	15	36	27	22
Lilra6	97	10	48	128	92	90
AK087376	18	19	6	5	15	10
Suclg2	202	121	133	139	138	103
4930558C23Rik	0	0	0	0	0	1
Bpifa2	0	2	0	0	0	0
Gm5477	0	1	0	0	0	0
DQ719256	0	0	0	0	0	0
Efl1	89	61	91	150	221	177
Ube3a	691	420	435	422	694	535
AK052157	0	3	0	0	0	0
Tram1l1	0	3	29	4	1	1
