Gene	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
DCAF16	95	80	103	4	8
GOLGA7	1600	1521	1762	77	112
CETN2	4229	4036	4432	203	261
NCOA4	18170	19053	20898	1181	1386
CILP2	269	301	321	29	34
CDK8	627	665	693	92	91
PARP12	1461	1616	1604	181	193
GNPAT	1910	1887	2152	129	138
DNALI1	20	31	28	3	4
ENSCSAG00000011806	1691	1921	2224	203	215
TKT	29660	29703	34391	2853	3003
OR4E1	0	0	0	0	0
C5orf15	4552	4546	4965	255	302
FLRT3	556	558	588	72	104
ENSCSAG00000025696	0	0	0	0	0
ENSCSAG00000012513	6	2	2	1	1
TRAV8-3	0	0	0	0	0
SEPTIN4	1	0	0	0	0
C19orf47	447	522	576	81	80
TMEM44	86	96	93	7	8
ENSCSAG00000025619	0	0	0	0	0
NUP62CL	261	225	242	25	14
INHBE	10	9	13	9	12
ENSCSAG00000013512	1656	1785	2003	157	183
ENSCSAG00000022131	0	0	0	0	0
MRRF	2290	2441	2604	192	218
DCX	0	0	0	0	0
GSTM3	0	0	0	0	0
ENSCSAG00000023872	0	0	0	0	0
ENSCSAG00000026543	0	0	0	0	0
LURAP1L	20	31	20	3	8
PKLR	0	1	1	0	1
IRX4	0	0	0	0	0
TOM1L2	2104	2308	2448	164	194
PPAT	1302	1365	1555	130	133
GRK2	2787	3016	3375	507	555
EIPR1	2063	2110	2489	199	224
CPN1	0	0	0	0	0
ENSCSAG00000006423	67	71	84	5	8
DHX8	3599	3974	4070	460	497
DRC3	59	59	60	10	6
ENSCSAG00000001930	0	0	0	0	0
ENSCSAG00000000301	887	966	969	94	99
ENSCSAG00000000454	0	0	0	0	0
SAR1A	1489	1489	1724	100	155
ENSCSAG00000008909	8	12	7	2	0
ENSCSAG00000004757	0	0	0	0	0
OVCH2	0	0	0	0	0
FXYD1	8	4	10	0	0
FLVCR2	18	22	34	4	5
UBL4B	0	0	0	0	0
ENSCSAG00000003438	319	424	429	37	27
ENSCSAG00000027149	0	0	0	0	0
SIX3	0	0	0	0	0
ENSCSAG00000011239	1	0	0	0	0
CCDC152	0	0	0	0	0
FAM163B	0	0	0	0	0
LENEP	0	0	0	0	0
ENSCSAG00000008478	0	0	0	0	1
ASCC2	2188	2376	2541	260	291
MMP17	20	15	18	12	12
HINFP	216	188	245	26	47
ENSCSAG00000023457	0	0	0	0	0
ABTB1	706	722	753	45	49
ENC1	234	219	239	36	29
GLS	7069	7232	8060	611	708
ACSS1	4	8	7	2	2
GZF1	739	793	809	153	172
H2AC14	8842	8967	10718	1469	1566
ENSCSAG00000014413	7	3	3	0	0
ENSCSAG00000018233	0	0	0	0	0
ZNF880	3	8	1	0	0
ARSI	6	2	3	1	3
SNRPC	1704	1777	1929	152	163
CCT3	13382	14184	15862	1391	1518
MLIP	0	0	0	0	0
CTDSP2	1532	1628	1831	160	170
ZNF576	377	409	426	64	54
KIF6	376	417	477	30	31
ENSCSAG00000003550	0	0	1	0	0
PITHD1	149	161	170	14	13
JDP2	1895	1934	2239	270	303
S100PBP	1413	1421	1591	149	178
ENSCSAG00000017513	0	1	0	0	0
ZNF234	580	603	625	48	56
DNAH7	86	128	106	22	17
TNFRSF21	15047	15892	18093	1233	1242
ENSCSAG00000006343	0	0	0	0	0
ROBO2	5885	5974	6110	343	343
ENSCSAG00000003770	42	31	40	6	2
UBE4B	2177	2384	2498	180	194
ENSCSAG00000016361	2464	2496	2719	202	204
ENSCSAG00000023428	0	0	0	0	0
PXDN	6	7	1	0	0
MAL	23	24	37	3	5
ENSCSAG00000001008	5526	5841	6649	423	449
CLCA1	0	0	0	0	0
UBA52	17782	18493	21373	3094	2979
ENSCSAG00000027744	0	0	0	0	0
NLRP7	0	0	0	0	0
ENSCSAG00000006025	0	0	0	0	0
NLE1	870	882	1086	131	152
FBXL12	740	760	891	90	108
ENSCSAG00000002699	24	10	15	0	4
TRAPPC9	2046	2266	2454	234	218
ENSCSAG00000010820	0	0	1	0	0
ENSCSAG00000026709	0	0	0	0	0
AP1M1	3228	3518	3813	295	331
PANK3	1330	1403	1548	147	199
ARSL	0	0	0	0	0
ZNF792	130	145	152	14	8
FTSJ3	2350	2571	2830	217	272
ENSCSAG00000004967	0	0	0	0	0
C12orf66	374	404	467	68	61
RDH12	26	20	36	3	0
EML5	160	171	204	28	11
TPPP	2	1	1	0	1
ENSCSAG00000000521	0	0	0	0	0
TECRL	0	0	0	0	0
ACOT13	514	529	648	33	42
TEX9	219	259	268	20	22
COX6A2	0	0	0	0	0
PMFBP1	43	65	50	7	7
MS4A14	0	0	0	0	0
ENSCSAG00000012066	2	0	0	0	0
ENSCSAG00000019799	0	0	0	0	0
PRPF4	1419	1535	1744	163	174
MINDY1	235	234	274	21	29
RTBDN	57	60	64	5	4
GNPTAB	2762	2774	3020	203	214
SCRT1	8	9	13	1	5
LSM10	151	174	203	18	14
GLE1	1612	1650	1853	178	181
ERCC3	2155	2271	2552	239	325
RASSF1	695	751	887	139	131
OR8U1	0	0	0	0	0
GPR34	2	4	3	0	1
DHRS2	13	17	14	4	12
HDAC10	501	504	623	43	45
TTYH2	70	62	73	15	9
MIR23B	0	0	0	0	0
OSGIN1	196	219	242	42	48
ENSCSAG00000004459	88	96	95	6	11
GFRA3	11	13	25	1	1
ENSCSAG00000019933	0	0	0	0	0
SCN1B	362	367	401	35	31
TDG	1169	1172	1252	186	182
ENSCSAG00000010231	0	0	0	0	0
ENSCSAG00000019009	0	0	0	0	0
DUS3L	826	955	1085	153	169
PITX2	181	167	208	28	25
MSANTD4	474	536	573	86	83
VMP1	3478	3503	3922	246	282
ENSCSAG00000000238	3	8	8	0	5
LMAN1L	2	2	3	0	0
ENSCSAG00000022816	0	0	0	0	0
ZNF574	913	996	1139	185	191
ENSCSAG00000003474	0	0	0	0	1
TMEM25	485	433	537	37	54
ENSCSAG00000027575	0	0	0	0	0
ENSCSAG00000019234	1	4	1	0	1
SLC35A5	391	431	427	30	30
DSC3	0	0	0	0	0
KMT5B	1856	1877	2019	190	228
GLRA4	0	0	0	0	0
ENSCSAG00000023947	0	0	0	0	0
ENSCSAG00000023989	0	0	0	0	0
ADPRH	1334	1437	1587	120	131
SLC27A1	1357	1435	1741	130	113
TSNARE1	93	70	78	5	8
ALDH5A1	1439	1324	1510	92	104
TFDP3	0	1	2	3	4
ENSCSAG00000006506	0	0	0	0	0
MOSPD1	238	249	281	10	25
ENSCSAG00000005059	0	2	0	0	0
ENSCSAG00000021720	0	0	0	0	0
ENSCSAG00000020992	0	0	0	0	0
ENSCSAG00000018405	4	0	3	0	0
PNPLA1	3	5	5	1	0
ENSCSAG00000004408	0	0	0	0	0
AKAIN1	0	0	0	0	0
MEP1B	0	0	1	0	0
IFI27L2	2427	2384	2982	187	254
ENSCSAG00000001709	0	0	0	0	0
ENSCSAG00000024236	0	0	0	0	0
CZIB	951	945	1119	64	85
TCF19	525	521	599	71	60
ENSCSAG00000027936	0	0	0	0	0
B2M	18224	18365	20674	1260	1384
ENSCSAG00000016597	0	0	0	0	0
ENSCSAG00000012270	2314	2558	2808	356	430
MNDA	0	0	0	0	0
ZNF593	641	655	849	93	107
MAGIX	31	53	37	5	3
ENSCSAG00000021971	0	0	0	0	0
SYF2	1406	1417	1598	79	107
ENSCSAG00000007176	114	136	139	14	18
BABAM1	1972	2006	2284	165	162
TRBV7-2	0	0	0	0	0
ENSCSAG00000024049	0	0	0	0	0
ALX3	0	0	1	2	1
RWDD2B	1093	1124	1153	69	75
ENSCSAG00000013016	106	114	71	5	6
LRRC8D	1597	1769	1790	153	174
CUL5	1302	1411	1442	116	151
DOLK	305	276	329	28	27
ENSCSAG00000027032	0	0	0	0	0
KRI1	1321	1344	1520	166	183
COMMD5	345	333	438	40	34
ENSCSAG00000019601	4183	4373	4875	273	320
SNORA80C	0	0	0	0	0
BIRC3	838	933	948	142	142
NDUFS8	2872	3058	3476	281	291
ENSCSAG00000013566	3889	4137	4411	348	422
CENPV	615	563	690	64	48
ENSCSAG00000024241	0	0	0	0	0
MIR148B	0	0	0	0	0
PAQR3	263	255	261	19	35
RPS4Y2	0	0	0	0	0
CNGB3	0	0	0	0	0
ACAD8	371	386	420	33	43
ZFHX3	6864	8861	8165	1084	1113
MLH3	423	467	487	34	48
CBLL1	1629	1634	1748	158	231
SMAD9	97	97	121	36	48
ENSCSAG00000023450	0	0	0	0	0
PXDNL	0	1	0	0	0
RBM44	0	2	1	2	1
H1-7	2	4	2	0	0
ENSCSAG00000019070	0	0	0	0	0
LAPTM4B	10108	9723	11329	681	757
NDRG1	19016	19323	22120	1061	1087
SOBP	710	749	809	133	142
PRKCE	134	164	151	27	32
RECQL	1478	1730	1732	117	120
ENSCSAG00000024108	0	0	0	0	0
ENSCSAG00000020840	0	0	0	0	0
ENSCSAG00000021732	0	0	0	0	0
ENSCSAG00000011093	0	0	0	0	0
ENSCSAG00000007542	11	7	5	1	0
SLBP	638	672	740	71	60
RPS8	18311	18766	21731	2269	2501
GPR182	11	9	6	0	1
ENSCSAG00000002766	0	0	0	0	0
RFWD3	1506	1515	1725	137	183
LOX	852	992	981	39	57
PAX5	0	2	1	1	0
FBXL22	0	2	1	3	1
HEMK1	301	319	337	25	28
RLF	1582	1727	1762	339	411
ASB13	102	97	136	9	9
ENSCSAG00000022282	0	0	0	0	0
ENSCSAG00000008336	0	0	0	0	0
ZNHIT1	2727	2733	3220	176	203
SNORA53	158	148	163	62	67
ENSCSAG00000022235	0	0	0	0	0
ENSCSAG00000005351	19	37	34	1	7
VPS13D	5717	6971	6815	596	669
ERP44	1316	1422	1560	106	123
LRRC3C	0	2	0	0	0
KRT10	784	793	859	77	67
ZSCAN16	121	100	102	10	11
DERA	1229	1230	1399	88	119
BCAP29	2250	2131	2441	144	176
PTX4	12	11	14	1	3
ENSCSAG00000008447	5422	5740	6333	435	469
COA1	1072	1022	1151	58	88
SNORA2A	0	0	0	0	0
CLCNKB	8	4	5	0	0
ENSCSAG00000021347	0	0	0	0	0
STRIP1	1216	1249	1391	161	192
NUP153	6571	7158	7564	776	864
ABCG4	16	13	15	0	0
ENSCSAG00000003029	0	1	0	0	0
RIN2	951	987	1064	198	195
BASP1	4940	5318	5926	436	468
ENSCSAG00000026499	0	0	0	0	0
ENSCSAG00000025021	0	0	0	0	0
ENSCSAG00000020164	0	0	0	0	0
TRBV13	1	0	0	0	0
SMG9	815	864	924	98	111
ENSCSAG00000017955	12	4	4	1	3
SNORA67	0	0	0	0	0
LMAN2L	840	883	963	70	97
NDUFA10	4490	4649	5217	397	410
WDR3	979	1108	1223	130	156
FGF1	6	2	11	0	0
ZC2HC1C	175	193	204	13	9
RGMB	350	377	369	46	49
ANKRD13B	859	858	947	138	186
FA2H	68	72	115	7	10
CACNA2D2	18	18	11	0	4
QRFP	3	6	6	1	0
ENSCSAG00000027667	0	0	0	0	0
MIR433	0	0	0	0	0
TMEM235	0	0	0	0	0
ENSCSAG00000021980	0	0	0	0	0
CACUL1	1411	1537	1711	166	166
TBCD	8842	9530	10774	1047	1131
KCNG3	0	0	0	0	0
BSCL2	773	803	847	57	87
ELOVL7	737	670	730	54	52
PLSCR5	0	0	0	0	0
BCORL1	3522	4014	4151	421	387
ADNP2	2585	2930	3207	373	408
WFDC9	0	0	0	0	0
NR1H2	2297	2470	2849	253	307
ENSCSAG00000024560	0	0	0	0	0
ENSCSAG00000021238	0	0	0	0	0
TNFSF11	0	0	0	0	1
FOPNL	1096	1033	1198	70	85
HES7	95	92	118	5	18
ZGRF1	220	223	234	19	27
PPP4R4	268	248	271	30	26
GAMT	1776	1849	2112	170	184
DEPDC1B	432	421	455	25	42
ENSCSAG00000026061	0	0	0	0	0
WASHC4	17821	18547	19799	1420	1652
PLAAT2	3	8	10	1	1
SPIN4	40	51	42	2	1
GGN	146	140	175	15	10
TUBB4B	17917	19316	22269	1740	1877
AMBN	0	2	0	0	0
ENSCSAG00000021481	0	0	0	0	0
IDE	4143	4258	4611	316	369
ENSCSAG00000000129	0	0	0	0	0
ADAMTS20	0	0	0	0	0
GNG2	0	0	0	0	0
HEYL	544	507	531	46	49
C18orf25	587	659	643	61	79
P2RY6	22	20	32	3	1
GAD2	0	0	1	0	0
ENSCSAG00000010836	78	65	58	7	12
ENSCSAG00000013542	0	1	0	0	0
SLC6A8	1746	1864	2049	137	146
SAMD13	59	50	53	5	10
MYOG	1	0	0	0	0
NODAL	0	0	0	0	0
ENSCSAG00000023276	0	0	0	0	0
ESR2	36	30	42	11	5
GLUL	14472	13662	14998	518	614
DCDC1	17191	18635	19530	1234	1365
LPAR1	580	661	724	74	86
PCGF6	566	653	638	67	70
CCL8	0	0	0	0	0
MIR130A	0	0	0	0	0
ENDOD1	317	326	388	35	41
INSC	1	5	2	1	2
CHMP4B	5259	5457	6159	428	491
ENSCSAG00000024330	0	0	0	0	0
B9D1	676	782	852	70	55
CST5	0	0	1	0	0
ENSCSAG00000027662	0	0	0	0	0
MEOX1	0	2	1	0	0
A1CF	34	21	38	1	1
ENSCSAG00000022278	0	0	0	0	0
ILDR2	122	149	139	21	18
TMEM158	2	1	2	0	0
AP3B2	601	614	652	54	67
IFI44L	156	141	157	27	38
ENSCSAG00000011535	1154	1275	1355	98	133
KIAA0586	1168	1289	1365	109	120
ESRRB	0	0	0	0	0
ANKMY2	888	898	962	71	72
CD72	2	0	1	0	0
ENSCSAG00000020149	0	0	0	0	0
TSPYL6	1	2	0	0	0
ENSCSAG00000018053	16	19	26	0	0
HYDIN	96	128	111	37	37
ENSCSAG00000016578	0	1	0	0	0
ENSCSAG00000026661	0	0	0	0	0
ENSCSAG00000026488	0	0	0	0	0
SH2D3C	50	44	55	13	10
MAP3K19	6	11	11	0	0
ENSCSAG00000022080	0	0	0	0	0
HJV	0	1	0	0	0
C1orf68	0	0	0	0	0
ENSCSAG00000021377	0	0	0	0	0
SNORA80D	0	0	0	0	0
TBPL1	869	932	868	64	78
IMMP1L	80	77	86	7	7
ENSCSAG00000024130	0	0	0	0	0
ENSCSAG00000002782	0	1	1	0	0
EDNRB	0	0	0	0	0
ENSCSAG00000019948	0	0	0	0	0
SEPTIN6	248	277	298	14	22
KLHL3	30	33	28	18	16
ENSCSAG00000013975	0	0	0	0	0
ENSCSAG00000015660	0	0	0	0	0
TULP4	1257	1478	1571	140	167
ZNF318	2198	2406	2398	213	171
ARHGDIA	11029	11548	13077	976	1108
NDUFV1	6924	7277	8459	560	659
CTSL	166643	173054	202168	10067	11846
PF4	0	0	0	0	0
ENSCSAG00000009809	89	131	83	13	27
TRGC1	0	0	0	0	0
ENSCSAG00000007461	4713	5187	5723	812	728
NUDT22	1299	1303	1515	104	109
ENSCSAG00000022815	0	0	0	0	0
DYM	966	960	1103	100	125
APBA2	133	171	164	14	29
CHP1	6184	6387	7069	539	652
ATP5ME	569	560	693	48	55
MANF	3670	3766	4424	266	351
OR10A4	0	0	0	0	0
NPM2	1	0	0	0	0
ENSCSAG00000020532	0	0	0	0	0
TASP1	494	494	553	52	61
ENSCSAG00000023980	0	0	0	0	0
MAP3K15	930	875	1050	60	73
ENSCSAG00000024812	0	0	0	0	0
BCAN	93	123	131	19	18
AHCYL1	5794	5677	6587	375	480
ZNF461	18	13	17	1	1
ENSCSAG00000021849	0	0	0	0	0
SCARNA18	0	0	0	0	0
SLF1	454	492	504	60	50
NXF1	1435	1433	1620	169	212
TAS2R1	1	0	0	0	0
ENSCSAG00000012331	2	5	6	1	0
ENSCSAG00000011923	42	45	58	6	2
OR4K3	0	0	0	0	0
GAS8	1027	1126	1212	144	138
CPS1	0	0	0	0	0
ENSCSAG00000006997	152	139	176	26	25
CLDN8	0	0	0	0	0
COX4I2	2	0	1	0	0
CPXCR1	0	0	0	0	0
ENSCSAG00000022151	0	0	0	0	0
GCK	11	10	9	0	0
ENSCSAG00000015826	1	3	0	2	0
FGF23	1	0	1	0	0
ENSCSAG00000018965	0	0	0	0	0
TM4SF20	30	35	46	3	4
ENSCSAG00000022328	0	0	0	0	0
ENSCSAG00000004364	5	3	4	0	0
PLG	0	2	2	0	0
PIGK	2165	2169	2315	126	129
IFI44	15	14	19	37	29
ENSCSAG00000020454	0	0	0	0	0
UCN	6	8	8	0	0
CTSH	742	742	806	70	60
ENSCSAG00000026658	0	0	0	0	0
PPFIA4	47	54	50	9	9
OTX1	119	131	163	13	12
ENSCSAG00000024953	0	0	0	0	0
CDH12	0	0	0	0	0
ENSCSAG00000019012	0	0	0	0	0
ENSCSAG00000027091	0	0	0	0	0
SUPT16H	19086	19877	21617	1395	1635
C7orf61	16	13	16	1	3
ENSCSAG00000026192	0	0	0	0	0
ENSCSAG00000024624	0	0	0	0	0
TMEM248	4616	4821	5297	324	380
ZNF436	300	359	442	38	43
CACNG6	2	4	2	0	1
ENSCSAG00000017258	96	91	96	6	13
SUV39H2	472	528	568	58	65
ENSCSAG00000025254	0	0	0	0	0
CHRM5	7	6	8	2	2
ENSCSAG00000012827	8	15	17	0	3
DZIP1	2057	2062	2232	123	171
KCNIP4	662	707	715	46	53
PKHD1L1	44	45	49	2	4
N4BP2L1	28	22	17	2	2
ENSCSAG00000020935	0	0	0	0	0
MIR504	0	0	0	0	0
XKRX	5	6	6	0	0
TAF10	1211	1253	1434	199	169
ENSCSAG00000022115	0	0	0	0	0
DUSP18	156	140	158	17	20
ENSCSAG00000003777	69	56	55	4	5
SCGB1D2	0	0	0	0	0
ENSCSAG00000001944	1	2	0	1	0
ENSCSAG00000009269	0	0	0	0	0
ESYT1	8997	9593	10647	796	887
ADCY4	1	1	2	0	0
GRIN1	15	23	25	2	2
ENSCSAG00000022707	0	0	0	0	0
CPNE2	2433	2410	2821	330	322
NDUFS4	965	1040	1118	65	74
ENSCSAG00000009064	0	0	0	0	0
SNORA52	0	0	0	0	0
APOF	3	1	1	2	1
ID4	0	0	0	0	0
ENSCSAG00000004522	42	45	41	3	3
ENSCSAG00000024639	0	0	0	0	0
ENSCSAG00000023504	0	0	0	0	0
SMCO1	1	1	1	0	0
ENSCSAG00000024023	0	0	0	0	0
MIR425	0	0	0	0	0
LILRA4	0	0	2	0	0
KALRN	48	58	55	4	3
PUSL1	434	448	494	55	42
ENSCSAG00000020894	0	0	0	0	0
ERP29	7139	7033	8186	559	687
JMY	966	1041	1094	112	161
STK17B	2316	2367	2608	317	380
ENSCSAG00000018530	518	501	513	55	46
DGKK	0	0	1	0	0
MIR454	0	0	0	0	0
ENSCSAG00000023253	0	0	0	0	0
M6PR	6405	6750	7467	487	541
MIR583	0	0	0	0	0
GRM8	1	1	0	0	0
ENSCSAG00000005009	0	0	0	0	0
TLCD1	1136	1188	1329	131	187
OR2C1	6	12	7	0	3
PI4KA	5274	5854	6190	473	503
ENSCSAG00000022902	0	0	0	0	0
PDE4DIP	981	1131	1130	108	92
PPIP5K2	1331	1441	1567	97	118
GTDC1	361	358	395	46	32
AIFM3	63	61	71	5	17
TRAJ18	0	0	0	0	0
ENSCSAG00000002734	1	4	1	0	0
RUNX1	1981	2222	2297	627	731
CCL18	0	0	0	0	0
MTMR8	74	100	91	6	12
MIR181B2	0	0	0	0	0
ENSCSAG00000023977	0	0	0	0	0
PPP1R37	2555	2756	3126	256	314
ADGRL4	0	0	1	0	0
SGCE	1050	1161	1238	62	64
SLC25A46	695	728	852	64	69
SEC31B	8	13	8	3	2
ENSCSAG00000027902	0	0	0	0	0
TMCO1	530	475	572	42	46
CCT2	11988	12436	14238	1034	1198
HAO2	17	11	15	1	1
FOXO3	1240	1400	1503	217	215
GLP1R	0	0	0	0	0
ENSCSAG00000017810	167	153	177	13	14
HMGCS1	2896	2756	3133	279	362
PHF3	4858	5265	5493	443	513
ENSCSAG00000008209	2	0	0	0	0
ZNF688	343	361	449	32	33
ZFYVE16	2739	2869	2912	212	227
EFR3A	13176	13420	14802	1019	1118
ENSCSAG00000014630	1	0	0	0	0
TWF2	1633	1632	1953	159	166
ENSCSAG00000001443	371	382	497	28	23
GASK1A	0	0	0	0	0
HOXB5	90	83	68	6	4
ENSCSAG00000024535	0	0	0	0	0
TUBE1	353	379	408	56	55
FAM161B	72	98	99	12	9
SSR1	1767	1849	2063	146	169
SPAG1	723	724	853	131	168
HAS2	0	1	1	0	0
KRTAP26-1	0	0	0	0	0
MFHAS1	2085	2083	2356	312	298
GPNMB	26862	26458	28598	1210	1287
TMTC3	3649	3651	4055	202	229
PILRA	13	28	13	4	5
NFRKB	505	620	637	78	81
MRPS6	235	262	238	14	24
PTPN13	20803	22900	24141	1630	1848
CD207	0	0	0	0	0
PRKCI	3278	3556	3822	254	283
CCDC47	3600	3807	4061	266	298
RPS6KA4	3090	3481	4047	460	485
METTL1	337	422	442	53	72
ENSCSAG00000021698	0	0	0	0	0
EP400	4903	6214	5856	778	732
ENSCSAG00000009630	1	2	0	0	0
PCDHB7	12	4	9	1	2
CD37	30	44	31	4	8
SLC17A2	144	113	160	5	2
ENSCSAG00000011644	8516	10337	10165	898	882
RABEP2	915	954	1147	86	88
ENSCSAG00000018434	0	0	0	0	0
GJA3	112	116	149	16	21
ADCK5	1611	1864	1989	167	217
ENSCSAG00000024540	0	0	0	0	0
DYNAP	0	0	0	0	0
ENSCSAG00000025328	0	0	0	0	0
ENSCSAG00000025777	0	0	0	0	0
FAM180B	0	4	3	1	0
RNU6ATAC22P	0	0	0	0	0
ENSCSAG00000012734	0	0	0	0	0
ENSCSAG00000024118	0	0	0	0	0
ENSCSAG00000024773	0	0	0	0	0
ENSCSAG00000020304	0	0	0	0	0
NMU	0	0	0	0	0
TFPT	1197	1188	1429	96	123
CSRP3	0	0	0	0	0
UNC80	8	2	8	2	0
OR4B1	0	2	0	1	0
CTU2	346	303	348	51	53
BCKDK	4278	4543	5324	482	482
PELI3	590	602	689	53	64
L1CAM	2182	2611	2760	314	310
ENSCSAG00000001984	0	0	6	0	2
TCN2	3607	3609	4192	287	295
ENSCSAG00000024136	0	0	0	0	0
HMGCLL1	0	0	0	0	0
DNAJC5G	0	0	0	0	0
ENSCSAG00000020364	0	0	0	0	0
ENSCSAG00000016890	1	0	0	0	0
ENSCSAG00000011200	1	0	0	0	0
ENSCSAG00000016391	0	0	0	0	0
ENSCSAG00000005289	836	781	903	47	64
RCCD1	479	530	567	40	49
PCNX3	8222	9488	10017	1007	1040
SCP2D1	0	0	0	0	0
ENSCSAG00000019521	12	25	14	2	0
MTFP1	928	965	1097	113	121
HSPA9	10782	11564	12888	1379	1596
WWTR1	12443	12859	13977	947	1125
NKD2	6	8	7	0	1
ENSCSAG00000000082	0	0	0	0	0
FBXO43	58	61	65	5	3
ENSCSAG00000015690	26176	27021	30879	1749	2028
LIF	2112	2406	2584	476	502
C2CD4A	0	0	0	0	0
YWHAH	8514	8989	10368	771	867
LRIT2	0	0	0	0	0
ENSCSAG00000004316	1	0	2	0	0
CYP2S1	0	0	0	0	0
OR6K6	0	0	0	0	0
ENSCSAG00000018462	6793	6975	7944	720	878
WDR77	1143	1197	1342	103	140
AADACL3	0	0	0	0	0
EIF4EBP2	1085	1251	1485	106	115
NPHP4	982	1098	1169	122	136
ENSCSAG00000002667	3	2	1	0	1
ZNF644	2562	2745	2773	212	266
BET1L	130	121	143	11	16
GPR119	1	2	2	0	0
ENSCSAG00000022401	0	0	0	0	0
ENSCSAG00000005844	4	0	0	0	0
ELOVL6	45	50	41	5	5
ENSCSAG00000000215	25	36	34	16	20
TAC4	0	0	0	0	0
SYT8	20	11	22	2	1
ENSCSAG00000026657	0	0	0	0	0
YY1AP1	1313	1430	1558	205	255
LIMD2	1514	1525	1723	126	125
C5orf47	0	0	0	0	0
SNORA16A	0	0	0	0	0
CHRNA2	4	2	0	0	0
SRSF1	3200	3329	3860	305	364
OR5A1	0	0	0	0	0
RTL6	431	442	507	58	66
KLHL15	300	315	331	46	57
ENSCSAG00000026244	0	0	0	0	0
UNC45B	0	0	1	0	0
P2RY2	114	142	176	23	20
NEXMIF	154	173	163	19	20
SLC22A6	0	1	1	2	0
ENSCSAG00000006606	0	4	0	0	1
ENSCSAG00000021887	0	0	0	0	0
ANKRD39	507	566	703	57	62
SIX2	6	6	9	0	2
PNRC1	3351	3326	3790	324	314
ENSCSAG00000027516	0	0	0	0	0
ORC3	874	869	943	61	57
ATP13A3	13652	14640	15595	1708	2028
SPATA6	405	406	451	22	25
MAP3K1	11684	11849	12462	1578	1680
ENSCSAG00000022921	0	0	0	0	0
ENSCSAG00000004444	263	240	259	27	31
ENSCSAG00000024282	0	0	0	0	0
ANKRD28	3618	3853	3986	491	556
DIAPH1	9256	9850	10832	769	827
TULP3	2354	2385	2548	179	239
MIR105-2	0	0	0	0	0
ENSCSAG00000024356	0	0	0	0	0
