Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSCSAG00000018404		ENSG00000188199	NUTM2B
ENSCSAG00000018403		ENSG00000164741	DLC1
ENSCSAG00000018402			
ENSCSAG00000018401		ENSG00000128383	APOBEC3A
ENSCSAG00000018401		ENSG00000179750	APOBEC3B
ENSCSAG00000018400		ENSG00000239998	LILRA2
ENSCSAG00000018399		ENSG00000171928	TVP23B
ENSCSAG00000018399		ENSG00000175106	TVP23C
ENSCSAG00000018398			
ENSCSAG00000018397			
ENSCSAG00000018396			
ENSCSAG00000018395		ENSG00000276085	CCL3L1
ENSCSAG00000018395		ENSG00000277632	CCL3
ENSCSAG00000018394	BTNL9	ENSG00000165810	BTNL9
ENSCSAG00000018393			
ENSCSAG00000018392		ENSG00000164816	DEFA5
ENSCSAG00000018391		ENSG00000204941	PSG5
ENSCSAG00000018391		ENSG00000221878	PSG7
ENSCSAG00000018391		ENSG00000242221	PSG2
ENSCSAG00000018391		ENSG00000183668	PSG9
ENSCSAG00000018391		ENSG00000170848	PSG6
ENSCSAG00000018391		ENSG00000221826	PSG3
ENSCSAG00000018391		ENSG00000243137	PSG4
ENSCSAG00000018391		ENSG00000124467	PSG8
ENSCSAG00000018391		ENSG00000243130	PSG11
ENSCSAG00000018391		ENSG00000231924	PSG1
ENSCSAG00000018390			
ENSCSAG00000018389			
ENSCSAG00000018388	PRKAB2	ENSG00000131791	PRKAB2
ENSCSAG00000018387	FMO5	ENSG00000131781	FMO5
ENSCSAG00000018386	CHD1L	ENSG00000131778	CHD1L
ENSCSAG00000018385			
ENSCSAG00000018384	BCL9	ENSG00000116128	BCL9
ENSCSAG00000018383	ACP6	ENSG00000162836	ACP6
ENSCSAG00000018382	GJA8	ENSG00000121634	GJA8
ENSCSAG00000018381		ENSG00000237289	CKMT1B
ENSCSAG00000018381		ENSG00000223572	CKMT1A
ENSCSAG00000018380	DOCK11	ENSG00000147251	DOCK11
ENSCSAG00000018379			
ENSCSAG00000018378	NOA1	ENSG00000084092	NOA1
ENSCSAG00000018377	CCDC80	ENSG00000091986	CCDC80
ENSCSAG00000018376	CRLF2	ENSG00000205755	CRLF2
ENSCSAG00000018375			
ENSCSAG00000018374	SHOX	ENSG00000185960	SHOX
ENSCSAG00000018373			
ENSCSAG00000018372			
ENSCSAG00000018371		ENSG00000178605	GTPBP6
ENSCSAG00000018370			
ENSCSAG00000018369	PLCXD1	ENSG00000182378	PLCXD1
ENSCSAG00000018368	IL13RA1	ENSG00000131724	IL13RA1
ENSCSAG00000018367			
ENSCSAG00000018366	LONRF3	ENSG00000175556	LONRF3
ENSCSAG00000018365			
ENSCSAG00000018364			
ENSCSAG00000018363		ENSG00000277535	
ENSCSAG00000018362			
ENSCSAG00000018361	KIAA1210	ENSG00000250423	KIAA1210
ENSCSAG00000018360	PGRMC1	ENSG00000101856	PGRMC1
ENSCSAG00000018359	SLC25A43	ENSG00000077713	SLC25A43
ENSCSAG00000018358	SLC25A5	ENSG00000005022	SLC25A5
ENSCSAG00000018357	ACSS1	ENSG00000154930	ACSS1
ENSCSAG00000018356		ENSG00000204941	PSG5
ENSCSAG00000018356		ENSG00000221878	PSG7
ENSCSAG00000018356		ENSG00000242221	PSG2
ENSCSAG00000018356		ENSG00000183668	PSG9
ENSCSAG00000018356		ENSG00000170848	PSG6
ENSCSAG00000018356		ENSG00000221826	PSG3
ENSCSAG00000018356		ENSG00000243137	PSG4
ENSCSAG00000018356		ENSG00000124467	PSG8
ENSCSAG00000018356		ENSG00000243130	PSG11
ENSCSAG00000018356		ENSG00000231924	PSG1
ENSCSAG00000018355	STEEP1	ENSG00000018610	STEEP1
ENSCSAG00000018354	UBE2A	ENSG00000077721	UBE2A
ENSCSAG00000018353	NKRF	ENSG00000186416	NKRF
ENSCSAG00000018352	VENTX	ENSG00000151650	VENTX
ENSCSAG00000018351	SEPTIN6	ENSG00000125354	SEPTIN6
ENSCSAG00000018350	UTF1	ENSG00000171794	UTF1
ENSCSAG00000018349	KNDC1	ENSG00000171798	KNDC1
ENSCSAG00000018348	UPF3B	ENSG00000125351	UPF3B
ENSCSAG00000018347	VSX1	ENSG00000100987	VSX1
ENSCSAG00000018346	AKAP14	ENSG00000186471	AKAP14
ENSCSAG00000018345	NKAP	ENSG00000101882	NKAP
ENSCSAG00000018344	RHOXF1	ENSG00000101883	RHOXF1
ENSCSAG00000018343		ENSG00000131721	RHOXF2
ENSCSAG00000018343		ENSG00000203989	RHOXF2B
ENSCSAG00000018342			
ENSCSAG00000018341	TMEM255A	ENSG00000125355	TMEM255A
ENSCSAG00000018340	ATP1B4	ENSG00000101892	ATP1B4
ENSCSAG00000018339	LAMP2	ENSG00000005893	LAMP2
ENSCSAG00000018338	CUL4B	ENSG00000158290	CUL4B
ENSCSAG00000018337	MCTS1	ENSG00000232119	MCTS1
ENSCSAG00000018336			
ENSCSAG00000018335			
ENSCSAG00000018334	GRIA3	ENSG00000125675	GRIA3
ENSCSAG00000018333			
ENSCSAG00000018332	THOC2	ENSG00000125676	THOC2
ENSCSAG00000018331		ENSG00000101966	XIAP
ENSCSAG00000018330	STAG2	ENSG00000101972	STAG2
ENSCSAG00000018329	SH2D1A	ENSG00000183918	SH2D1A
ENSCSAG00000018328	TENM1	ENSG00000009694	TENM1
ENSCSAG00000018327		ENSG00000198889	DCAF12L1
ENSCSAG00000018326	PRR32	ENSG00000183631	PRR32
ENSCSAG00000018325		ENSG00000142615	CELA2A
ENSCSAG00000018324		ENSG00000160551	TAOK1
ENSCSAG00000018323	IGLL1	ENSG00000128322	IGLL1
ENSCSAG00000018322		ENSG00000129824	RPS4Y1
ENSCSAG00000018321	ZFY	ENSG00000067646	ZFY
ENSCSAG00000018320		ENSG00000101825	MXRA5
ENSCSAG00000018319			
ENSCSAG00000018318	USP9Y	ENSG00000114374	USP9Y
ENSCSAG00000018317	DDX3Y	ENSG00000067048	DDX3Y
ENSCSAG00000018316	UTY	ENSG00000183878	UTY
ENSCSAG00000018315			
ENSCSAG00000018314	KDM5D	ENSG00000012817	KDM5D
ENSCSAG00000018313	EIF1AY	ENSG00000198692	EIF1AY
ENSCSAG00000018312	RPS4Y2	ENSG00000280969	RPS4Y2
ENSCSAG00000018311		ENSG00000130595	TNNT3
ENSCSAG00000018310			
ENSCSAG00000018309	XKR3	ENSG00000172967	XKR3
ENSCSAG00000018308		ENSG00000172468	HSFY1
ENSCSAG00000018308		ENSG00000169953	HSFY2
ENSCSAG00000018307			
ENSCSAG00000018306		ENSG00000258992	TSPY1
ENSCSAG00000018305			
ENSCSAG00000018304		ENSG00000242389	RBMY1E
ENSCSAG00000018304		ENSG00000226941	RBMY1J
ENSCSAG00000018304		ENSG00000234414	RBMY1A1
ENSCSAG00000018304		ENSG00000169800	RBMY1F
ENSCSAG00000018304		ENSG00000244395	RBMY1D
ENSCSAG00000018304		ENSG00000242875	RBMY1B
ENSCSAG00000018303			
ENSCSAG00000018302		ENSG00000225899	FRG2B
ENSCSAG00000018302		ENSG00000172969	FRG2C
ENSCSAG00000018302		ENSG00000205097	FRG2
ENSCSAG00000018301	PYGB	ENSG00000100994	PYGB
ENSCSAG00000018300			
ENSCSAG00000018299		ENSG00000204525	HLA-C
ENSCSAG00000018299		ENSG00000234745	HLA-B
ENSCSAG00000018298		ENSG00000204525	HLA-C
ENSCSAG00000018298		ENSG00000234745	HLA-B
ENSCSAG00000018297			
ENSCSAG00000018296			
ENSCSAG00000018295			
ENSCSAG00000018294	VKORC1L1	ENSG00000196715	VKORC1L1
ENSCSAG00000018293			
ENSCSAG00000018292		ENSG00000169919	GUSB
ENSCSAG00000018291		ENSG00000169919	GUSB
ENSCSAG00000018290			
ENSCSAG00000018289	ASL	ENSG00000126522	ASL
ENSCSAG00000018288	CRCP	ENSG00000241258	CRCP
ENSCSAG00000018287	TPST1	ENSG00000169902	TPST1
ENSCSAG00000018286			
ENSCSAG00000018285			
ENSCSAG00000018284		ENSG00000231389	HLA-DPA1
ENSCSAG00000018283			
ENSCSAG00000018282		ENSG00000284461	
ENSCSAG00000018281	PDPK1	ENSG00000140992	PDPK1
ENSCSAG00000018280	KCTD7	ENSG00000243335	KCTD7
ENSCSAG00000018279		ENSG00000284461	
ENSCSAG00000018278			
ENSCSAG00000018277	TMEM248	ENSG00000106609	TMEM248
ENSCSAG00000018276	SLC6A14	ENSG00000268104	SLC6A14
ENSCSAG00000018275	SBDS	ENSG00000126524	SBDS
ENSCSAG00000018274		ENSG00000277149	TYW1B
ENSCSAG00000018274		ENSG00000198874	TYW1
ENSCSAG00000018273		ENSG00000183166	CALN1
ENSCSAG00000018272	GALNT17	ENSG00000185274	GALNT17
ENSCSAG00000018271			
ENSCSAG00000018270	KLHL13	ENSG00000003096	KLHL13
ENSCSAG00000018269	WDR44	ENSG00000131725	WDR44
ENSCSAG00000018268	AUTS2	ENSG00000158321	AUTS2
ENSCSAG00000018267	PLS3	ENSG00000102024	PLS3
ENSCSAG00000018266	CASTOR2	ENSG00000274070	CASTOR2
ENSCSAG00000018265	RCC1L	ENSG00000274523	RCC1L
ENSCSAG00000018264			
ENSCSAG00000018263			
ENSCSAG00000018262		ENSG00000173335	CST9
ENSCSAG00000018261			
ENSCSAG00000018260		ENSG00000174428	GTF2IRD2B
ENSCSAG00000018260		ENSG00000196275	GTF2IRD2
ENSCSAG00000018259			
ENSCSAG00000018258		ENSG00000178184	PARD6G
ENSCSAG00000018257	ADNP2	ENSG00000101544	ADNP2
ENSCSAG00000018256	RBFA	ENSG00000101546	RBFA
ENSCSAG00000018255		ENSG00000213648	SULT1A4
ENSCSAG00000018255		ENSG00000261052	SULT1A3
ENSCSAG00000018254	TXNL4A	ENSG00000141759	TXNL4A
ENSCSAG00000018253	HSBP1L1	ENSG00000226742	HSBP1L1
ENSCSAG00000018252	SLC66A2	ENSG00000122490	SLC66A2
ENSCSAG00000018251	XAGE5	ENSG00000171405	XAGE5
ENSCSAG00000018250		ENSG00000171402	XAGE3
ENSCSAG00000018249	KCNG2	ENSG00000178342	KCNG2
ENSCSAG00000018248	CTDP1	ENSG00000060069	CTDP1
ENSCSAG00000018247	NFATC1	ENSG00000131196	NFATC1
ENSCSAG00000018246			
ENSCSAG00000018245	ATP9B	ENSG00000166377	ATP9B
ENSCSAG00000018244	SALL3	ENSG00000256463	SALL3
ENSCSAG00000018243			
ENSCSAG00000018242	MBP	ENSG00000197971	MBP
ENSCSAG00000018241		ENSG00000260272	
ENSCSAG00000018241		ENSG00000162065	TBC1D24
ENSCSAG00000018240	ZNF236	ENSG00000130856	ZNF236
ENSCSAG00000018239			
ENSCSAG00000018238			
ENSCSAG00000018237	ZNF516	ENSG00000101493	ZNF516
ENSCSAG00000018236	NCF1	ENSG00000158517	NCF1
ENSCSAG00000018235			
ENSCSAG00000018234	SMIM21	ENSG00000206026	SMIM21
ENSCSAG00000018233			
ENSCSAG00000018232	ZADH2	ENSG00000180011	ZADH2
ENSCSAG00000018231	ZNF407	ENSG00000215421	ZNF407
ENSCSAG00000018230	CNDP1	ENSG00000150656	CNDP1
ENSCSAG00000018229	CNDP2	ENSG00000133313	CNDP2
ENSCSAG00000018228	DIPK1C	ENSG00000187773	DIPK1C
ENSCSAG00000018227	GTF2I	ENSG00000263001	GTF2I
ENSCSAG00000018226	C18orf63	ENSG00000206043	C18orf63
ENSCSAG00000018225	CYB5A	ENSG00000166347	CYB5A
ENSCSAG00000018224	TIMM21	ENSG00000075336	TIMM21
ENSCSAG00000018223	FBXO15	ENSG00000141665	FBXO15
ENSCSAG00000018222			
ENSCSAG00000018221	NETO1	ENSG00000166342	NETO1
ENSCSAG00000018220	CBLN2	ENSG00000141668	CBLN2
ENSCSAG00000018219	RTTN	ENSG00000176225	RTTN
ENSCSAG00000018218	CD226	ENSG00000150637	CD226
ENSCSAG00000018217		ENSG00000206052	DOK6
ENSCSAG00000018216	CCDC102B	ENSG00000150636	CCDC102B
ENSCSAG00000018215			
ENSCSAG00000018214	TMX3	ENSG00000166479	TMX3
ENSCSAG00000018213	CDH19	ENSG00000071991	CDH19
ENSCSAG00000018212	CDH7	ENSG00000081138	CDH7
ENSCSAG00000018211			
ENSCSAG00000018210	SERPINB8	ENSG00000166401	SERPINB8
ENSCSAG00000018209		ENSG00000221887	HMSD
ENSCSAG00000018208			
ENSCSAG00000018207	SERPINB10	ENSG00000242550	SERPINB10
ENSCSAG00000018206	SERPINB2	ENSG00000197632	SERPINB2
ENSCSAG00000018205	SERPINB7	ENSG00000166396	SERPINB7
ENSCSAG00000018204	SERPINB11	ENSG00000206072	SERPINB11
ENSCSAG00000018203		ENSG00000057149	SERPINB3
ENSCSAG00000018203		ENSG00000206073	SERPINB4
ENSCSAG00000018202	GTF2IRD1	ENSG00000006704	GTF2IRD1
ENSCSAG00000018201	CLIP2	ENSG00000106665	CLIP2
ENSCSAG00000018200	SERPINB13	ENSG00000197641	SERPINB13
ENSCSAG00000018199	RFC2	ENSG00000049541	RFC2
ENSCSAG00000018198	SERPINB12	ENSG00000166634	SERPINB12
ENSCSAG00000018197	SERPINB5	ENSG00000206075	SERPINB5
ENSCSAG00000018196	LAT2	ENSG00000086730	LAT2
ENSCSAG00000018195	VPS4B	ENSG00000119541	VPS4B
ENSCSAG00000018194	EIF4H	ENSG00000106682	EIF4H
ENSCSAG00000018193	KDSR	ENSG00000119537	KDSR
ENSCSAG00000018192	LIMK1	ENSG00000106683	LIMK1
ENSCSAG00000018191	BCL2	ENSG00000171791	BCL2
ENSCSAG00000018190	PHLPP1	ENSG00000081913	PHLPP1
ENSCSAG00000018189			
ENSCSAG00000018188			
ENSCSAG00000018187	ZCCHC2	ENSG00000141664	ZCCHC2
ENSCSAG00000018186	TNFRSF11A	ENSG00000141655	TNFRSF11A
ENSCSAG00000018185	NANP	ENSG00000170191	NANP
ENSCSAG00000018184	RELCH	ENSG00000134444	RELCH
ENSCSAG00000018183	TMEM270	ENSG00000175877	TMEM270
ENSCSAG00000018182	ABHD11	ENSG00000106077	ABHD11
ENSCSAG00000018181	STX1A	ENSG00000106089	STX1A
ENSCSAG00000018180	BUD23	ENSG00000071462	BUD23
ENSCSAG00000018179	PIGN	ENSG00000197563	PIGN
ENSCSAG00000018178	VPS37D	ENSG00000176428	VPS37D
ENSCSAG00000018177	CDH20	ENSG00000101542	CDH20
ENSCSAG00000018176	MLXIPL	ENSG00000009950	MLXIPL
ENSCSAG00000018175	PMAIP1	ENSG00000141682	PMAIP1
ENSCSAG00000018174	CCBE1	ENSG00000183287	CCBE1
ENSCSAG00000018173	TBL2	ENSG00000106638	TBL2
ENSCSAG00000018172	LMAN1	ENSG00000074695	LMAN1
ENSCSAG00000018171	BCL7B	ENSG00000106635	BCL7B
ENSCSAG00000018170	CPLX4	ENSG00000166569	CPLX4
ENSCSAG00000018169	RAX	ENSG00000134438	RAX
ENSCSAG00000018168	BAZ1B	ENSG00000009954	BAZ1B
ENSCSAG00000018167	GRP	ENSG00000134443	GRP
ENSCSAG00000018166	SEC11C	ENSG00000166562	SEC11C
ENSCSAG00000018165			
ENSCSAG00000018164	TRIM50	ENSG00000146755	TRIM50
ENSCSAG00000018163			
ENSCSAG00000018162	MALT1	ENSG00000172175	MALT1
ENSCSAG00000018161	NSUN5	ENSG00000130305	NSUN5
ENSCSAG00000018160	ALPK2	ENSG00000198796	ALPK2
ENSCSAG00000018159		ENSG00000196313	POM121
ENSCSAG00000018159		ENSG00000272391	POM121C
ENSCSAG00000018158	NEDD4L	ENSG00000049759	NEDD4L
ENSCSAG00000018157	HIP1	ENSG00000127946	HIP1
ENSCSAG00000018156	ATP8B1	ENSG00000081923	ATP8B1
ENSCSAG00000018155	CCL26	ENSG00000006606	CCL26
ENSCSAG00000018154	CCL24	ENSG00000106178	CCL24
ENSCSAG00000018153	RHBDD2	ENSG00000005486	RHBDD2
ENSCSAG00000018152	NARS1	ENSG00000134440	NARS1
ENSCSAG00000018151	POR	ENSG00000127948	POR
ENSCSAG00000018150	FECH	ENSG00000066926	FECH
ENSCSAG00000018149	ONECUT2	ENSG00000119547	ONECUT2
ENSCSAG00000018148	TMEM120A	ENSG00000189077	TMEM120A
ENSCSAG00000018147	ST8SIA3	ENSG00000177511	ST8SIA3
ENSCSAG00000018146	WDR7	ENSG00000091157	WDR7
ENSCSAG00000018145	TXNL1	ENSG00000091164	TXNL1
ENSCSAG00000018144	STYXL1	ENSG00000127952	STYXL1
ENSCSAG00000018143			
ENSCSAG00000018142	MDH2	ENSG00000146701	MDH2
ENSCSAG00000018141	TCF4	ENSG00000196628	TCF4
ENSCSAG00000018140	SRRM3	ENSG00000177679	SRRM3
ENSCSAG00000018139		ENSG00000150337	FCGR1A
ENSCSAG00000018139		ENSG00000198019	FCGR1B
ENSCSAG00000018138	MRPL57	ENSG00000173141	MRPL57
ENSCSAG00000018137	HSPB1	ENSG00000106211	HSPB1
ENSCSAG00000018136		ENSG00000211625	IGKV3D-20
ENSCSAG00000018136		ENSG00000244437	IGKV3-15
ENSCSAG00000018136		ENSG00000239951	IGKV3-20
ENSCSAG00000018136		ENSG00000224041	IGKV3D-15
ENSCSAG00000018135	SV2A	ENSG00000159164	SV2A
ENSCSAG00000018134	CCDC68	ENSG00000166510	CCDC68
ENSCSAG00000018133	SKA3	ENSG00000165480	SKA3
ENSCSAG00000018132	YWHAG	ENSG00000170027	YWHAG
ENSCSAG00000018131			
ENSCSAG00000018130	SAP18	ENSG00000150459	SAP18
ENSCSAG00000018129	SF3B4	ENSG00000143368	SF3B4
ENSCSAG00000018128	SSC4D	ENSG00000146700	SSC4D
ENSCSAG00000018127		ENSG00000150457	LATS2
ENSCSAG00000018126	RAB27B	ENSG00000041353	RAB27B
ENSCSAG00000018125	XPO4	ENSG00000132953	XPO4
ENSCSAG00000018124		ENSG00000146707	POMZP3
ENSCSAG00000018123	MTMR11	ENSG00000014914	MTMR11
ENSCSAG00000018122	EEF1AKMT1	ENSG00000150456	EEF1AKMT1
ENSCSAG00000018121	DTX2	ENSG00000091073	DTX2
ENSCSAG00000018120	DYNAP	ENSG00000178690	DYNAP
ENSCSAG00000018119	IL17D	ENSG00000172458	IL17D
ENSCSAG00000018118		ENSG00000151033	LYZL2
ENSCSAG00000018118		ENSG00000120563	LYZL1
ENSCSAG00000018117	C18orf54	ENSG00000166845	C18orf54
ENSCSAG00000018116	UPK3B	ENSG00000243566	UPK3B
ENSCSAG00000018115	IFT88	ENSG00000032742	IFT88
ENSCSAG00000018114	MAP3K8	ENSG00000107968	MAP3K8
ENSCSAG00000018113		ENSG00000284981	UPK3BL2
ENSCSAG00000018113		ENSG00000205236	
ENSCSAG00000018113		ENSG00000267368	UPK3BL1
ENSCSAG00000018113		ENSG00000168255	POLR2J3
ENSCSAG00000018112	OTUD7B	ENSG00000264522	OTUD7B
ENSCSAG00000018111	STARD6	ENSG00000174448	STARD6
ENSCSAG00000018110	CRYL1	ENSG00000165475	CRYL1
ENSCSAG00000018109	VPS45	ENSG00000136631	VPS45
ENSCSAG00000018108	POLI	ENSG00000101751	POLI
ENSCSAG00000018107	ZMYM2	ENSG00000121741	ZMYM2
ENSCSAG00000018106	MBD2	ENSG00000134046	MBD2
ENSCSAG00000018105	SRPX	ENSG00000101955	SRPX
ENSCSAG00000018104		ENSG00000170667	RASA4B
ENSCSAG00000018104		ENSG00000105808	RASA4
ENSCSAG00000018103	PLEKHO1	ENSG00000023902	PLEKHO1
ENSCSAG00000018102	ANP32E	ENSG00000143401	ANP32E
ENSCSAG00000018101	DCC	ENSG00000187323	DCC
ENSCSAG00000018100	ZMYM5	ENSG00000132950	ZMYM5
ENSCSAG00000018099	CA14	ENSG00000118298	CA14
ENSCSAG00000018098	APH1A	ENSG00000117362	APH1A
ENSCSAG00000018097	MEX3C	ENSG00000176624	MEX3C
ENSCSAG00000018096	C1orf54	ENSG00000118292	C1orf54
ENSCSAG00000018095	PSPC1	ENSG00000121390	PSPC1
ENSCSAG00000018094	SMAD4	ENSG00000141646	SMAD4
ENSCSAG00000018093	MPHOSPH8	ENSG00000196199	MPHOSPH8
ENSCSAG00000018092		ENSG00000267645	
ENSCSAG00000018091		ENSG00000267699	
ENSCSAG00000018090	ELAC1	ENSG00000141642	ELAC1
ENSCSAG00000018089	LRWD1	ENSG00000161036	LRWD1
ENSCSAG00000018088	CIART	ENSG00000159208	CIART
ENSCSAG00000018087	CSF2RA	ENSG00000198223	CSF2RA
ENSCSAG00000018086	ME2	ENSG00000082212	ME2
ENSCSAG00000018085	MRPS21	ENSG00000266472	MRPS21
ENSCSAG00000018084		ENSG00000163125	RPRD2
ENSCSAG00000018083	ALKBH4	ENSG00000160993	ALKBH4
ENSCSAG00000018082	MRO	ENSG00000134042	MRO
ENSCSAG00000018081	ORAI2	ENSG00000160991	ORAI2
ENSCSAG00000018080	SYTL5	ENSG00000147041	SYTL5
ENSCSAG00000018079		ENSG00000163125	RPRD2
ENSCSAG00000018078	MAPK4	ENSG00000141639	MAPK4
ENSCSAG00000018077		ENSG00000132958	TPTE2
ENSCSAG00000018077		ENSG00000274391	TPTE
ENSCSAG00000018076	SKA1	ENSG00000154839	SKA1
ENSCSAG00000018075	TARS2	ENSG00000143374	TARS2
ENSCSAG00000018074	IL3RA	ENSG00000185291	IL3RA
ENSCSAG00000018073	PRKRIP1	ENSG00000128563	PRKRIP1
ENSCSAG00000018072	CXXC1	ENSG00000154832	CXXC1
ENSCSAG00000018071	ECM1	ENSG00000143369	ECM1
ENSCSAG00000018070	MBD1	ENSG00000141644	MBD1
ENSCSAG00000018069	SLC25A6	ENSG00000169100	SLC25A6
ENSCSAG00000018068	ADAMTSL4	ENSG00000143382	ADAMTSL4
ENSCSAG00000018067	SH2B2	ENSG00000160999	SH2B2
ENSCSAG00000018066	ASMTL	ENSG00000169093	ASMTL
ENSCSAG00000018065			
ENSCSAG00000018064	MCL1	ENSG00000143384	MCL1
ENSCSAG00000018063	AKAP17A	ENSG00000197976	AKAP17A
ENSCSAG00000018062	CUX1	ENSG00000257923	CUX1
ENSCSAG00000018061			
ENSCSAG00000018060		ENSG00000167306	MYO5B
ENSCSAG00000018060		ENSG00000266997	
ENSCSAG00000018059	MYL10	ENSG00000106436	MYL10
ENSCSAG00000018058	ENSA	ENSG00000143420	ENSA
ENSCSAG00000018057	ZDHHC20	ENSG00000180776	ZDHHC20
ENSCSAG00000018056	DYNLT3	ENSG00000165169	DYNLT3
ENSCSAG00000018055	GOLPH3L	ENSG00000143457	GOLPH3L
ENSCSAG00000018054	ACAA2	ENSG00000167315	ACAA2
ENSCSAG00000018053			
ENSCSAG00000018052	MICU2	ENSG00000165487	MICU2
ENSCSAG00000018051	HORMAD1	ENSG00000143452	HORMAD1
ENSCSAG00000018050	CYBB	ENSG00000165168	CYBB
ENSCSAG00000018049	FGF9	ENSG00000102678	FGF9
ENSCSAG00000018048	SGCG	ENSG00000102683	SGCG
ENSCSAG00000018047	XK	ENSG00000047597	XK
ENSCSAG00000018046	CTSS	ENSG00000163131	CTSS
ENSCSAG00000018045	LANCL3	ENSG00000147036	LANCL3
ENSCSAG00000018044	SACS	ENSG00000151835	SACS
ENSCSAG00000018043	LIPG	ENSG00000101670	LIPG
ENSCSAG00000018042	TNFRSF19	ENSG00000127863	TNFRSF19
ENSCSAG00000018041	PRRG1	ENSG00000130962	PRRG1
ENSCSAG00000018040	CTSK	ENSG00000143387	CTSK
ENSCSAG00000018039	MIPEP	ENSG00000027001	MIPEP
ENSCSAG00000018038	ARNT	ENSG00000143437	ARNT
ENSCSAG00000018037		ENSG00000182957	SPATA13
ENSCSAG00000018037		ENSG00000273167	
ENSCSAG00000018036	IFT22	ENSG00000128581	IFT22
ENSCSAG00000018035	FIS1	ENSG00000214253	FIS1
ENSCSAG00000018034	SETDB1	ENSG00000143379	SETDB1
ENSCSAG00000018033		ENSG00000240654	C1QTNF9
ENSCSAG00000018033		ENSG00000205863	C1QTNF9B
ENSCSAG00000018032	ATP12A	ENSG00000075673	ATP12A
ENSCSAG00000018031	CLDN15	ENSG00000106404	CLDN15
ENSCSAG00000018030	CERS2	ENSG00000143418	CERS2
ENSCSAG00000018029	C18orf32	ENSG00000177576	C18orf32
ENSCSAG00000018028	DYM	ENSG00000141627	DYM
ENSCSAG00000018027	ZNHIT1	ENSG00000106400	ZNHIT1
ENSCSAG00000018026	ANXA9	ENSG00000143412	ANXA9
ENSCSAG00000018025	PLOD3	ENSG00000106397	PLOD3
ENSCSAG00000018024	SMAD7	ENSG00000101665	SMAD7
ENSCSAG00000018023	MINDY1	ENSG00000143409	MINDY1
ENSCSAG00000018022			
ENSCSAG00000018021	CTIF	ENSG00000134030	CTIF
ENSCSAG00000018020	PRUNE1	ENSG00000143363	PRUNE1
ENSCSAG00000018019	RNF17	ENSG00000132972	RNF17
ENSCSAG00000018018	ZBTB7C	ENSG00000184828	ZBTB7C
ENSCSAG00000018017	MOGAT3	ENSG00000106384	MOGAT3
ENSCSAG00000018016	SMAD2	ENSG00000175387	SMAD2
ENSCSAG00000018015	BNIPL	ENSG00000163141	BNIPL
ENSCSAG00000018014	NAT16	ENSG00000167011	NAT16
ENSCSAG00000018013	AP1S1	ENSG00000106367	AP1S1
ENSCSAG00000018012	SKOR2	ENSG00000215474	SKOR2
ENSCSAG00000018011	SERPINE1	ENSG00000106366	SERPINE1
ENSCSAG00000018010	C1orf56	ENSG00000143443	C1orf56
ENSCSAG00000018009		ENSG00000134049	IER3IP1
ENSCSAG00000018009		ENSG00000267228	
ENSCSAG00000018008	MUC17	ENSG00000169876	MUC17
ENSCSAG00000018007	HDHD2	ENSG00000167220	HDHD2
ENSCSAG00000018006	CENPJ	ENSG00000151849	CENPJ
ENSCSAG00000018005	MUC12	ENSG00000205277	MUC12
ENSCSAG00000018004	PARP4	ENSG00000102699	PARP4
