Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
TMPRSS13	TMPRSS13	0.01	0.01	0.02	0	0
U4	RNU4-16P	0	0	0	0	0
DAGLA	DAGLA	2.46	2.63	2.23	1.57	1.6
LRTM2	LRTM2	0	0	0	0	0
PLS3	PLS3	16.84	17.05	15.14	2.84	3.1
ST6GAL2	ST6GAL2	0	0	0	0	0
ENSCSAG00000014806	NA	0.16	0.13	0.16	0	0.09
GPANK1	GPANK1	7.23	7.35	6.6	1.85	1.77
ENSCSAG00000024785	NA	0	0	0	0	0
C16orf58	C16orf58	4.64	4.96	4.15	1.18	1.08
ZCCHC7	ZCCHC7	4.96	4.67	4.27	0.95	1.57
WASHC1	WASHC1	5.12	5.11	4.63	1.44	1.25
MAGI3	MAGI3	1.34	1.42	1.1	0.36	0.39
KCNA4	KCNA4	0.03	0.01	0.02	0	0
ZDBF2	ZDBF2	1.01	1.06	0.84	0.26	0.31
ENSCSAG00000019252	NA	0	0	0	0	0
CLP1	CLP1	4.8	5.03	4.24	1.21	1.79
UBE2G1	UBE2G1	10.99	10.76	10.05	2.49	2.6
PTPN20	PTPN20	0	0	0	0	0
ENSCSAG00000021665	NA	0	0	0	0	0
DNAL4	DNAL4	9.19	10.72	9.31	1.46	2.68
WDR6	WDR6	22.48	21.89	19.81	4.95	5.21
DCDC2	DCDC2	2.09	1.87	1.6	0.26	0.27
ENSCSAG00000006101	NA	62.09	61.48	55.93	33.98	36.41
TET3	TET3	4.58	4.87	4.14	4.26	3.71
SOWAHD	SOWAHD	0.11	0.07	0.16	0	0
ENSCSAG00000027819	AC008810.1	0	0	0	0	0
MIR761	MIR761	0	0	0	0	0
MTA1	MTA1	20.86	20.56	19.23	9.72	10.32
ASB15	ASB15	0	0	0	0	0
ENSCSAG00000008509	MPRIP	17.87	18.6	16.28	6.94	6.99
CEP83	CEP83	0.98	1.1	0.86	0.3	0.36
FRK	FRK	2.79	2.79	2.47	0.71	0.43
ENSCSAG00000019982	NA	0	0	0	0	0
ENSCSAG00000026794	NA	0	0	0	0	0
ENSCSAG00000026291	NA	0	0	0	0	0
ENSCSAG00000020447	NA	0	0	0	0	0
ENSCSAG00000012518	NA	0.02	0.02	0	0	0
MARCHF11	MARCHF11	0	0	0	0	0
AGTRAP	AGTRAP	30.43	28.19	27.69	5.7	6.31
CTTN	CTTN	58.64	58.31	54.44	11.48	11.82
CCDC93	CCDC93	5.42	5.66	4.9	1.78	1.53
ENSCSAG00000021937	NA	0	0	0	0	0
POU3F3	POU3F3	0	0	0	0	0
ENSCSAG00000018917	CNN2	32.96	32.34	28.84	12.52	11
EHMT1	EHMT1	8.18	8.07	7.11	3.2	3.26
ENSCSAG00000026134	NA	0	0	0	0	0
ENSCSAG00000025713	NA	0	0	0	0	0
SLC19A2	SLC19A2	1.84	1.97	1.72	0.83	0.61
ENSCSAG00000008137	NA	0	0	0	0	0
RHOT2	RHOT2	6.03	5.79	5.78	1.76	1.95
GLDC	GLDC	6.44	6.22	5.61	1.25	0.99
ENSCSAG00000026034	NA	0	0	0	0	0
ENSCSAG00000018259	NA	0.01	0.01	0.02	0	0.03
ENSCSAG00000010090	NA	10.12	10.47	9.42	2.8	2.5
STPG1	STPG1	0.29	0.22	0.22	0.1	0.09
ACSM1	ACSM1	0.01	0.05	0	0.03	0
ENSCSAG00000004330	NA	0	0.05	0.01	0	0
ENSCSAG00000024485	NA	0	0	0	0	0
ENSCSAG00000023888	NA	0	0	0	0	0
ENSCSAG00000026751	NA	0	0	0	0	0
RAB36	RAB36	0.01	0.03	0.01	0.01	0.01
ZNF311	ZNF311	1.58	1.15	1.01	0.24	0.24
PYCR1	PYCR1	8.21	8.2	7	2.31	2.06
IL9	IL9	0	0	0	0	0
NEU2	NEU2	0	0	0	0	0
HLA-DQA1	HLA-DQA1	0	0	0	0	0.02
WIPI1	WIPI1	2.7	2.66	2.57	0.52	0.54
ABI1	ABI1	12.2	11.81	11.14	3.03	3.44
ZSCAN25	ZSCAN25	3.5	3.46	3.19	1.83	1.71
TGFB1	TGFB1	31.3	30.39	27.9	7.59	7.15
ST3GAL3	ST3GAL3	3.91	3.12	3	1.25	1.04
ENSCSAG00000024022	NA	0	0	0	0	0
DAO	DAO	0.01	0.01	0	0	0.01
RHEB	RHEB	29.83	28.4	26.18	7.12	8.48
SLC7A11	SLC7A11	5.6	6.09	5.21	2.18	1.82
ENSCSAG00000010970	IFI27	0.25	0.16	0.65	0	0.38
IL10RB	IL10RB	9.72	9.86	8.96	2.2	2.8
ENSCSAG00000022506	NA	0	0	0	0	0
SEC11A	SEC11A	38.12	37.29	34.18	7.18	7.09
MED30	MED30	11.46	12.32	10.59	1.91	2.98
PDE4D	PDE4D	3.03	3.32	2.65	3.23	3.26
MET	MET	36.58	39.37	33.56	10.03	11.02
ADAM11	ADAM11	0.69	0.64	0.58	0.12	0.11
ENSCSAG00000020129	NA	0	0	0	0	0
ENSCSAG00000021492	NA	0	0	0	0	0
ENSCSAG00000006275	ANP32D	10.38	9.19	9.5	1.17	1.84
ERI3	ERI3	10.47	10.43	9.29	2.11	2.32
DDTL	DDTL	0	0	0	0	0
IRAK2	IRAK2	1.84	1.62	1.33	2.06	1.93
ZNF799	ZNF799	0.06	0.04	0.06	0	0.03
ENSCSAG00000008031	TBC1D26	0	0	0	0	0
ENSCSAG00000014589	NA	0	0.08	0.05	0	0.05
PCDH15	PCDH15	0.01	0	0.01	0	0
KIF9	KIF9	0.45	0.55	0.38	0.13	0.15
Vault	VTRNA1-3	0	0	0	0	0
ENSCSAG00000019061	BIRC5	0	0	0	0	0
EDN2	EDN2	4.33	3.44	3.8	2.37	2.28
ENSCSAG00000003167	NA	447.3	456.44	415.52	96.18	93.35
ENSCSAG00000006904	NA	0.18	0.05	0.08	0	0.06
NHLRC4	NHLRC4	0.1	0.09	0	0	0
STIL	STIL	3.89	3.94	3.29	1.12	1.16
ENSCSAG00000004962	SAA2-SAA4	0	0	0	0.01	0
CRAMP1	CRAMP1	2.45	2.64	2.13	1.41	1.35
SCARNA17	SCARNA17	0	0	0	0	0
ENSCSAG00000014560	NA	0	0	0	0	0
ELAVL4	ELAVL4	0	0	0	0	0
ENSCSAG00000024991	NA	0	0	0	0	0
CSF1R	CSF1R	1.76	1.65	1.68	0.52	0.4
ENSCSAG00000026388	NA	0	0	0	0	0
PRKAG2	PRKAG2	18.99	20.2	17.64	7.45	8.73
ENSCSAG00000025123	NA	0	0	0	0	0
CMTM8	CMTM8	1.18	1.22	0.96	0.36	0.64
MIR138-2	MIR138-2	0	0	0	0	0
PCSK9	PCSK9	0.03	0.03	0.03	0.01	0.01
ADAMTS9	ADAMTS9	31.02	30.96	25.7	5.49	5.31
ENSCSAG00000026406	NA	0	0	0	0	0
PROSER2	PROSER2	4.22	4.24	3.78	2.37	2.18
P4HB	P4HB	246.03	241.35	221.62	64.08	61.67
ENSCSAG00000022156	NA	0	0	0	0	0
NAPSA	NAPSA	7.17	6.91	6.17	1.15	1.1
ENSCSAG00000005236	NA	2.83	2.24	2.02	0.58	0.77
ENSCSAG00000027162	NA	0	0	0	0	0
MYO1D	MYO1D	6.54	6.64	5.91	1.46	1.32
SLC25A51	SLC25A51	6.63	5.62	5.31	2.16	1.5
EFHD2	EFHD2	41	42.59	40.49	14.08	13.78
C7orf26	C7orf26	5.14	4.94	5.02	1.68	1.83
ENSCSAG00000025181	NA	0	0	0	0	0
SDHAF1	SDHAF1	3.07	2.58	2.91	1.94	1.27
ETNPPL	ETNPPL	0	0	0	0	0
FH	FH	10.24	10.46	9.07	2.31	2.47
NIPA2	NIPA2	8.82	9.05	8.04	1.49	1.76
MIR342	MIR342	0	0	0	0	0
ORMDL1	ORMDL1	1.6	1.56	1.39	0.38	0.35
ZNF586	ZNF586	0.32	0.24	0.21	0.13	0.04
PEX11A	PEX11A	0.95	0.42	0.56	0.2	0.12
ENSCSAG00000025832	AC000081.2	0	0	0	0	0
CRISP3	CRISP3	0	0	0	0	0
ZSCAN22	ZSCAN22	1.06	1.02	0.89	0.4	0.46
PPT1	PPT1	9.58	8.94	7.91	1.53	1.16
COX7A2	COX7A2	113.4	110.75	107.75	20.69	22.28
TRAV3	TRAV3	0	0	0	0	0
ENSCSAG00000000419	NA	14.14	13.44	11.18	8.67	9.22
ENSCSAG00000006650	NA	0	0.03	0.08	0	0
EIF3B	EIF3B	43.46	43.87	39.28	10.38	11.46
MAPK8IP1	MAPK8IP1	6.54	6.25	6.26	2.06	1.87
ENSCSAG00000006076	GLYATL1B	0	0.02	0	0	0
ENSCSAG00000026746	AC016559.1	0	0	0	0	0
WDCP	WDCP	2.02	2.19	1.94	0.6	0.72
ENSCSAG00000026900	NA	0	0	0	0	0
MIR27B	MIR27B	0	0	0	0	0
GATB	GATB	9.1	9.1	8.53	2.29	1.87
ENSCSAG00000010293	NA	0	0	0	0	0
ENSCSAG00000021703	NA	0	0	0	0	0
EIF4G1	EIF4G1	66.3	68.35	61.59	20.07	20.98
STAM2	STAM2	7.71	7.4	7.02	2.02	1.82
KRT12	KRT12	0.12	0.14	0.04	0.03	0
ENSCSAG00000027270	NA	0	0	0	0	0
PDRG1	PDRG1	2.75	2.7	2.32	0.63	0.69
NSL1	NSL1	10.32	10.05	8.78	2.35	1.84
OAS3	OAS3	12.72	12.46	10.78	3.81	3.35
OLR1	OLR1	0	0	0	0	0
TLR3	TLR3	5.29	4.81	4.04	1.01	0.77
HCFC1	HCFC1	19.66	22.63	18.28	5.77	5.56
GLYATL1	GLYATL1	0.1	0.08	0.05	0.08	0.05
SLC9C1	SLC9C1	0	0	0	0	0
EDA2R	EDA2R	10.31	10.89	10.69	2.56	3.03
UACA	UACA	5.32	5.24	4.52	1.28	1.55
VCAN	VCAN	75.82	82.04	60.75	13.61	12.03
LONRF3	LONRF3	0.76	0.64	0.64	0.36	0.17
ENSCSAG00000007776	TRBV12-4	0	0	0	0	0
WDR90	WDR90	3.72	3.82	3.16	1.01	0.94
IFT81	IFT81	3.78	3.63	3.09	0.56	0.84
TCEA2	TCEA2	6.7	5.77	5	1.16	1.36
ENSCSAG00000027790	AC009511.3	0	0	0	0	0
TMEM268	TMEM268	5.54	5.35	4.58	1.99	1.49
VMA21	VMA21	21.23	23.31	19.88	3.19	4.02
FHL3	FHL3	4.33	3.78	3.91	1.35	1.18
ENSCSAG00000019812	NA	0	0	0	0	0
G6PC3	G6PC3	26.48	25.74	24.2	5.62	5.93
ENSCSAG00000025056	NA	0	0	0	0	0
ESRP2	ESRP2	1.36	1.44	1.14	0.28	0.28
ARID2	ARID2	3.92	3.97	3.36	1.43	1.58
ENSCSAG00000021994	MIR548AZ	0	0	0	0	0
REST	REST	5.92	5.9	4.93	1.57	1.69
ENSCSAG00000007491	NA	0.15	0	0.12	0	0
ZNF726	ZNF726	0.02	0.05	0.02	0.01	0
TBL2	TBL2	9.79	9.67	8.67	3.62	3.99
TGFA	TGFA	11.68	10.72	9.23	3.95	5.7
ENSCSAG00000026610	NA	0	0	0	0	0
WNT9B	WNT9B	2.03	1.51	1.73	0.38	0.61
IPO13	IPO13	6.54	6.32	6.14	2.01	1.91
RNU6ATAC41P	RNU6ATAC41P	0	0	0	0	0
ENSCSAG00000025890	NA	0	0	0	0	0
ZKSCAN3	ZKSCAN3	1.46	1.42	1.4	0.38	0.37
THEMIS2	THEMIS2	0.01	0.06	0.02	0	0.01
MIR148A	MIR148A	0	0	0	0	0
COCH	COCH	0.01	0.08	0.08	0.05	0.02
YTHDC2	YTHDC2	3.01	2.84	2.4	0.69	0.61
GAS6	GAS6	7.99	7.77	7.52	2.24	2
ASB8	ASB8	3.13	3.36	2.93	1.08	1.09
ENSCSAG00000025371	NA	0	0	0	0	0
OR5C1	OR5C1	1.85	1.42	1.24	0.76	0.48
ARFGAP2	ARFGAP2	15.19	15.24	14.28	3.82	3.83
ENSCSAG00000020236	NA	0	0	0	0	0
SEPTIN7	SEPTIN7	38.72	37.16	32.93	7.5	7.51
ADO	ADO	10.47	9.07	8.21	4.07	3.79
ENSCSAG00000000244	RPL35	749.08	721.66	653.85	381.69	380.64
AOPEP	AOPEP	1.49	1.58	1.24	0.66	0.59
CMAS	CMAS	20.28	19.92	17.94	3.39	3.62
ENSCSAG00000004984	ZNF675	0.03	0.03	0.08	0	0
SHANK3	SHANK3	3.02	2.93	2.63	1.04	1
ENSCSAG00000027325	NA	0	0	0	0	0
PGAP1	PGAP1	5.57	5.48	4.84	1.12	0.87
C2CD4D	C2CD4D	0.02	0	0	0	0
THEM4	THEM4	23.94	23.53	21.33	3.84	3.9
MEN1	MEN1	16.35	16.35	15.36	4.52	4.1
FOXRED1	FOXRED1	6.4	6.43	5.79	1.22	1.51
ENSCSAG00000004799	NA	0.12	0.06	0	0	0.28
IMPG2	IMPG2	0.01	0.01	0	0.01	0.01
INA	INA	0	0	0	0	0
ENSCSAG00000022857	NA	0	0	0	0	0
PLCXD3	PLCXD3	0	0	0	0	0
FBXL17	FBXL17	2.26	2.36	2.26	0.73	0.76
CLDND2	CLDND2	0	0	0	0	0
MIR199A2	MIR199A2	0	0	0	0	0
PDGFB	PDGFB	20.83	21.79	18.86	8.51	9.02
ENSCSAG00000025542	NA	0	0	0	0	0
ENSCSAG00000022109	NA	0	0	0	0	0
SNORD93	SNORD93	0	0	0	0	0
PARM1	PARM1	0.01	0.02	0.02	0	0
GPC3	GPC3	0.66	0.6	0.72	0.11	0.08
NMNAT3	NMNAT3	2.28	2.25	2.37	0.68	0.91
FABP12	FABP12	0	0	0	0	0.16
ENSCSAG00000023715	NA	0	0	0	0	0
ENSCSAG00000027178	NA	0	0	0	0	0
ZCCHC12	ZCCHC12	1.34	1.03	1.16	0.11	0.16
KPNB1	KPNB1	62.84	62.57	56.25	15.81	17.36
INO80E	INO80E	2.81	2.58	2.47	0.69	0.67
WDR61	WDR61	22.53	21.37	19.93	4.11	4.48
RGP1	RGP1	7.33	7.44	5.77	2.42	1.75
ENSCSAG00000016491	NA	0	0	0	0	0
ENSCSAG00000002311	NA	31.45	30.46	28.26	6.52	5.15
ENSCSAG00000007560	NA	206.5	204.91	184.04	49.34	50.68
GRHL1	GRHL1	1.02	1.17	1.01	0.4	0.68
HSPA14	HSPA14	4.58	4.49	4.06	1.11	1.47
MBLAC2	MBLAC2	1.23	1.13	1.11	0.26	0.34
ENSCSAG00000010454	IL17RE	0.25	0.29	0.21	0.29	0.26
PPIH	PPIH	11.05	10.45	9.67	2.44	2.17
SOAT2	SOAT2	0.04	0.01	0.01	0	0
BFSP2	BFSP2	0	0	0	0	0
SFT2D1	SFT2D1	6.65	6.44	5.43	0.97	1.19
STXBP4	STXBP4	1.37	1.36	1.09	0.33	0.2
NOTO	NOTO	0	0	0	0	0
CTSA	CTSA	33.96	31.47	29.12	5.49	5.28
HFE	HFE	3.63	3.49	3.18	0.47	0.65
ENSCSAG00000021053	NA	0	0	0	0	0
ENSCSAG00000021468	NA	0	0	0	0	0
DDIT4L	DDIT4L	0	0	0	0	0
KLHL13	KLHL13	0.81	0.71	0.64	0.15	0.14
C3AR1	C3AR1	0.13	0.19	0.1	0.03	0.03
ENSCSAG00000027809	NA	0	0	0	0	0
ENSCSAG00000022866	NA	0	0	0	0	0
SHANK1	SHANK1	0.52	0.59	0.5	0.14	0.18
IRF2BP2	IRF2BP2	14.12	13.26	11.72	4.49	4.38
PDGFA	PDGFA	11.44	10.45	9.62	3.05	2.6
ENSCSAG00000001808	LILRB3	0	0	0	0	0
NOC2L	NOC2L	11.67	11.86	10.95	3.07	3.25
GTF2I	GTF2I	51.14	51.81	45.91	9.08	10.3
KIAA0895	KIAA0895	3.48	3.34	2.93	0.91	0.87
DMBX1	DMBX1	1.29	1.05	0.79	0.19	0.17
SETDB1	SETDB1	5.89	5.84	5.17	2.69	2.34
MEGF11	MEGF11	0.7	0.68	0.58	0.15	0.16
VAPB	VAPB	24.6	25.74	22.25	6.19	5.82
ZCCHC3	ZCCHC3	7.35	7.54	6.79	2.97	2.36
CDK20	CDK20	1.01	0.98	0.81	0.09	0.21
ENSCSAG00000027570	NA	0	0	0	0	0
ENSCSAG00000014288	NA	0	0	0	0	0
ZC3HC1	ZC3HC1	4.55	4.58	4.14	1.29	1.49
MIR876	MIR876	0	0	0	0	0
ENSCSAG00000003722	NA	0.02	0	0	0.05	0
MPV17L	MPV17L	4.2	4.2	3.37	1.4	1.22
ENSCSAG00000021664	AC025362.1	0	0	0	0	0
CENPL	CENPL	1.5	1.4	1.2	0.52	0.36
ENSCSAG00000023369	NA	0	0	0	0	0
EMD	EMD	21.99	21.78	20.44	6.72	6.95
CAPNS1	CAPNS1	135.74	131.98	122.65	33.46	33.02
ENSCSAG00000007162	NA	0	0	0	0	0
ENSCSAG00000017183	PDCL3	31.47	32.11	29.8	6.09	6.8
NOVA2	NOVA2	2.73	2.91	2.22	0.7	0.44
ATXN7L3	ATXN7L3	19.91	20.43	16.42	5.32	6.47
CCDC201	CCDC201	0	0	0	0	0
ZHX3	ZHX3	1.62	1.79	1.42	0.72	0.71
TYW5	TYW5	2.45	2.07	1.95	0.88	1.07
MTHFD2L	MTHFD2L	0.55	0.53	0.38	0.41	0.35
NALCN	NALCN	0.08	0.08	0.08	0.01	0.02
ENSCSAG00000018691	TMEM14C	0.53	0.63	0.3	0.3	0
COL27A1	COL27A1	1.94	1.99	1.62	0.78	0.71
TSPAN32	TSPAN32	0.04	0	0.03	0	0
MCEMP1	MCEMP1	0.03	0.06	0	0	0.03
LPGAT1	LPGAT1	4.91	5.11	4.47	1.27	1.11
WBP2	WBP2	67.29	68.44	58.82	13.07	12.72
WT1	WT1	0.01	0.01	0.01	0.01	0
CALCRL	CALCRL	0.1	0.13	0.09	0.09	0.03
TSEN34	TSEN34	41.33	39.94	39.24	7.78	7.59
SLC16A9	SLC16A9	1.4	1.32	1.17	0.28	0.3
CYP39A1	CYP39A1	0.67	0.58	0.58	0.1	0.08
ENSCSAG00000022023	NA	0	0	0	0	0
TNFAIP8	TNFAIP8	1.55	1.37	1.22	0.06	0.27
PLXNB2	PLXNB2	90.23	91.62	79.54	28.16	25.67
ENSCSAG00000002342	NA	0.54	0.69	0.36	0.07	0.05
ENSCSAG00000021830	NA	0	0	0	0	0
ENSCSAG00000020747	AC005722.2	0	0	0	0	0
CCNG2	CCNG2	9.73	9.35	8.15	1.81	1.32
MYH1	MYH1	0	0	0	0	0
OTUB1	OTUB1	32.8	29.64	29.12	7.31	8.2
POLR3A	POLR3A	2.65	2.67	2.29	1.11	1.18
ENSCSAG00000022503	NA	0	0	0	0	0
CARMIL2	CARMIL2	0.13	0.22	0.14	0.06	0.1
SATB2	SATB2	1.79	1.9	1.52	0.49	0.57
ENSCSAG00000021181	NA	0	0	0	0	0
SDF4	SDF4	48.13	47.03	42.41	10.74	10.7
LEF1	LEF1	0.2	0.22	0.19	0.05	0.02
DOK4	DOK4	10.85	10.61	9.48	2.21	1.94
HAPLN2	HAPLN2	0.02	0	0.01	0	0
ENSCSAG00000016557	NA	0	0	0	0	0
MAP7	MAP7	4.59	4.54	4.05	0.95	0.79
RSL24D1	RSL24D1	21.55	19.25	18.88	4.04	4.67
DEFB132	DEFB132	0	0	0	0	0
B3GNT4	B3GNT4	0	0	0	0	0
MIR484	MIR484	0	0	0	0	0
ZNF749	ZNF749	0.12	0.09	0.1	0.06	0.02
ZNF502	ZNF502	0	0	0	0.01	0
HSPBP1	HSPBP1	13.54	13.77	13.19	2.53	3.59
TBC1D20	TBC1D20	6.79	6.29	5.49	1.9	1.69
ENSCSAG00000019715	HIGD1A	40.03	30.68	32.32	7.45	9.64
ENSCSAG00000017760	NA	1.42	1.31	1.09	0.42	0.46
IGSF21	IGSF21	0	0.01	0	0	0
EGFLAM	EGFLAM	0.01	0.01	0.01	0	0
ITSN2	ITSN2	3.69	4.01	3.31	1.61	1.84
ENSCSAG00000005089	NA	33.42	33.44	31.62	8.61	9.48
ENSCSAG00000017484	NA	0	0	0	0	0
CHRNG	CHRNG	0.01	0.01	0	0	0
L3MBTL3	L3MBTL3	2.03	2.15	1.79	0.37	0.55
ENSCSAG00000024322	NA	0	0	0	0	0
ENSCSAG00000001940	NA	0	0	0	0	0
