Genes	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
SPAG11B	0	0	0	0	0	0
OR14C36	0	0	0	0	0	0
SNORA38B	0	0	0	0	0	4
D2HGDH	218	571	1005	345	176	426
DQ589067	0	0	0	0	0	0
ATG7	169	295	594	407	209	390
MBLAC1	13	29	41	11	4	16
MIR4285	0	0	0	0	0	0
C16orf72	344	439	1219	850	497	876
CPXM2	0	3	0	0	1	0
SNX7	339	463	1054	405	258	422
HK2	791	1186	3225	2543	1579	2541
TUBBP5	0	12	0	4	2	4
IL17RC	150	335	679	258	183	355
EEPD1	606	1220	2499	912	470	945
LRRC3C	4	1	4	5	5	6
ZSCAN22	75	102	285	166	62	216
AAAS	179	422	858	331	173	352
FABP7	0	0	1	0	0	0
TCEA1	834	1004	2892	2129	1276	1908
MMP10	0	0	0	0	0	0
DOM3Z	176	310	702	301	161	327
PTPN18	263	382	940	290	149	341
PSENEN	793	1633	3452	957	552	1050
LOC100130417	0	0	0	0	0	0
HIST1H2BI	0	4	0	0	0	2
C4orf6	0	0	0	0	0	0
UACA	325	396	878	567	410	604
DQ591628	0	0	0	0	0	0
TMEM129	354	772	1620	359	174	469
DHX16	504	1080	2442	1212	558	1260
MBNL3	122	99	353	112	42	73
AX748120	7	16	15	10	10	12
WDR73	112	277	693	203	148	223
SLITRK4	0	0	0	0	0	0
ERLIN1	488	771	1863	833	438	807
DM075093	0	0	0	0	0	0
EEF1E1	247	384	915	484	254	423
MIR4641	0	0	0	0	0	0
TRPM7	276	282	998	712	393	582
NKAP	172	337	607	340	237	331
MICU2	181	217	532	360	242	286
NSFL1C	693	1408	3122	974	490	976
CCDC73	1	1	16	10	18	11
CFHR2	0	0	0	0	0	0
HTT	324	470	1418	699	314	809
DSCAM	0	0	0	0	0	0
RBMY2FP	0	0	0	0	0	0
ZDHHC19	0	3	0	0	2	1
Ig kappa	2	0	1	0	0	0
SLC25A47	0	0	3	0	0	1
KPNA4	1376	1668	4642	3773	2115	3253
LOC100131626	0	1	3	0	0	3
C1orf111	0	0	0	0	1	0
OR52Z1	0	0	0	0	0	0
SLC24A3	2	3	10	3	0	1
RNF216	380	648	1702	1088	573	1157
BC033554	0	1	0	0	0	1
IFT88	88	129	317	136	66	107
CDH15	0	1	3	2	0	0
ZNRF3-AS1	13	27	42	47	20	44
EFCAB14	1079	1503	4127	1803	956	1583
FLVCR1-AS1	34	61	166	45	17	30
UPF3B	151	242	480	610	300	492
SLFN11	282	403	1190	461	282	456
ZPBP	0	0	0	0	0	0
COIL	127	194	502	311	168	298
BX648695	8	7	14	7	9	2
YBX3P1	0	0	0	1	0	1
HV983084	0	0	0	0	0	0
MIR3138	0	0	0	0	0	0
HAS3	329	617	1459	642	291	679
MIR3615	0	0	0	0	0	0
CCDC79	0	0	4	0	1	0
P2RY4	0	0	4	1	0	0
RNF145	1031	1612	3572	2706	1548	2687
TBATA	0	0	0	0	0	0
MIR2909	0	0	0	0	0	0
MTFR1L	149	276	567	207	125	189
DQ515899	0	7	0	5	0	0
CT64	0	0	2	1	0	0
CACNB1	161	394	872	416	208	435
S100A2	115	294	515	250	124	226
OR56B1	0	0	0	0	0	0
FAM211B	56	122	270	117	80	134
LIG1	661	1344	3187	699	369	703
UBL4B	0	0	0	1	1	2
MDFIC	97	106	337	117	86	134
TRIM31	596	989	2464	2153	1288	2480
DQ600787	0	0	0	0	0	0
DQ589220	0	0	0	0	0	0
CYLC1	0	0	0	0	0	0
PIGT	2266	4588	9712	3737	1814	4036
BRD7	670	1016	2156	1316	822	1125
SFT2D2	42	69	192	63	35	73
DSC1	1	0	4	4	0	2
PWP1	553	968	2209	1125	552	1064
JB050151	0	0	0	0	0	0
HEXA-AS1	3	4	5	5	4	8
MBD1	333	608	1536	851	406	922
PIGO	275	557	1374	587	327	726
SCAF1	950	2010	3885	1628	840	1922
HAUS2	80	97	323	164	68	140
ZNF197	62	64	232	239	121	205
SNORA36B	0	0	0	0	0	0
BC063788	0	2	11	0	0	10
ZDHHC17	116	100	413	329	170	267
SCPEP1	280	463	1166	442	257	511
IGFLR1	88	220	429	69	47	101
BC024027	0	0	1	0	0	0
OTOS	0	1	0	0	0	0
ISG20	98	227	373	2143	981	2244
AK093203	0	0	1	0	0	0
RANGAP1	1993	4359	9040	4804	2230	5010
LMCD1-AS1	2	5	12	17	7	13
GOLGA8B	75	125	453	448	205	311
BOC	0	1	0	4	0	2
BC044606	0	0	4	5	1	3
LRFN2	0	0	0	0	0	0
PHF2	174	250	649	339	192	362
FAM153B	0	0	0	3	1	3
C17orf104	48	37	166	82	53	83
IRF4	0	0	0	0	0	0
MON1B	419	705	1932	940	388	1018
HMGCL	288	467	945	602	326	624
LOC100506585	0	0	0	0	1	0
BC008215	0	0	0	0	0	2
MRPL23-AS1	1	3	2	6	3	7
DQ596584	0	0	0	0	0	0
LINC00950	2	2	14	16	8	13
LOC100505918	1	1	0	6	6	8
DQ588655	0	0	0	0	0	0
GCHFR	79	202	388	87	58	127
ADAR	1992	2938	8566	12059	5925	11664
MYOM2	0	1	2	3	5	2
DQ597182	0	0	0	0	0	0
UBE2E2	128	181	458	260	153	239
ARHGEF17	144	244	663	341	168	426
MIR3910-2	0	0	0	0	0	0
MIR124-1	0	0	0	0	0	0
AX747174	0	0	0	0	0	0
RSPH6A	0	1	0	0	0	0
PDHA1	992	1974	4130	1690	814	1507
F2R	269	416	1183	552	271	492
TSSK4	6	7	26	24	13	27
ZKSCAN4	48	71	173	134	70	165
SCGB1C1	0	0	0	0	0	0
BC048141	0	0	0	0	0	0
LOC729987	0	5	3	4	2	1
CCDC85B	481	1278	1973	379	443	1071
AX747333	1	4	7	4	0	3
BC031638	49	109	261	42	23	49
AGPAT4	111	186	418	274	137	257
KBTBD6	66	92	288	136	83	137
SP110	179	374	784	2800	1593	2740
ZNF423	0	0	0	0	0	1
CUL7	366	664	1669	705	335	842
JX088243	702	892	2815	2211	1262	1873
LINC00317	0	0	0	0	0	0
DQ576962	0	0	0	0	0	0
KLRC3	7	0	1	0	0	1
MIR539	0	0	0	0	0	0
PPP1R27	1	0	2	2	1	4
CRTAP	709	1261	2940	1056	597	1292
OVOL2	54	67	152	66	37	85
IGL@	0	0	0	0	0	0
EXOC1	206	359	827	599	323	504
PFDN1	771	1469	2959	1815	975	1690
ALOX15	0	0	0	0	0	0
AK056618	38	136	217	143	54	143
OR1L6	0	0	0	0	0	0
MIR4726	0	0	0	0	0	0
RNASE9	0	0	0	0	0	0
AK091265	52	57	288	65	43	83
CPB2	0	1	3	2	0	0
MIR3942	0	0	0	0	0	0
RAB21	452	649	1694	1088	546	1053
ITGAD	0	0	2	1	0	0
CORO7	159	238	613	336	218	492
LINC00639	4	2	10	6	2	3
C8orf22	0	0	0	0	0	0
ASXL3	1	3	5	8	13	7
UBE2Q2	328	361	1114	623	378	595
POLE3	500	966	1954	678	386	661
CHAT	0	0	0	0	0	0
NDFIP1	1123	1535	3903	2388	1523	2281
MSN	2982	4647	13220	6238	2735	6161
BC040898	0	1	0	0	0	0
KANK3	4	4	15	5	10	9
BAP1	416	785	1862	700	336	784
NPFFR1	1	0	0	0	0	1
ZNF586	41	51	165	113	36	95
FAM110A	104	262	496	153	95	225
KLRG2	4	14	28	12	1	8
NPBWR2	0	0	0	0	0	0
MIER1	179	162	499	698	448	722
MIR580	0	0	0	0	0	0
TSHR	0	0	0	0	0	0
MIR670	0	0	0	0	0	0
TBX10	0	0	0	0	0	0
AK091906	0	2	5	3	4	6
JA700170	0	0	0	0	0	0
UBE3A	198	199	667	401	260	371
C12orf10	147	370	703	245	131	275
DQ583646	0	0	0	0	0	0
RALYL	0	0	4	0	0	1
ENTPD7	47	80	237	51	27	53
IQCB1	177	222	531	367	193	369
AQP10	0	0	0	0	0	0
SNX14	624	819	2182	1182	754	999
LOC100506023	8	11	24	11	3	11
PRR20D	0	0	0	0	0	0
CLK1	415	617	1498	1882	1143	1844
GALP	0	0	0	0	0	0
DNAJB9	144	168	570	274	181	270
CDH6	40	72	141	38	16	26
ZNF782	15	21	51	35	17	21
SNRK	158	178	471	512	251	433
DHX38	474	970	2253	891	466	1008
ZNF138	32	44	78	76	78	72
SGPP1	234	203	839	363	256	357
KHNYN	341	633	1618	1406	715	1479
PHF23	206	411	1063	451	286	508
DQ372722	0	0	0	0	0	0
SUN2	1019	2037	4737	2014	1156	2319
ARHGEF10L	136	301	691	326	163	376
LINC00681	0	0	0	0	0	0
CYTH1	259	493	1078	1020	532	974
MIR4310	0	0	0	0	0	0
AK125463	3	4	28	7	6	10
C1orf158	0	0	0	0	0	0
HIST1H4H	17	16	65	46	27	71
RMDN1	177	354	788	362	238	347
LOC285972	1	0	3	0	0	2
ANGPTL2	0	0	0	0	0	0
DNAH3	1	2	7	7	6	3
TCF20	584	836	2574	1714	795	1646
GHITM	1583	2431	5889	2652	1420	2331
SFSWAP	365	724	1485	939	508	1040
LOC440934	3	4	5	10	16	6
BC036209	0	0	0	0	0	0
C1QL1	14	41	64	18	12	20
BC073897	59	125	173	95	52	78
DQ576856	0	0	0	0	0	0
TRIM67	1	0	10	6	1	14
LMAN2L	530	1073	2202	656	335	630
WASF1	112	127	338	163	71	160
DQ599581	0	0	0	0	0	0
PTCHD1	2	3	7	0	1	0
ZNF775	76	165	323	112	58	173
SEC14L1	371	564	1549	926	413	858
NKX2-3	0	1	0	1	0	0
POLR2B	878	1236	3072	1464	754	1348
IGHV 3-07	0	0	0	0	0	0
LOC648691	0	4	0	1	0	0
CREM	149	220	532	279	156	279
ZNF600	89	137	327	298	142	257
PRDM13	20	28	53	16	25	24
DNAJC1	228	332	741	349	203	392
SSPN	66	89	259	226	133	208
GRIP1	60	58	233	99	54	87
GINS1	86	122	349	139	92	134
LOC100506085	3	5	7	9	1	9
LRRC7	1	0	4	0	0	1
WDR63	3	2	4	2	2	0
KRT12	10	27	46	44	19	34
MORF4L2-AS1	3	4	12	3	4	5
GADD45A	194	427	816	2053	1181	2204
AK023614	0	0	2	0	0	0
MIR1197	0	0	0	0	0	0
SLC12A7	677	1367	3420	2062	984	2303
AK058136	0	0	0	0	0	0
AXIN2	0	0	12	1	0	5
MCCC2	1016	1569	3840	1637	882	1669
TBC1D17	336	717	1387	504	278	698
DQ655967	0	0	0	0	0	0
EGFLAM-AS2	0	0	0	0	0	0
LINC00939	10	20	34	26	26	37
PLA2G4E	4	0	2	2	3	10
CCDC64	163	331	675	158	77	175
FGF14	12	8	18	4	9	16
PLEKHA1	191	213	838	433	250	447
KRTAP2-3	183	448	719	2385	1053	2468
EPHA8	0	1	5	1	0	0
PTGES2	658	1606	3082	848	441	998
NEUROD2	0	0	5	2	0	2
IK	1028	2047	4246	2116	1053	1869
ALG1	361	729	1526	363	228	421
AGAP11	2	1	26	25	7	18
AK024998	27	26	67	102	36	78
LOC574538	0	0	0	1	0	0
DQ596879	0	0	0	0	0	0
DPB	0	0	0	0	0	0
UBQLN4	566	1153	2603	1109	512	1170
ZNF33B	138	164	466	270	232	270
BC065766	19	41	86	69	59	82
SP1	423	514	1595	981	622	955
RCVRN	0	0	0	0	0	0
RIPPLY1	0	0	0	1	0	0
LIFR	52	47	209	427	249	387
AK023040	17	32	74	41	17	29
MRPL38	458	1229	2232	584	324	690
SPATA31A3	0	0	0	0	0	0
DQ575962	0	0	0	0	0	0
PAK1	453	782	1969	1049	546	969
MIR31HG	60	87	239	31	16	23
ZNF710	84	125	340	288	130	284
FW340027	0	2	4	3	7	7
AK001351	0	0	0	0	2	0
BC023516	29	27	61	42	4	33
LPCAT1	356	662	1573	588	324	588
AX746823	4	6	24	19	11	18
C19orf53	477	943	1853	647	417	788
SCRN2	160	350	672	249	117	286
MIR2053	0	0	0	0	0	0
PNMA1	285	501	1344	641	359	723
SLC41A2	135	160	465	366	212	360
DQ593368	0	0	0	0	0	0
RBMXL2	0	0	0	0	0	0
SNORD116-26	1	0	0	0	0	0
BC016035	4	6	18	10	4	15
LRP12	137	148	506	256	115	282
MORC2-AS1	26	41	82	43	14	44
FBXO44	61	177	360	152	66	153
CEMP1	51	109	192	39	20	43
N4BP2L1	6	3	11	11	9	5
BC024732	13	44	57	44	14	36
OR5K4	0	0	0	0	0	0
FAM159B	1	0	0	0	0	0
APOE	54	110	203	74	53	110
AX747770	29	56	115	86	44	94
DHRS7	304	622	1202	652	341	632
LOC729852	185	192	542	264	161	231
NUGGC	0	3	4	6	4	5
TAS2R41	0	0	0	0	0	0
TACSTD2	6455	13280	26687	8188	5017	10141
NKX2-1	0	3	7	4	0	2
HTR3A	2	2	12	6	6	7
AK128593	61	52	186	195	103	176
FLJ41484	0	0	0	0	0	0
JA611275	0	0	0	0	0	0
LINC00565	0	0	0	0	0	1
STRA8	0	0	2	0	0	0
U5	0	0	0	0	0	0
OR2M2	0	0	0	0	0	0
FAM65B	5	0	11	12	12	12
CR627049	0	0	0	0	0	0
SNAP25-AS1	2	1	4	2	0	0
FAM76B	85	57	204	168	98	130
TMED10P1	14	16	46	19	12	13
ADRA1D	0	0	0	0	0	0
ISCA2	189	388	674	233	133	248
DIAPH1	1837	3182	7633	4112	1991	3994
C8orf86	0	0	2	3	2	1
PTPRU	565	958	2440	696	416	897
SNORD99	0	0	0	0	0	0
SUN1	1843	2719	7300	3642	1776	3387
HCG9	0	2	0	0	0	2
BC041439	0	0	0	0	0	0
CCDC14	266	297	768	394	227	300
TBCE	188	329	729	273	171	296
BASP1P1	0	0	0	0	0	0
SLC7A3	0	0	0	0	0	0
HAUS6	232	263	784	475	269	391
SUSD2	22	68	136	44	27	71
ACE2	334	435	1068	495	272	417
C2orf71	0	0	0	0	0	0
DQ585724	0	0	0	0	0	0
TPBG	697	1242	2887	1282	688	1462
TMEM42	74	144	225	110	96	139
FAM209B	1	5	1	1	0	0
BIN3	163	355	762	248	167	274
HOMER1	113	122	450	242	97	237
ANKRD36BP1	38	37	198	72	31	66
SCGB1B2P	0	2	0	2	0	0
ALS2CL	135	305	591	680	346	751
NNT	456	574	1817	652	339	658
OSBPL9	893	1301	3231	1795	1100	1690
SUOX	192	355	724	278	160	306
SSX2IP	293	316	808	413	209	352
MLH1	254	451	986	371	176	338
DHX35	176	284	666	365	223	383
ADH7	0	0	0	0	0	0
LOC728463	0	0	4	2	0	4
SMC1A	1180	1433	4860	1573	825	1481
RP2	247	300	953	710	345	561
FAM161B	10	10	66	31	16	30
BC112340	0	0	0	0	0	0
AK128880	0	0	0	0	0	0
APEH	1042	2379	5072	1422	777	1573
DQ596290	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0
PRSS38	0	0	0	0	0	0
WBP1	414	979	2093	718	327	832
IQCF6	0	0	0	0	0	0
NFKBID	31	64	108	155	91	180
SATB1	110	143	552	262	175	317
ASCL2	0	2	0	0	0	0
LOC115110	9	8	16	39	17	50
PRDM8	14	19	41	24	7	20
ITSN1	197	247	711	423	210	424
ZNF408	78	171	373	192	103	246
LINC00487	0	0	0	3	0	0
ADAM32	1	5	7	1	1	4
NSMCE1	442	1002	1886	851	453	914
AK130294	19	19	62	44	14	51
DQ591848	3	9	10	8	1	7
DQ575913	0	0	0	0	0	0
ESRP1	743	907	2711	1588	813	1484
ZNF266	84	153	387	242	128	224
JB022994	0	0	0	0	0	0
SLC10A1	0	0	3	0	0	3
SNORD116-5	0	0	0	0	0	0
AK056524	2	4	18	3	7	14
RGP1	63	128	406	155	80	184
MFAP3	372	420	1331	801	445	655
WDR81	59	147	367	126	37	139
CPPED1	0	2	8	6	3	4
SQLE	3148	4322	11480	2037	1353	2117
BEST4	2	2	19	14	3	13
C4orf47	9	1	8	0	6	4
TRAPPC6A	346	790	1604	477	273	574
OPTN	431	741	1577	3497	1883	3421
PTGES	95	185	387	183	95	232
ZC3H10	33	66	155	103	46	96
AK093534	16	23	37	47	22	40
AB231742	0	0	0	0	0	0
SYTL5	6	6	50	28	13	16
ARHGEF35	83	141	295	207	94	217
PNKP	345	792	1652	502	273	552
ADAM12	0	0	0	1	0	0
DQ588715	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0
MIR29A	0	0	0	0	0	0
RHOF	666	1428	2852	2476	1200	2661
TMEM135	62	60	175	143	83	97
PRKY	0	0	0	2	0	0
SSR2	1932	4127	8213	3335	1866	3358
NBEAL1	44	52	248	179	69	197
SLC22A16	0	0	0	1	2	0
DOC2B	0	0	0	1	0	1
AX746542	0	0	2	0	0	0
METTL25	16	34	84	34	25	31
C10orf67	1	4	11	5	4	5
MIR1238	0	0	0	0	0	0
MIR219-1	0	0	0	0	0	0
MYEOV	444	881	1956	1083	525	1073
METTL10	81	127	364	120	64	154
PURA	197	227	600	331	204	341
KCNH2	6	24	48	28	5	17
DQ593252	386	679	1158	771	701	753
BC126901	0	0	0	0	0	0
HV941478	0	0	0	0	0	0
BC069782	1	0	1	1	0	2
LOC375295	56	111	211	83	45	69
NSMAF	99	136	413	236	108	184
MSRB2	121	277	500	165	132	281
CLN3	330	737	1622	438	240	542
DDX46	944	1367	3455	1730	848	1486
PDCD5	853	1615	2871	1277	845	1286
TMEM79	108	293	627	189	97	227
DDX10	217	261	642	362	194	341
LCN1	0	0	0	0	0	1
ANKRD2	6	17	44	17	6	13
SPR	620	1280	2612	640	387	723
MRGPRX3	10	10	31	11	3	11
SNAI2	2	2	5	17	2	11
FAM196A	0	0	4	0	0	0
PCSK6	20	32	81	37	16	37
MIR545	0	0	0	0	0	0
NDNL2	63	131	206	130	61	166
SRSF2	1900	3830	8812	1801	975	1938
MIR4743	0	0	0	0	0	0
LY86-AS1	1	10	14	15	3	12
BSG	4069	9022	18339	5855	3048	6353
CYP4F12	12	18	69	21	5	26
HOXB5	101	281	479	171	118	179
LILRA5	0	1	0	0	0	1
DQ580504	0	0	0	0	0	0
SYT3	0	0	0	0	0	1
SH3BGRL2	673	894	2500	1325	750	1230
MEAF6	476	726	1661	1057	582	955
PIP4K2C	687	1261	2902	1492	693	1443
CXCL9	5	0	3	34	36	67
JA611272	0	0	0	0	0	0
ZNF30	34	57	131	89	36	65
CR936796	0	5	15	3	5	8
CDK17	116	127	412	539	331	554
ADCY10P1	11	41	68	57	39	46
LGALS3	3618	7090	15004	4662	2880	4897
FAM182A	0	0	0	2	0	0
SCLY	188	346	740	265	69	271
RNF115	75	160	344	280	134	275
DYRK2	290	381	1239	779	436	766
ARL13A	0	2	0	0	0	0
AX747935	0	0	1	2	0	0
EIF2S3	1637	2620	6125	3824	2189	3659
RBM46	1	0	1	2	2	3
MSTO1	222	522	1139	276	116	343
MAN2A2	472	838	2089	786	351	883
AK057218	0	0	0	0	0	0
RPP25L	103	236	466	164	84	175
PRB4	0	0	0	0	0	0
RFPL1	0	0	1	9	1	4
DGKE	87	115	229	223	133	220
CCDC144A	7	3	21	12	5	12
SULT4A1	29	63	133	140	69	152
RPS6KC1	192	306	754	579	303	493
DQ592682	0	0	0	0	0	0
PEG3	0	0	0	0	0	0
PGM2	290	362	1210	392	229	377
C3orf30	0	0	0	0	0	0
C5	52	64	163	41	15	39
LAX1	1	1	1	8	0	5
E07735	0	0	0	0	0	0
GPR183	0	0	0	1	1	0
HLF	9	17	40	12	9	8
SNX1	665	1276	2913	1198	626	1126
OSCP1	23	38	82	45	22	30
WDR72	28	28	135	55	25	63
SChLAP1	6	3	8	13	4	16
GLYATL1	4	2	9	3	5	3
CALU	2989	4028	10399	5447	3026	4898
DQ575348	0	0	0	0	0	0
GSE1	246	412	1065	1305	642	1329
MAPK1	1260	1875	5150	2029	1106	2069
ASAP3	13	41	115	51	29	41
KRT36	0	0	1	0	0	1
TSNARE1	41	92	243	122	60	152
SMAD5-AS1	1	0	18	0	0	2
BC048132	0	0	2	0	1	0
MIR4261	0	0	0	0	0	0
MIR5011	0	0	0	0	0	0
DQ588584	0	0	0	0	0	0
LOC374443	37	45	98	68	28	61
SKAP2	838	1042	2950	2109	1252	1931
DQ599760	0	0	0	0	0	0
F8	22	33	74	26	23	26
RB1	407	372	1316	610	410	550
NDST4	0	0	0	0	0	0
AGPAT6	1012	1984	4724	2606	1369	2742
MIMT1	0	0	0	0	0	0
BC035400	10	9	21	15	8	13
BBS1	86	163	472	142	45	130
JA700167	0	0	0	0	0	0
DEPDC1	321	375	1150	371	231	383
SCGN	54	88	257	10	11	7
NUP85	490	1075	2178	781	337	763
BC071789	0	0	0	0	0	2
PHC3	317	431	1313	1053	675	986
SERPIND1	0	0	0	0	1	0
ERBB2IP	808	764	2444	2975	1560	2414
ZNF623	136	200	817	553	251	577
MIR1305	0	0	0	0	0	0
PKP4	1007	1570	3926	2264	1137	2143
TTC22	95	153	450	128	87	203
LOXL1	33	65	113	35	34	72
S100B	0	1	0	0	0	0
CST13P	0	0	0	0	0	0
MAP3K8	66	130	368	1137	727	1256
FTX	2	4	15	5	3	10
C11orf45	42	93	217	72	36	81
KRT74	0	0	0	0	0	0
PEX13	334	395	1080	619	348	597
ZNF664-FAM101A	0	1	4	4	0	2
HP11097	6	1	6	8	4	5
LINC00684	0	0	0	0	2	0
FANK1-AS1	0	0	0	0	0	0
NEGR1-IT1	0	0	0	0	0	0
MSMO1	1820	2455	6597	1785	1243	1768
ENDOG	69	221	408	39	20	84
IGSF3	593	865	2456	1346	697	1447
SLTM	754	1144	2768	1730	964	1573
PNMA3	0	0	0	0	0	0
GYLTL1B	250	561	1215	387	170	385
MIR3975	0	0	0	0	0	0
NEUROG2	0	0	0	0	0	0
TP53BP1	192	318	823	345	154	349
LOC100288748	26	22	45	22	19	20
CRYM	29	58	154	21	4	18
LINC00674	256	493	1152	411	276	485
YES1	610	630	2031	1617	935	1369
BC034416	0	0	0	0	0	0
GPR17	0	2	1	0	0	1
HIF1A-AS2	0	0	1	2	3	0
AB073649	1	2	3	0	1	2
MIR493	0	0	0	0	0	0
MIR4772	0	0	0	0	0	0
USP35	43	82	211	109	55	129
RABL5	138	254	575	133	62	132
IL37	6	8	11	10	14	11
NEBL-AS1	0	2	0	1	0	2
UBE2J2	242	532	1035	389	249	452
FBXO16	47	51	121	37	28	56
CAPG	2018	4087	8071	3106	1639	3249
GLIS3-AS1	0	8	10	4	1	1
COPA	1809	2895	7822	2941	1422	3092
BC039364	0	0	0	0	0	0
CD3D	0	0	0	0	0	0
NYNRIN	145	286	718	253	137	311
PAM16	133	440	737	283	170	333
C15orf32	0	0	0	0	0	0
MIR3612	0	0	0	0	0	0
LOC619207	8	16	35	12	0	8
ADIPOR1	1619	2898	6648	3119	1587	3354
BC064974	6	14	52	25	10	19
F11R	2896	4818	11518	7410	3670	7350
DSCR9	0	1	5	6	0	3
TRNA_Asp	0	1	2	0	1	32
OR2C1	0	0	0	1	0	0
TRAPPC1	431	859	1828	742	294	727
PXMP4	182	306	714	182	113	253
DQ597235	0	0	0	0	0	0
ABI1	570	732	2234	1309	692	1247
CAMK1D	3	12	33	15	10	19
DQ591724	0	0	0	0	0	0
MIR4757	0	0	0	0	0	0
SEC1P	0	2	1	0	0	0
LPA	0	0	0	0	0	8
BC042649	0	0	0	0	0	0
AL833346	172	315	710	268	198	393
DKFZP434A062	0	0	0	1	0	0
TAF15	1627	3192	6440	3853	1951	3724
OR7E5P	0	0	0	0	0	0
BC070106	0	0	0	1	3	0
PRPS1L1	0	0	0	0	0	0
CISH	8	20	19	26	14	24
HLA-DOA	54	97	221	94	58	122
AP3D1	824	1824	4045	1442	714	1624
GSTM2P1	0	0	0	0	0	0
