logFC logCPM LR PValue FDR
NLRC5 4.01015163883541 4.66112816540544 348.041181913725 1.1316271739214e-77 1.98614040775276e-75
IFIH1 3.99242169885611 8.1257160878934 629.073528860508 7.94914756530324e-139 3.78046072758922e-136
GBP4 3.9699575948679 6.20535773487607 625.293510666669 5.27771196620548e-138 2.43154085993023e-135
CCL20 3.94135739606988 7.11167400469993 782.938960194836 2.76368239263719e-172 2.14447207971843e-169
FGF19 3.89121425694613 1.75475463577734 183.867886870203 6.93349296350678e-42 5.32398368546773e-40
PPP1R15A 3.85952346594298 8.99624923815257 698.261532714225 7.14078499900021e-154 4.57724318435913e-151
ARRDC3 3.84912840095315 7.57484574487235 475.128235718982 2.45380394131566e-105 7.53675656392016e-103
MX1 3.83877011055673 8.4574149131187 713.635363640784 3.24074732204734e-157 2.17174262586109e-154
USP18 3.83620935180413 6.82351738677166 645.729518647576 1.89610064628485e-142 1.07516199339145e-139
IL12A 3.81976175180222 2.26556686716685 192.822484113016 7.69603413244496e-44 6.16644734862152e-42
IDO1 3.80940433595554 4.73817163396113 508.164198908167 1.59086678983727e-112 5.45445327501648e-110
PDE4B 3.80747757557597 3.41200545466887 287.37471820472 1.85605261604072e-64 2.60607463983699e-62
NUAK2 3.80737944497945 4.99783993427107 437.325779627683 4.13488679720757e-97 1.10837520093148e-94
NDUFA4L2 3.79003641600332 0.159145157386718 80.5648482245263 2.81319596536393e-19 7.22265969097707e-18
G0S2 3.76052516624221 5.49176058441228 514.563558499925 6.44649399135929e-114 2.26287287891929e-111
DDX60L 3.72393102847795 6.8040925987574 419.571017479079 3.02565563088961e-93 7.82583174845711e-91
RUNX2 3.67285426243627 0.00943714830479159 67.656506308988 1.94609485572172e-16 3.95196645425694e-15
PRDM1 3.65607042723852 2.6111084759187 205.421188921639 1.37051565684276e-46 1.22457650477774e-44
ACTN2 3.65450331594125 0.295610670196488 82.6914336798296 9.59160281804798e-20 2.56640653986355e-18
ICAM1 3.63258441206871 10.2048780837165 578.72192291593 7.11359330199771e-128 2.99644874432435e-125
UBQLNL 3.63080411327323 -0.806586562104598 41.7778254126483 1.02256580483658e-10 1.0745322637709e-09
LAMP3 3.62040787646758 6.65713967763362 645.351169028887 2.29163707729163e-142 1.25131871964854e-139
IFITM1 3.61141272165991 5.62846463928667 484.834211535607 1.89601117467064e-107 6.07671581481941e-105
LTB 3.60732820632408 3.06267217565366 243.938032731901 5.44586751545473e-55 5.94729072447031e-53
CLDN2 -3.60122374512353 4.99027657589672 383.914258850039 1.74894807053343e-85 3.84846886624991e-83
DUSP1 3.60053521030749 6.78641155968432 520.258171558798 3.71854701110034e-115 1.33713508743054e-112
KLHDC7B 3.58583034518442 0.948261909022866 109.569600422886 1.2175353194498e-25 4.78669952390624e-24
PTX3 3.5728606722737 3.89029469121946 365.957672044138 1.42019215571297e-81 2.75498591469425e-79
EDN2 3.57013394261288 2.49382646507807 235.659046747737 3.47746250830258e-53 3.66201641142178e-51
C8orf4 3.56748249139795 6.73207104801604 413.422514615187 6.59387022476513e-92 1.62022381206187e-89
NUPR1 3.55030171293236 -0.0406867720668695 65.2892672411412 6.46726091590986e-16 1.2398807240996e-14
SDS 3.54887286636199 -0.607961462227235 45.5054889135074 1.52211677166224e-11 1.81557990004987e-10
CLEC4E 3.54758296708728 0.394062072179379 73.7991281455944 8.64847916096233e-18 1.97375430758619e-16
IL10RA 3.5150211389848 0.235168064059605 77.3529588972712 1.42980358408632e-18 3.43875925614757e-17
AL832891 3.50157675780183 3.29844099504699 60.9453483253925 5.86814241007057e-15 1.02626362457497e-13
IRF1 3.48567906540476 7.41637599596905 641.719140894659 1.41270832006966e-141 7.43841384385248e-139
SAMD9L 3.47356205116033 6.76328853939002 384.577221130854 1.25442226111951e-85 2.80211324177045e-83
ANKRD1 3.46961910755477 4.32692351140368 279.636614975257 9.01123282749484e-63 1.16537373312067e-60
LOC554223 3.46457852056646 2.6097196568908 195.02492875803 2.54431444481353e-44 2.11925581129298e-42
NAPSB 3.44424535062309 0.0180346433062998 64.2274692222599 1.10852389834593e-15 2.08190673035848e-14
SCGN -3.42851416993053 1.91846745329807 153.331343807018 3.24234108821624e-35 1.95909158457262e-33
FLJ35024 3.42749215700943 0.667738229597243 95.8790924103767 1.2211824695744e-22 4.00977575700119e-21
RTP4 3.41434454290924 5.16619849364972 429.007422153809 2.67253313614608e-95 7.03592071896458e-93
CCL22 3.40898008339452 3.40081685850653 292.910835395657 1.15430972206936e-65 1.66843021886947e-63
CXCL2 3.4068245397149 7.98573593031034 478.759315071293 3.97845691551765e-106 1.24796575118035e-103
OASL 3.40319384010917 8.04530250373033 499.435255825596 1.26138413961232e-110 4.22649690234193e-108
INHBA 3.39137347034546 6.58253247791795 392.88328018761 1.95069568380716e-87 4.42447791790292e-85
PA2G4P4 3.38505247320888 1.99489236601714 159.43912309274 1.50035658800628e-36 9.49345801586976e-35
PPP4R4 3.38189801895996 0.755800129803718 95.190349761665 1.72931235267302e-22 5.62809095263982e-21
TXNIP 3.38106351232561 9.39329874886965 635.398723646842 3.34700466599165e-140 1.70154792381775e-137
EGOT 3.34392443782546 3.15609389593789 280.405155769043 6.12781861258171e-63 7.99490529250372e-61
HERC5 3.34375710063822 6.72591844258154 378.192684444756 3.07924805841539e-84 6.57932668481421e-82
LMO2 3.34192532377452 0.943306120218728 106.636281149146 5.34849993033339e-25 2.02706772423921e-23
ZEB2 3.31418394335705 0.838896737120958 100.906694514067 9.64201049879006e-24 3.3926530019967e-22
AL832212 3.29291883281434 -0.170625788957951 53.9057824902047 2.10337755385863e-13 3.17401179903151e-12
TRANK1 3.28196341716816 5.07579411856474 409.326486489556 5.13728138033309e-91 1.24162195721723e-88
PLEKHG7 3.25488825477759 0.759968658897551 88.5748650260499 4.89469196549201e-21 1.44324887294497e-19
CCRL1 3.25186007606084 3.10938710284172 252.809471342994 6.33815703870037e-57 7.30026947043434e-55
PTGS2 3.22375008198155 7.8264846103622 210.330152589048 1.16368686529212e-47 1.0790085191825e-45
AJ420489 -3.22163536632297 -0.758309172390662 29.7073680880865 5.02434891356169e-08 3.50397237618922e-07
TNFAIP2 3.20952863249108 7.83652638997153 468.946729958618 5.43210957172534e-104 1.63439982481524e-101
IRF7 3.20758429631407 7.00898657418241 239.354309036198 5.43870808609177e-54 5.85276447541978e-52
LRP2 3.19664778820888 0.496676803059291 79.8958891353505 3.94666833597379e-19 9.98039987603114e-18
APOL6 3.18346871087801 6.68257327071086 356.997719688766 1.26861361715232e-79 2.33789631970959e-77
HIST1H1D 3.18182625239853 -0.187707988668999 52.9732539034621 3.38121257395225e-13 4.93556603740377e-12
ISG20 3.1761254295997 5.95710844005419 289.233883630914 7.30275760012888e-65 1.03523610864135e-62
COLEC10 3.16332529228621 -0.542015079134861 42.646780326442 6.5572271299946e-11 7.09267788536393e-10
CD69 3.16082405594627 3.99928099039214 295.644286957745 2.92925609979895e-66 4.27584382963722e-64
FOSB 3.15864407867798 4.06523242067581 267.014435414001 5.07707077765219e-60 6.08546784348994e-58
PKP1 3.15409540052901 -0.197768970560026 47.9417571908195 4.39070121093046e-12 5.62887895241285e-11
HELZ2 3.15231973019485 8.30589892820285 312.515661281267 6.18317928749832e-70 9.80200131565459e-68
ROCK1P1 3.13319465393818 1.79600798351076 128.240694466521 9.94239937830374e-30 4.69810237289526e-28
IFI16 3.11275224980648 7.52789917592274 377.910945620952 3.54637344256003e-84 7.46916909480893e-82
CX3CL1 3.11240295833756 6.75843475610992 408.944962932062 6.2198749846807e-91 1.47902607901851e-88
METTL7A -3.09416312381387 1.55169409795006 120.615102785054 4.63952492165778e-28 2.0236839029586e-26
RASGRP3 3.07987572708615 4.56556305168823 357.203164138077 1.14444107311113e-79 2.14219065399386e-77
EGR2 3.0790881276671 1.43835894914428 125.0278042097 5.01865465256771e-29 2.30498521940205e-27
TIPARP 3.07255813531901 8.39470402927104 456.846741959945 2.33399409530476e-101 6.49246697114682e-99
EIF3CL -3.07250569738033 2.3939106369797 104.59509836917 1.49826996950764e-24 5.52224854011278e-23
PACRG-AS1 3.05660753806908 -0.157305478796996 51.1708954819118 8.46646411463019e-13 1.17978336901695e-11
LOC100507463 3.04476349754193 3.68784799580621 168.352486629366 1.69437631301479e-38 1.1783108482442e-36
LOC100126784 3.0102450519981 0.835924645071739 82.1085853240565 1.2881186656584e-19 3.39120240853604e-18
IFI44 3.00983015981046 7.68167523516584 303.310593646017 6.25918052066914e-68 9.61240608502345e-66
NCOA7 3.00911778127486 7.33912392451312 375.983370653064 9.32087435938443e-84 1.90857848167229e-81
CCRN4L 3.00720486772452 4.04814075137241 267.162041685825 4.71456685875361e-60 5.69728354086922e-58
DDX60 3.00328735245422 6.99889473570248 219.933970664296 9.34945471671531e-50 8.89283941216347e-48
OAS1 3.00317713552863 8.25376516487799 464.335685697141 5.4749566672523e-103 1.61434572290601e-100
FFAR2 2.99520776850632 -0.462408656972477 40.6171672447625 1.85172629334482e-10 1.89058176889077e-09
TNFSF13B 2.99456165551817 1.08278698373236 99.096031271054 2.40549806813433e-23 8.24750186476849e-22
CXCL3 2.9944417189416 8.11140086624537 586.597704610674 1.37708118471873e-129 5.97126703126714e-127
CHAC1 2.99129860476311 2.83411814287934 114.859512525979 8.44750017879947e-27 3.44037279381328e-25
TNFSF10 2.98695600242185 7.72771760451825 327.776467909657 2.93143660026374e-73 4.91115565882821e-71
SAA4 2.984133112682 1.3165937718107 55.0561095782078 1.17137641143587e-13 1.80079274596444e-12
C1QTNF1 2.98138650196461 3.93249789830516 254.786646166674 2.34934259281412e-57 2.72727227132744e-55
USP30-AS1 2.97805067905299 -0.273149961592026 46.5396970367194 8.97810692958017e-12 1.11137053285307e-10
NOD2 2.96662490586094 2.24497473065838 138.018641292414 7.21958864221447e-32 3.8704871037152e-30
ALDH1L2 2.96583990422625 4.01880091486328 266.519025019235 6.51014276389498e-60 7.7402447393632e-58
NPR1 2.96441031796771 0.341444780951649 66.3980370052463 3.68468900124401e-16 7.29172750944166e-15
KRTAP2-1 2.96290487793818 1.64750314749449 66.1261419217074 4.22968543071908e-16 8.28130840705065e-15
MARCH4 2.95586325332072 1.42325794098689 114.692377978112 9.19034758652402e-27 3.73259764374996e-25
PTAFR 2.95456962245897 4.40098035631893 276.563038728821 4.21294514138471e-62 5.30867095892605e-60
IYD 2.95009750832907 0.984228779576553 80.4323944075772 3.00822899916141e-19 7.65981349475591e-18
MB21D2 2.93202410827064 5.7957797810853 413.700971947422 5.73493690489963e-92 1.43305380998195e-89
PARP14 2.92749073820427 7.36491374483712 357.197166896808 1.14788755114641e-79 2.14219065399386e-77
RAET1L 2.92527926977655 1.81799330939605 139.589017667488 3.27406270228625e-32 1.77461420661052e-30
ZFP36 2.92139544463384 6.72053765723279 345.428532175771 4.19430452551983e-77 7.27489783761633e-75
ANXA13 -2.91944242752868 0.996414812790841 84.9988937942015 2.98532047867346e-20 8.3833485365872e-19
C17orf65 -2.91689386061801 0.938415299736575 77.0398002481691 1.67547263514166e-18 3.99054815184063e-17
OAS3 2.91638286870479 9.07661835301563 239.442619329019 5.20283396118706e-54 5.64010155071918e-52
SLFN5 2.9098243372185 7.12622438369036 210.067652200543 1.32771855394167e-47 1.22340966504762e-45
ASNS 2.89997370811763 6.6615476220581 374.611086799128 1.85453116460574e-83 3.74539081640855e-81
APOL3 2.88410267089984 3.65893086238726 200.450946368041 1.66504451084047e-45 1.45252965818468e-43
MAP3K8 2.87841708286023 5.25307325271195 297.765674533496 1.01055884291333e-66 1.52027234908889e-64
OTUD1 2.87295072411186 4.68434355912843 160.175817344999 1.03570123127899e-36 6.61010530421913e-35
STX11 2.86981694124638 0.441042270925937 63.7492556688599 1.41306942463577e-15 2.63041446053096e-14
AK126334 2.86973074778665 0.812505777519553 16.8977529493153 3.94482539976971e-05 0.00015394007641293
C11orf96 2.86743125988802 0.453983849476688 34.7747141786285 3.70149863202748e-09 3.13627553632075e-08
IKZF3 2.85842698961947 6.11072219839668 324.39342288223 1.5993321011034e-72 2.61988368517415e-70
RBMS3 2.85056508785514 -0.0205264559631964 46.1144950995194 1.11540157589801e-11 1.35791622076502e-10
RND1 2.84179742592596 4.38268725430972 297.097163746323 1.41322631265555e-66 2.10456520479604e-64
SAMD9 2.84141884202781 8.6099145638578 208.747767660118 2.57674363016297e-47 2.33060928463145e-45
DHX58 2.83098001287312 5.84377072443237 353.279531116778 8.18435794127246e-79 1.48965418676765e-76
TAGAP 2.82192996223729 0.170485113541316 54.3887124554562 1.64505080504298e-13 2.50030763079883e-12
IFIT5 2.82159062403951 5.53458986891858 278.492187898758 1.60021240189509e-62 2.0514722992295e-60
PTGER2 2.81890724197988 -0.368851300617931 40.3765014610548 2.09445069549777e-10 2.12515393005668e-09
NT5C3A 2.81561667155931 7.46982572901602 219.609332359415 1.10052142440603e-49 1.04006329230885e-47
BBC3 2.79881183003308 4.8911674441464 209.707498800386 1.59104141005896e-47 1.44794589558637e-45
BC017818 2.78631985262105 1.44531968901578 105.023891004447 1.20672065781296e-24 4.47002076837601e-23
SERPINB7 2.78008481153616 2.98419419601789 173.925449965291 1.0276963192208e-39 7.31948156245039e-38
FAP 2.77576539354037 -0.314636459773332 41.0652418779697 1.47231502247024e-10 1.52119896403292e-09
BCL2L14 2.77410768375413 2.81951008611628 146.617442648193 9.51395050889217e-34 5.45774989698822e-32
5S_rRNA 2.75776504551073 5.75742889144279 4.14866501536639 0.041667362211695 0.0744427921821401
DDX58 2.75670997865869 7.04040270079866 284.760777709818 6.88923196698712e-64 9.31816026507258e-62
CYP1B1 2.74962233167526 5.55255240007353 163.269985911789 2.18393387938586e-37 1.4246786364507e-35
SP110 2.74641228812174 6.45489079131806 371.364429299959 9.44315272591369e-83 1.85627200850861e-80
CYTH4 2.74515845737345 1.14042053864673 84.968797899322 3.03110784685565e-20 8.49574581486556e-19
C5orf56 2.74087000504672 2.82358922187417 160.154229582292 1.04701072212462e-36 6.65348236046694e-35
NEB -2.73542099791494 5.53405553036962 284.642163868299 7.31168243998544e-64 9.79964856479139e-62
DDO 2.71933668720109 2.22469617048752 124.593912021971 6.24523888893701e-29 2.85057451825382e-27
STC2 2.71827702048934 7.3477896665323 376.179235443152 8.44914294165993e-84 1.75444668153369e-81
FUT1 2.70050246772609 2.72562103449236 169.613387131997 8.98684277490132e-39 6.2792901910128e-37
C6orf58 2.69665650542508 0.665358086785723 68.089404789834 1.56247976623705e-16 3.20384411594337e-15
KLF4 2.69050128826985 5.32766171494914 325.945640002866 7.34258023630567e-73 1.21631079127926e-70
CREB5 2.68883555026414 5.25832560647775 186.600042523607 1.75591211829235e-42 1.36249538736759e-40
CXorf49B 2.68587264189999 1.49627910890414 103.247097963325 2.95848662805965e-24 1.07962792964068e-22
ZNFX1 2.6846445767538 8.6185789178242 380.904742183957 7.9065179929126e-85 1.71420286425751e-82
TAP1 2.67905889815614 8.33546666190429 371.681312331204 8.05605662558581e-83 1.60500598420286e-80
SLC38A4 -2.65609252982719 -0.0880936501094421 37.1618295881608 1.08721197861651e-09 9.96813818454183e-09
BC048192 2.6547385631244 0.922707058758968 77.9963142753145 1.03232999141925e-18 2.50323043807467e-17
THBS1 2.63935209857793 7.88395769710147 225.638456184267 5.32796576955628e-51 5.30744590138975e-49
SYT1 2.62831914991693 0.39470840873266 57.2427226559999 3.85211827822875e-14 6.17301954086156e-13
IRAK2 2.62763224623866 6.17448175768443 335.720770253004 5.45541560730819e-75 9.35223166262146e-73
ZNF442 2.6232024505729 0.249931647838952 53.0335169792106 3.27905096796067e-13 4.81025357419345e-12
SYT12 -2.6158081730709 2.28164862620059 127.309132040803 1.58977880907366e-29 7.39372523096937e-28
KLF6 2.59923666080145 8.15669909763016 319.097384760558 2.277777170942e-71 3.65013791643455e-69
TEX15 -2.59863043666334 0.374055383906951 50.0506783391433 1.49825987835706e-12 2.02649957675396e-11
BCAT1 2.5938123967663 0.510960072129554 56.1522769942788 6.70698814219907e-14 1.05529483650417e-12
HIVEP2 2.59353719614843 5.81930253433298 178.056788878409 1.28740327656293e-40 9.53778216400368e-39
HSH2D 2.59109338175612 5.68467663755586 286.451561825528 2.94947716823917e-64 4.02630943438426e-62
KLF10 2.58935320207483 6.23947524187734 289.287714892104 7.10816399905309e-65 1.01743361007806e-62
HRASLS2 2.58865907303368 2.55019270328133 141.800788322758 1.07507877665707e-32 5.95860391137412e-31
DDC -2.57974787136126 2.25534997992377 119.078045572582 1.00688899047292e-27 4.29033652790238e-26
HBEGF 2.57508361118914 4.67300472898426 233.802700095029 8.83214066980193e-53 9.10575174090139e-51
PMAIP1 2.57346948648313 6.78250016339849 244.870755614132 3.40962656422069e-55 3.77955822829366e-53
IFITM2 2.57261861967767 2.14399476226632 133.672665421228 6.44284915452168e-31 3.3000728767315e-29
GIMAP2 2.56405308261511 2.42170684286817 121.424750597475 3.08482855323729e-28 1.36575457538671e-26
THEMIS2 2.54995210467046 4.53580257499023 200.131682642051 1.95477080480205e-45 1.6952462338351e-43
C9orf116 -2.53371380222323 1.29180298881591 58.6804731610862 1.85473134851779e-14 3.06550496313877e-13
TM4SF4 -2.5331657087343 5.97451382011134 350.632615890524 3.08587893683068e-78 5.48133893562586e-76
DTX3L 2.5315602290533 7.07092806388361 303.930321442304 4.58674866874896e-68 7.11815111824905e-66
TNFSF14 2.52585515660598 0.522573743650782 55.7827763621514 8.09375457160235e-14 1.25871543933685e-12
RPPH1 2.52492596060462 4.41918339408771 7.01741080288243 0.00807208725871922 0.0177993991108731
CASP1 2.52409511574494 2.33556951176942 132.737667541805 1.03183989468034e-30 5.17429100927628e-29
CCL5 2.52057653463572 5.80863515906318 235.439400768058 3.88292299152909e-53 4.05999529532718e-51
ITGAM 2.52021571200468 2.32064422373261 130.594324643313 3.03750139156885e-30 1.47794993451814e-28
PTGER4 2.5176756594543 5.11230296192559 270.13621092027 1.0597970438175e-60 1.31299057285726e-58
CCL2 2.51535239712649 5.34464364597736 287.075412259834 2.15679305029477e-64 2.99977357929205e-62
CSF1 2.51330527340621 4.84770764290613 196.533753535125 1.19200152472409e-44 1.01581956526054e-42
FAM46A 2.5108821871858 5.32690423520317 201.021359255771 1.25011859732508e-45 1.09705348097403e-43
ADAMTS6 2.5083077669531 0.409215214512002 53.5457944688418 2.52634651887048e-13 3.74351378379106e-12
BDKRB2 2.50471147329893 1.84477225422958 96.3588648051759 9.58378122454355e-23 3.17513902457181e-21
CSRNP1 2.49805413345594 5.3880668834616 277.474379151898 2.66674468086934e-62 3.38929455431523e-60
RNF213 2.49795690986267 8.54298908026649 209.822750205035 1.50153950425569e-47 1.37498117461128e-45
UBE2L6 2.49389897151989 7.38184257040775 319.54195749866 1.82252306709446e-71 2.95268764595315e-69
STAT1 2.49272830244948 9.21450244294059 188.898457823363 5.53066675148295e-43 4.36035400626274e-41
ANKRD33B 2.48943646300588 4.30199891768285 232.376017471317 1.80794042149718e-52 1.825648331105e-50
PER1 2.48844397862343 4.84838029900853 161.878201498876 4.39843751317112e-37 2.83171022954943e-35
LRRC26 -2.48460857818889 0.0750333994343065 37.6061524035569 8.65709922659987e-10 8.09331730486759e-09
HDX 2.47772335688919 3.04061492165273 159.008109578349 1.86366794156602e-36 1.17419044711572e-34
FSD1L 2.47549208150067 2.21991160364327 105.283309486415 1.05864113205901e-24 3.94129954796616e-23
CTH 2.46974989723184 4.660478531332 251.136323089465 1.46795655487757e-56 1.67768089058604e-54
MGC39372 2.46871414746974 0.660556167310013 60.8201996721235 6.25329770406626e-15 1.09232663567593e-13
LRRC45 -2.46217209850495 4.40349946459617 123.482320525232 1.09356327868407e-28 4.90042657071103e-27
NEURL3 2.45819815464042 5.53186718255652 224.20070966513 1.09683198610196e-50 1.08527476316115e-48
FLT3LG 2.45625870241233 2.03119016271576 114.026998804254 1.285462562941e-26 5.19221220970936e-25
CTGF 2.45196302794681 10.1077809692162 365.364538399181 1.91203032011723e-81 3.66091727395953e-79
ISG15 2.45074665715344 7.8665327464533 172.451194924685 2.156864806772e-39 1.52146688259519e-37
TLR3 2.44963582359479 2.78884104129622 132.3475881612 1.25587597757593e-30 6.27639984318709e-29
TRIM69 2.44724584614725 4.6235829248229 201.753944707778 8.65147283235394e-46 7.68365445586711e-44
MT2A 2.44623709387995 4.46183676073361 146.881132799298 8.33136684542303e-34 4.79802114851843e-32
