Gene	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
RNGTT	10.71	6.53	9.56	11.82	12.53	8.57
MEF2D	10.84	8.46	11.29	18.81	18.59	16.63
FLJ40292	0.36	0.0	0.03	0.0	0.0	0.0
AF420437	2.13	2.37	2.36	1.54	3.93	5.2
DQ587906	0.0	0.0	0.0	0.0	0.0	0.0
LINC00235	0.9	1.58	2.53	0.44	0.0	1.03
FAM83E	2.77	4.24	3.67	7.39	6.79	8.42
AX747345	0.0	0.0	0.0	0.0	0.0	0.05
HIF1AN	10.81	8.06	11.16	11.12	8.77	8.72
IZUMO2	0.0	0.0	0.0	0.0	0.0	0.0
AP2S1	296.22	369.02	317.21	175.37	162.42	139.49
PGS1	11.79	12.86	15.83	8.69	11.44	9.54
P4HA3	0.0	0.04	0.13	0.12	0.07	0.0
RALYL	0.0	0.0	0.09	0.0	0.0	0.03
MBD3	33.68	45.18	42.71	19.29	19.46	18.75
DQ601209	0.0	0.0	0.0	0.0	0.0	0.0
DDHD2	23.9	15.87	22.03	29.77	28.16	20.49
MBNL2	7.38	2.84	6.46	11.79	12.84	8.63
AX747384	0.0	0.06	0.11	0.11	0.1	0.16
TMEM14A	89.19	80.94	80.77	54.0	59.76	40.49
TEK	0.0	0.0	0.0	0.08	0.0	0.04
DQ656008	0.0	0.0	0.0	0.0	0.0	0.0
CLASP1	11.29	8.77	12.18	15.8	14.5	11.3
AK024134	0.65	0.57	0.72	0.5	0.75	0.57
GNA14	0.0	0.0	0.08	0.0	0.07	0.0
BC043649	0.0	0.06	0.11	0.0	0.0	0.0
TRIM66	0.54	0.6	1.21	0.99	0.98	0.53
C4orf40	0.04	0.0	0.0	0.0	0.0	0.0
PSD4	14.49	15.8	17.55	14.63	16.84	15.15
RAB1A	132.93	107.47	122.79	132.52	127.85	97.94
CS706497	0.0	0.0	0.0	0.0	0.0	0.0
NFKBID	3.52	3.69	2.98	8.61	9.35	7.78
SVIL	41.43	28.91	39.21	42.0	41.01	33.55
TMED10	116.13	87.0	105.01	65.95	74.6	53.55
ZNF648	0.0	0.18	0.0	0.12	0.0	0.0
DQ597713	0.0	0.0	0.0	0.0	0.0	0.0
PSMA5	65.84	64.71	64.18	64.6	60.8	48.81
OR2T33	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB2	0.0	0.0	0.0	0.0	0.0	0.0
IFNL1	0.8	0.27	0.52	169.41	148.54	149.66
NFE2L2	94.79	64.63	84.78	180.13	191.7	142.3
BRPF1	6.03	5.69	6.3	6.75	7.0	5.7
CXorf66	0.0	0.0	0.0	0.0	0.0	0.0
SNAPC5	23.19	22.35	31.82	33.38	24.86	25.53
LOC400891	0.0	0.0	0.02	0.02	0.0	0.0
AB000466	3.68	1.95	2.43	3.02	3.18	1.98
U80770	0.0	0.0	0.0	0.0	0.0	0.07
SNORD115-33	0.0	0.0	0.0	0.0	0.0	0.0
AK054623	5.36	4.02	4.29	8.07	6.18	5.2
MRPS17	124.05	144.63	120.55	117.95	127.85	86.63
PGLYRP3	0.0	0.0	0.0	0.0	0.0	0.07
GNAT2	0.0	0.0	0.0	0.08	0.14	0.24
CD82	28.95	26.79	28.28	44.88	38.49	38.89
BC040166	0.0	0.0	0.0	0.0	0.0	0.0
PYROXD2	3.0	2.23	2.26	1.92	3.51	1.86
MIR3913-1	0.0	0.0	0.0	0.0	0.0	0.0
WASH1	12.87	16.07	11.86	14.59	15.48	9.37
TGIF2LX	0.0	0.0	0.0	0.0	0.0	0.0
D63785	0.0	0.0	0.0	0.0	0.0	0.0
USP30	2.98	3.31	3.8	3.9	3.95	3.52
SMLR1	0.0	0.08	0.0	0.12	0.0	0.19
TRIM3	4.69	3.85	4.36	3.02	2.8	2.8
FBXO5	16.71	11.12	13.04	10.45	10.82	7.78
ZNF578	0.18	0.4	0.35	0.27	0.62	0.24
GPRIN3	1.18	0.35	1.23	1.16	1.75	1.17
AJ276246	0.0	0.0	0.0	0.0	0.0	0.0
SIDT1	0.08	0.04	0.11	0.53	0.32	0.34
C5orf64	0.0	0.0	0.04	0.03	0.06	0.03
PITPNM3	4.9	3.78	4.72	5.79	4.07	4.07
APC2	0.16	0.09	0.14	0.12	0.11	0.12
TCTEX1D2	35.39	36.51	34.49	16.84	22.6	12.13
PTOV1-AS1	8.04	10.01	7.34	10.05	12.49	8.42
MICB	117.27	95.71	123.94	82.2	82.26	67.78
MUC7	0.0	0.0	0.0	0.0	0.0	0.0
CRIPAK	0.27	0.87	0.62	0.28	0.53	0.53
OR56B4	0.0	0.0	0.0	0.0	0.0	0.09
C11orf45	2.36	2.58	2.92	1.97	1.79	1.7
AK055853	0.16	0.03	0.1	0.0	0.0	0.03
SGOL1	13.36	9.94	10.83	8.76	8.25	7.46
SLC22A24	0.0	0.0	0.0	0.0	0.0	0.0
CCBL1	5.27	3.82	4.35	3.39	3.91	3.22
DQ571433	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8DP	0.0	0.0	0.0	0.0	0.0	0.01
TAAR6	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DOB	2.52	1.64	1.17	2.89	4.8	2.03
DQ574239	0.0	0.0	0.0	0.0	0.0	0.0
XPA	4.19	3.23	3.32	3.51	3.01	3.78
DQ585964	0.0	0.0	0.0	0.0	0.0	0.0
STX8	31.13	35.94	32.53	28.04	33.83	21.7
POLM	14.21	15.17	16.22	15.86	14.5	13.24
USP13	6.25	4.47	5.82	3.71	3.89	2.93
GABRG2	0.0	0.0	0.0	0.0	0.0	0.0
TRNP1	213.71	205.29	199.16	77.12	101.75	87.68
SCNM1	27.27	26.56	32.18	26.79	25.23	19.61
CCDC40	2.01	2.09	2.23	1.7	1.35	1.17
BPIFB4	0.0	0.0	0.0	0.0	0.0	0.0
MLLT10P1	0.0	0.23	0.45	1.12	0.84	0.52
MIR611	0.0	0.0	0.0	0.0	0.0	0.0
DL074624	0.0	0.0	0.0	0.0	0.0	0.0
PGA3	0.0	0.0	0.0	0.0	0.0	0.0
ILDR1	8.78	6.93	8.44	12.88	14.39	10.91
CLDN22	0.0	0.0	0.0	0.0	0.0	0.0
DQ601847	0.0	0.0	0.0	0.0	0.0	0.0
C1orf180	0.0	0.0	0.0	0.03	0.0	0.0
ANKRD45	0.0	0.06	0.08	0.11	0.14	0.03
DQ575377	0.0	0.0	0.0	0.0	0.0	0.0
DQ581726	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A13	12.74	9.97	12.64	11.76	12.05	9.76
HSD17B7	48.58	44.19	42.42	22.19	22.2	17.44
OTX2-AS1	0.0	0.03	0.0	0.0	0.0	0.0
AK056623	0.68	0.48	0.58	0.61	0.31	0.65
SNORD2	0.0	0.0	0.0	0.0	0.0	0.0
POU1F1	0.0	0.0	0.0	0.0	0.0	0.07
FAM209A	0.0	0.0	0.0	0.0	0.0	0.0
JB074932	0.0	0.0	0.0	0.0	0.0	0.0
BDH1	13.71	13.37	14.33	4.32	3.54	3.73
DQ592014	0.0	0.0	0.0	0.0	0.0	0.0
LINC00887	5.59	6.12	6.48	10.06	8.04	8.94
ACOT11	4.51	5.18	7.19	4.96	4.43	4.61
HAO2	0.0	0.0	0.0	0.0	0.0	0.0
RAPGEFL1	11.75	11.52	12.42	11.7	9.6	9.5
AOAH	0.0	0.04	0.08	0.04	0.0	0.03
FW339973	0.1	0.08	0.02	0.19	0.21	0.26
RPP40	6.77	7.21	7.87	6.54	7.01	4.19
ZNF500	3.71	4.06	5.56	4.95	4.87	4.53
KRTAP7-1	0.0	0.0	0.0	0.0	0.0	0.0
KIAA0947	6.88	4.68	6.46	7.56	7.96	5.23
ANGPT1	0.06	0.03	0.0	0.08	0.0	0.0
DGCR8	13.24	12.43	14.12	9.26	10.56	7.93
AK093416	0.51	0.31	0.47	0.45	0.09	0.2
PCDP1	0.88	0.69	0.73	0.51	0.6	0.69
MIR1913	0.0	0.0	0.0	0.0	0.0	0.0
TRIQK	8.19	3.3	4.38	7.59	9.57	5.33
LOC153684	2.54	2.72	2.71	1.86	3.72	2.49
DQ582474	0.0	0.0	0.0	0.0	0.0	0.0
MIR125B2	0.0	0.0	0.0	0.0	0.0	0.0
ZNF555	0.6	0.7	0.84	1.1	1.19	1.19
PTPRN2	0.8	0.78	0.8	0.94	0.83	0.9
JB175300	0.0	0.0	0.0	0.0	0.0	0.0
CDCA7L	29.61	26.35	31.97	22.05	24.7	17.36
SNORD36B	0.0	0.0	0.0	0.0	0.0	0.0
SGK494	5.18	5.83	7.4	7.35	6.07	6.15
WDR45B	96.63	82.92	93.41	82.64	97.72	71.33
EIF4EBP1	534.67	624.48	565.63	683.94	682.94	582.9
DQ591515	0.0	0.0	0.0	0.0	0.0	0.0
C16orf93	3.59	4.12	4.03	0.49	1.44	0.83
MRPL28	214.67	265.2	237.07	175.02	147.12	137.8
SPATA31A5	0.0	0.0	0.0	0.0	0.0	0.0
CYB5R2	27.63	30.27	31.99	29.87	26.66	21.04
CYP21A2	0.24	0.05	0.57	0.64	0.37	0.6
SNTN	0.27	0.0	0.23	0.07	0.24	0.24
AX746523	0.09	0.45	0.17	0.56	0.24	0.48
CXorf30	0.0	0.03	0.07	0.0	0.0	0.0
GPC3	2.56	1.61	1.84	0.74	1.73	0.79
LOC340515	0.0	0.0	0.02	0.0	0.0	0.08
PTPRE	3.18	3.66	4.28	9.36	8.28	7.53
DEFB130	0.0	0.0	0.0	0.0	0.0	0.0
BC029473	0.31	0.28	0.57	0.1	0.0	0.09
SNORD96B	0.0	0.0	0.0	0.0	0.0	0.0
USP15	11.62	8.77	11.26	22.66	20.43	15.52
GARS	114.63	99.11	107.55	281.38	265.81	216.61
ALDH3A2	16.67	13.16	15.83	9.03	9.86	7.6
ASPH	144.78	83.1	133.3	96.07	100.28	74.75
AK097143	19.62	12.99	20.11	29.14	27.18	19.9
RANBP9	9.69	7.36	7.95	9.7	10.06	7.14
IER5L	62.34	77.32	62.98	23.33	39.03	37.71
BC014606	0.0	0.0	0.17	0.17	0.0	0.0
CPSF7	32.1	25.56	33.44	34.58	30.29	26.23
SLC4A5	0.79	0.93	0.78	2.33	1.98	1.68
PRR7-AS1	1.62	1.83	2.78	2.19	1.19	1.66
WWTR1	74.22	48.11	68.14	99.33	99.45	75.06
PTGDR2	0.7	0.55	0.35	0.17	0.06	0.32
RYR3	0.01	0.01	0.0	0.0	0.02	0.0
OR4C16	0.0	0.0	0.0	0.0	0.0	0.0
CHRND	0.0	0.0	0.0	0.04	0.0	0.0
MRE11A	6.73	4.38	6.15	5.82	7.02	3.96
MIR4799	0.0	0.0	0.0	0.0	0.0	0.0
DNAH1	1.45	0.98	1.01	1.38	1.9	1.42
AK097622	0.0	0.0	0.0	0.0	0.0	0.0
SPC25	152.16	109.87	116.78	51.81	61.2	41.78
BC023201	0.22	0.22	0.33	0.11	1.42	0.0
BC049825	1.62	0.63	1.31	0.79	1.38	1.39
NUP98	30.62	29.69	32.52	39.1	34.55	32.38
TSC22D3	60.44	51.77	59.66	44.73	41.16	39.27
SEPT4	0.27	0.07	0.13	0.52	0.86	0.47
BC035465	0.0	0.41	0.47	0.81	0.75	0.63
IL36G	0.2	0.2	0.0	1.0	0.56	0.39
SPAG11A	0.0	0.0	0.0	0.0	0.0	0.0
GRIN3B	0.06	0.0	0.02	0.06	0.0	0.02
SELM	4.5	4.66	3.96	5.26	4.42	4.48
ICT1	63.94	85.08	71.82	52.01	56.77	45.16
HNRNPK	359.56	297.57	351.27	380.15	357.55	282.1
AL832378	0.0	0.0	0.0	0.02	0.0	0.01
NDST3	0.09	0.05	0.12	0.05	0.43	0.11
ZSCAN12	1.39	1.35	2.2	3.52	3.86	2.71
DCAF13P3	0.0	0.08	0.08	0.0	0.08	0.03
SH2D1A	0.0	0.0	0.0	0.0	0.0	0.0
LOC729732	4.88	6.13	5.8	2.84	5.74	2.73
NCR3	0.0	0.16	0.0	0.16	0.0	0.08
PPP5C	78.38	72.7	76.52	53.05	40.06	43.05
PVRL3-AS1	0.0	0.29	0.14	0.0	0.0	0.0
DQ571252	0.0	0.0	0.0	0.0	0.0	0.0
DQ570882	0.0	0.0	0.0	0.0	0.0	0.0
SDR16C5	1.13	1.02	1.19	1.27	1.5	0.99
SNX12	49.58	46.66	57.67	46.74	36.53	32.67
SFT2D1	210.58	199.51	201.21	197.68	236.99	170.41
ALDH2	133.1	124.62	132.12	109.77	116.72	98.68
OR10D3	0.0	0.0	0.0	0.0	0.0	0.0
ZNF792	3.08	1.97	2.73	3.14	3.67	2.8
GPC1	71.2	73.28	74.59	49.16	45.58	45.08
ANKRD53	0.0	0.1	0.05	0.25	0.0	0.04
FUT7	0.0	0.0	0.0	0.0	0.0	0.0
DUS3L	9.85	8.1	7.25	3.87	4.1	4.28
PTCD2	6.52	3.97	5.92	6.95	4.78	4.07
CARD9	0.67	0.23	0.24	0.29	0.13	0.62
EHD2	35.93	39.15	42.91	44.07	41.92	39.82
MIR5684	0.0	0.0	0.0	0.0	0.0	0.0
REG1A	0.0	0.15	0.0	0.0	0.0	0.0
AIDA	56.42	40.41	47.07	64.51	69.47	42.9
SCAMP4	29.41	33.2	34.67	24.35	23.88	21.42
DQ587023	0.0	0.0	0.0	0.0	0.0	0.0
KDELR2	305.51	240.14	278.96	221.58	258.17	185.01
SLC18A1	0.0	0.0	0.0	0.0	0.0	0.0
CTNNBIP1	10.89	11.17	11.22	7.08	7.26	6.72
SLMO1	3.28	3.84	3.4	5.12	3.31	2.73
CFD	2.07	4.12	2.42	0.83	2.22	0.93
BC021738	0.37	0.0	0.0	0.0	0.0	0.0
TSSK6	3.83	1.52	2.33	2.36	2.27	2.73
LUC7L2	42.25	26.83	37.13	28.41	43.84	23.4
POU3F4	0.0	0.0	0.0	0.0	0.0	0.0
DNAJB8	0.0	0.0	0.0	0.0	0.0	0.0
LINC00114	0.0	0.0	0.09	0.36	0.0	0.37
ZNF558	3.01	2.6	3.02	4.94	4.14	4.48
TMEM134	40.33	43.3	41.11	17.54	25.06	19.65
GIT1	20.41	18.5	23.1	16.25	17.72	14.04
PPP1R12A	14.53	6.52	11.06	23.09	22.83	14.61
KIAA1737	4.71	3.45	4.3	4.38	3.73	2.74
LRRC63	0.67	0.5	0.54	0.76	1.31	0.47
TRGV3	0.0	0.0	0.0	0.0	0.0	0.0
PPL	27.35	23.07	29.5	27.99	24.14	24.14
OPN5	0.0	0.0	0.0	0.0	0.0	0.0
NDP	2.27	0.98	1.66	1.62	1.96	1.18
LOC729609	0.0	0.0	0.0	0.0	0.0	0.0
DQ589384	0.0	0.0	0.0	0.0	0.0	0.0
DQ589253	0.0	0.0	0.0	0.0	0.0	0.0
DQ588224	0.0	0.0	0.0	0.0	0.0	0.0
EFTUD1P1	0.0	0.0	0.0	0.0	0.0	0.0
SLC45A4	14.04	16.63	17.37	17.97	18.72	13.68
SPATA31D4	0.0	0.0	0.0	0.0	0.0	0.0
PASD1	0.0	0.0	0.0	0.0	0.0	0.0
TTC25	0.86	0.57	0.56	0.43	0.81	0.43
TTLL9	0.19	0.13	0.34	0.26	0.17	0.07
H2BFWT	0.0	0.0	0.12	0.0	0.0	0.0
RGL1	1.31	0.78	1.46	1.42	2.22	1.36
LRIT2	0.0	0.0	0.0	0.0	0.0	0.0
DQ583499	0.0	0.0	0.0	0.0	0.0	0.0
WDR89	10.33	5.87	9.12	13.68	11.23	7.27
SPRTN	6.28	4.07	6.17	4.92	4.88	4.5
VN1R5	0.0	0.0	0.0	0.0	0.0	0.0
MIR4748	0.0	0.0	0.0	0.0	0.0	0.0
NLE1	16.58	18.61	22.18	14.15	13.95	12.44
CBLN4	0.0	0.0	0.0	0.0	0.0	0.0
PIGF	19.31	11.98	14.24	8.86	11.78	9.59
TSPAN3	208.58	179.88	202.02	118.82	129.84	99.44
WSCD1	0.08	0.0	0.08	0.04	0.03	0.01
AX748395	0.0	0.0	0.24	0.0	0.0	0.0
TRNA_SeC	0.0	0.0	0.0	0.0	0.0	0.0
C5orf38	0.0	0.0	0.0	0.0	0.0	0.0
GPR126	31.9	20.62	27.63	33.07	33.65	20.43
PSMC1	189.54	169.17	162.76	113.92	133.74	91.58
SRM	38.77	48.61	38.94	22.47	18.29	20.32
PGLYRP1	0.0	0.0	0.06	0.0	0.0	0.0
PLEKHF1	4.09	6.12	5.13	3.48	3.92	3.68
AK057887	13.33	12.09	16.56	18.97	22.34	15.0
NDUFA5	51.81	29.8	39.16	42.48	51.37	29.73
AX747988	0.08	0.0	0.21	0.0	0.0	0.1
MDS2	0.0	0.0	0.07	0.0	0.0	0.0
ZBTB33	9.42	4.59	7.28	18.96	18.14	12.5
AK058177	0.0	0.0	0.0	0.0	0.0	0.0
SPACA5	0.0	0.0	0.0	0.0	0.0	0.0
MIR1256	0.0	0.0	0.0	0.0	0.0	0.0
SH3BP1	12.87	12.95	12.08	12.14	10.99	9.3
EPB41L2	120.18	93.45	104.68	135.51	130.48	87.79
JA611266	0.0	0.0	0.0	0.0	0.0	0.0
KIAA1456	0.73	0.37	0.47	0.13	0.08	0.14
CRNN	0.0	0.0	0.0	0.0	0.0	0.0
RPL17-C18orf32	2.91	0.78	0.78	2.98	0.0	0.78
OR11H6	0.0	0.0	0.0	0.0	0.0	0.0
FLJ40448	0.0	0.05	0.09	0.0	0.0	0.04
MIR548O2	0.0	0.0	0.0	0.0	0.0	0.0
KISS1	0.0	0.17	1.05	1.14	0.3	0.76
ZFPM2	0.09	0.0	0.05	0.09	0.0	0.14
VAPA	47.17	32.84	38.01	44.51	50.71	35.69
IQCK	31.31	20.02	23.08	20.43	24.21	15.92
CDC25A	8.51	7.41	9.41	6.83	5.84	5.48
PCDHB13	0.23	0.03	0.32	0.23	0.26	0.15
OR52A1	0.0	0.0	0.0	0.0	0.0	0.0
DNAJC24	5.11	2.83	3.82	4.91	6.57	3.16
SNED1	0.5	0.48	0.76	0.51	0.56	0.35
SCARNA8	0.0	0.0	0.0	0.0	0.0	8.61
JMJD1C-AS1	3.4	4.82	3.26	1.83	1.08	1.6
GP5	0.0	0.06	0.01	0.0	0.0	0.02
HTR2A	0.0	0.0	0.0	0.0	0.0	0.02
RALGPS2	9.22	5.46	9.26	15.35	14.9	9.16
DCDC5	0.0	0.0	0.06	0.04	0.04	0.0
RAB7L1	16.17	14.37	15.1	20.82	20.34	15.83
SEC24D	8.53	6.46	8.91	8.99	10.19	8.23
STXBP5	1.07	0.9	1.26	1.4	1.47	0.92
LINC00908	0.09	0.09	0.07	0.04	0.18	0.14
DUOXA1	0.29	0.23	0.12	0.35	0.6	0.3
ZNF707	9.09	9.92	10.42	12.49	12.09	9.59
GABPB1	19.6	16.99	18.58	28.42	26.91	21.57
LINC00535	0.11	0.0	0.0	0.0	0.0	0.0
MIR373	0.0	0.0	0.0	0.0	0.0	0.0
MLPH	10.35	9.16	8.27	8.07	9.47	6.96
AK301549	0.0	1.13	0.0	0.0	0.0	0.37
SCG2	0.67	0.89	0.65	0.71	1.12	0.69
FAM167A	0.15	0.02	0.14	0.17	0.04	0.28
LOC100130331	0.0	0.0	0.0	0.06	0.0	0.0
BX647356	3.95	4.67	5.46	6.76	5.21	3.66
MIR4700	0.0	0.0	0.0	0.0	0.0	0.0
LOC100303749	0.0	0.0	0.0	0.0	0.83	0.0
RAB3D	2.75	2.69	2.55	3.83	3.66	2.84
GSG2	7.1	5.44	7.34	5.25	5.25	4.42
ZFAND1	20.73	13.36	20.02	37.82	39.48	30.08
DQ786202	0.0	0.0	0.0	0.0	0.0	0.0
ZNF564	2.33	1.81	3.0	6.54	8.06	4.31
MIR5581	0.0	0.0	0.0	0.0	0.0	0.0
NDUFA3	537.75	681.96	587.21	361.86	341.97	290.34
EFCAB3	0.27	0.07	0.57	0.6	0.37	0.42
LINC00488	0.0	0.0	0.0	0.0	0.0	0.0
TMEM203	37.69	36.22	36.95	21.78	23.36	24.02
BHLHE23	0.0	0.0	0.0	0.0	0.0	0.0
ADAD1	0.0	0.0	0.0	0.0	0.0	0.0
ZNF423	0.0	0.0	0.0	0.0	0.0	0.02
SYPL2	0.0	0.06	0.0	0.0	0.0	0.0
DQ576197	0.0	0.0	0.0	0.0	0.0	0.0
FRMPD1	0.0	0.0	0.0	0.0	0.0	0.0
SMAP2	13.39	9.49	12.08	12.16	13.15	8.89
AK126334	0.0	0.0	0.45	0.41	2.18	1.42
TSSK2	0.0	0.0	0.0	0.0	0.0	0.0
LOC643542	0.0	0.0	0.03	0.07	0.0	0.0
EID2B	3.96	3.16	3.37	2.35	2.63	2.34
SHC2	4.57	4.18	4.31	3.48	5.84	3.99
TPRX1	0.0	0.0	0.0	0.0	0.0	0.0
ALG9	6.72	3.7	4.4	5.15	6.36	4.76
SNX31	0.0	0.0	0.0	0.0	0.0	0.0
LGMN	86.76	77.89	83.64	110.79	115.77	96.28
ABCG5	0.84	0.22	0.62	0.08	0.1	0.0
ADAM6	0.0	0.0	0.0	0.0	0.0	0.0
DQ599976	0.0	0.0	0.0	0.0	0.0	0.0
SPINT2	1395.59	1461.52	1481.19	1076.87	1080.8	981.66
HPR	0.0	0.0	0.0	0.0	0.0	0.0
HIST1H2BH	2.65	6.96	2.92	4.89	4.88	5.8
SLIT3	0.0	0.0	0.0	0.01	0.0	0.02
SURF6	24.73	24.42	24.14	19.32	18.48	15.72
GUCA2A	0.0	0.0	0.0	0.0	0.0	0.0
KBTBD7	2.6	1.33	2.86	2.75	2.22	2.76
RNF215	25.53	26.71	30.04	39.82	48.92	35.55
AX747945	0.0	0.0	0.0	0.0	0.0	0.0
DQ595494	0.0	0.0	0.0	0.0	0.0	0.0
DQ579700	0.0	0.0	0.0	0.0	0.0	0.0
GLUD2	5.39	6.13	7.94	7.95	5.86	6.41
LOC550643	109.88	102.64	104.12	83.27	70.99	58.5
A2ML1	0.12	0.08	0.09	0.27	0.48	0.16
C17orf70	13.95	13.5	14.42	8.87	7.71	7.83
RNF139	17.41	11.97	16.59	20.48	25.31	17.41
MIR3689E	0.0	0.0	0.0	0.0	0.0	0.0
HM358977	0.0	0.0	0.0	0.0	0.0	0.0
APOA5	0.0	0.0	0.0	0.0	0.0	0.0
LOC401296	0.0	0.0	0.0	0.0	0.0	0.0
PTRF	16.72	12.14	10.58	7.14	7.59	6.34
AK056246	1.05	1.11	1.0	0.62	0.8	0.58
FAM162A	106.02	100.44	93.25	57.28	77.35	56.43
PLCB1	0.53	0.53	0.82	1.08	1.36	0.69
GARNL3	0.11	0.11	0.08	0.03	0.2	0.06
MIR4319	0.0	0.0	0.0	0.0	0.0	0.0
ECD	28.26	22.88	26.54	24.86	29.18	20.04
KRTAP22-1	0.0	0.0	0.0	0.0	0.0	0.0
IL17A	0.0	0.0	0.0	0.0	0.0	0.0
MIR4256	0.0	0.0	0.0	0.0	0.0	0.0
RIMS1	0.0	0.02	0.06	0.05	0.06	0.05
