gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Cell_Identity
RPL13	9.119999999999999e-59	0.8162674259999999	1.0	0.998	2.4099999999999996e-54	B_Cells	Immune_Lymphoid
RPS27A	8.479999999999996e-58	0.8148527640000001	1.0	0.993	2.2399999999999997e-53	B_Cells	Immune_Lymphoid
RPS5	1.7199999999999995e-62	0.814503202	1.0	0.984	4.5499999999999986e-58	B_Cells	Immune_Lymphoid
BTG1	1.58e-24	0.8139280990000001	1.0	0.823	4.16e-20	B_Cells	Immune_Lymphoid
CD83	4.66e-10	0.81337416	0.679	0.328	1.23e-05	B_Cells	Immune_Lymphoid
RPSA	1.4199999999999992e-51	0.812097829	1.0	0.976	3.74e-47	B_Cells	Immune_Lymphoid
RPL23A	4.35e-53	0.8033139420000001	1.0	0.98	1.1499999999999999e-48	B_Cells	Immune_Lymphoid
RPS8	1.409999999999999e-61	0.796349513	1.0	0.997	3.7099999999999995e-57	B_Cells	Immune_Lymphoid
RPS6	9.259999999999997e-51	0.7878997090000001	1.0	0.989	2.4399999999999996e-46	B_Cells	Immune_Lymphoid
RPS29	9.97e-43	0.786198398	1.0	0.956	2.6299999999999997e-38	B_Cells	Immune_Lymphoid
MEF2C	3.26e-21	0.778282767	0.721	0.205	8.61e-17	B_Cells	Immune_Lymphoid
RPS19	6.92e-44	0.776065291	1.0	0.997	1.82e-39	B_Cells	Immune_Lymphoid
RPS26	2.84e-26	0.775722072	1.0	0.983	7.49e-22	B_Cells	Immune_Lymphoid
RAC2	1.03e-12	0.764034494	0.836	0.362	2.73e-08	B_Cells	Immune_Lymphoid
SELL	7.08e-12	0.762295205	0.55	0.064	1.87e-07	B_Cells	Immune_Lymphoid
EEF1B2	3.51e-56	0.755042483	1.0	0.954	9.269999999999999e-52	B_Cells	Immune_Lymphoid
EEF1G	2.55e-58	0.7528691959999999	0.993	0.883	6.710000000000001e-54	B_Cells	Immune_Lymphoid
RPLP2	1.4399999999999995e-58	0.750451098	1.0	0.992	3.79e-54	B_Cells	Immune_Lymphoid
RPL21	4.31e-51	0.741268135	1.0	0.983	1.14e-46	B_Cells	Immune_Lymphoid
BLK	1.6899999999999984e-290	0.735645828	0.564	0.002	4.449999999999996e-286	B_Cells	Immune_Lymphoid
RPS21	4.89e-56	0.7293001370000001	1.0	0.992	1.2899999999999998e-51	B_Cells	Immune_Lymphoid
RPS23	3.67e-48	0.728499957	1.0	0.993	9.68e-44	B_Cells	Immune_Lymphoid
RPL30	2.73e-43	0.722803167	1.0	0.996	7.19e-39	B_Cells	Immune_Lymphoid
RPL34	3.3299999999999997e-43	0.69768083	1.0	0.993	8.78e-39	B_Cells	Immune_Lymphoid
RPS10	3.8799999999999996e-44	0.695626922	1.0	0.984	1.0199999999999996e-39	B_Cells	Immune_Lymphoid
RPL32	2.49e-40	0.694894185	1.0	0.992	6.57e-36	B_Cells	Immune_Lymphoid
RPL3	4.3899999999999997e-41	0.688616973	1.0	0.991	1.16e-36	B_Cells	Immune_Lymphoid
RPL39	1.05e-33	0.687829468	1.0	0.991	2.76e-29	B_Cells	Immune_Lymphoid
RPS15A	8.159999999999999e-35	0.686024642	1.0	0.993	2.15e-30	B_Cells	Immune_Lymphoid
RPS3A	3.48e-45	0.685032317	1.0	0.994	9.169999999999999e-41	B_Cells	Immune_Lymphoid
FCRLA	1.1599999999999989e-192	0.684995173	0.443	0.001	3.059999999999998e-188	B_Cells	Immune_Lymphoid
RPL11	1.03e-51	0.684874007	1.0	0.998	2.7100000000000007e-47	B_Cells	Immune_Lymphoid
HLA-DQA1	5.0999999999999993e-08	0.678588165	0.964	0.607	0.001344185	B_Cells	Immune_Lymphoid
IGHM	0.19033536	0.676096494	0.5429999999999999	0.006	1.0	B_Cells	Immune_Lymphoid
CORO1A	6.23e-06	0.675344686	0.807	0.28	0.164276952	B_Cells	Immune_Lymphoid
RPL10A	1.3699999999999999e-42	0.671970994	1.0	0.975	3.62e-38	B_Cells	Immune_Lymphoid
RPL19	2.0999999999999998e-44	0.660124229	1.0	0.997	5.5300000000000006e-40	B_Cells	Immune_Lymphoid
RPS16	3.3599999999999993e-46	0.650832424	1.0	0.988	8.859999999999998e-42	B_Cells	Immune_Lymphoid
CD48	3.06e-10	0.649594076	0.657	0.16699999999999998	8.07e-06	B_Cells	Immune_Lymphoid
RPL37	1.55e-36	0.644893966	1.0	0.99	4.08e-32	B_Cells	Immune_Lymphoid
SP100	3.4499999999999996e-30	0.636651347	0.6709999999999999	0.373	9.11e-26	B_Cells	Immune_Lymphoid
RPL18	1.46e-41	0.635167781	1.0	0.994	3.8399999999999995e-37	B_Cells	Immune_Lymphoid
LAPTM5	2.86e-12	0.633331359	0.986	0.6829999999999999	7.54e-08	B_Cells	Immune_Lymphoid
RPS7	7.41e-43	0.633247175	1.0	0.992	1.95e-38	B_Cells	Immune_Lymphoid
POU2F2	4.2e-18	0.6309697679999999	0.514	0.079	1.11e-13	B_Cells	Immune_Lymphoid
ADAM28	3.3900000000000004e-16	0.629275349	0.464	0.039	8.949999999999999e-12	B_Cells	Immune_Lymphoid
RPS25	3.9e-43	0.627844948	1.0	0.99	1.03e-38	B_Cells	Immune_Lymphoid
RPS11	5.16e-49	0.62771071	1.0	0.951	1.36e-44	B_Cells	Immune_Lymphoid
RPS3	4.13e-29	0.625207834	1.0	0.993	1.09e-24	B_Cells	Immune_Lymphoid
RPS12	1.46e-24	0.620739542	1.0	0.994	3.86e-20	B_Cells	Immune_Lymphoid
RPL5	4.079999999999999e-35	0.614097625	1.0	0.984	1.0799999999999999e-30	B_Cells	Immune_Lymphoid
UCP2	1.18e-14	0.612324158	0.7	0.389	3.12e-10	B_Cells	Immune_Lymphoid
CD19	4.3399999999999973e-159	0.602525716	0.4	0.005	1.1399999999999993e-154	B_Cells	Immune_Lymphoid
RPS4X	1.31e-25	0.602449049	1.0	0.992	3.46e-21	B_Cells	Immune_Lymphoid
CXCR4	5.47e-07	0.601748876	0.757	0.373	0.014422812	B_Cells	Immune_Lymphoid
RPL26	7.809999999999998e-29	0.600794689	1.0	0.989	2.06e-24	B_Cells	Immune_Lymphoid
IGKV4-1	0.428414758	0.5993701539999999	0.121	0.026	1.0	B_Cells	Immune_Lymphoid
CD74	1.15e-09	0.598886585	1.0	0.985	3.04e-05	B_Cells	Immune_Lymphoid
AFF3	6.2499999999999996e-24	0.596676561	0.471	0.064	1.65e-19	B_Cells	Immune_Lymphoid
RPLP1	2.9599999999999996e-32	0.593988128	1.0	0.999	7.8e-28	B_Cells	Immune_Lymphoid
ARHGAP24	9.819999999999999e-54	0.593672351	0.493	0.113	2.5899999999999997e-49	B_Cells	Immune_Lymphoid
RPL17	6.13e-22	0.588419516	0.993	0.92	1.62e-17	B_Cells	Immune_Lymphoid
RHOH	1.94e-13	0.586715752	0.55	0.084	5.11e-09	B_Cells	Immune_Lymphoid
SP140	1.71e-27	0.586196806	0.514	0.097	4.5e-23	B_Cells	Immune_Lymphoid
SMCHD1	1.22e-17	0.584482195	0.621	0.309	3.2200000000000004e-13	B_Cells	Immune_Lymphoid
RPS14	1.83e-30	0.58295017	1.0	0.994	4.82e-26	B_Cells	Immune_Lymphoid
RPL4	7.079999999999998e-39	0.582045975	1.0	0.95	1.87e-34	B_Cells	Immune_Lymphoid
RPL36	3.97e-36	0.575907908	1.0	0.984	1.05e-31	B_Cells	Immune_Lymphoid
VPREB3	7.799999999999996e-127	0.575397913	0.386	0.0	2.0599999999999995e-122	B_Cells	Immune_Lymphoid
RPL29	4.6299999999999997e-32	0.5717060629999999	1.0	0.989	1.2199999999999998e-27	B_Cells	Immune_Lymphoid
RPL27A	4.9299999999999984e-31	0.569325116	0.993	0.89	1.2999999999999998e-26	B_Cells	Immune_Lymphoid
RPL35A	2.38e-31	0.5667805920000001	1.0	0.988	6.27e-27	B_Cells	Immune_Lymphoid
FAM129C	6.999999999999996e-93	0.56207158	0.393	0.001	1.8499999999999996e-88	B_Cells	Immune_Lymphoid
RPS15	2.61e-37	0.549270901	1.0	0.995	6.879999999999999e-33	B_Cells	Immune_Lymphoid
RP11-796E2.4	6.84e-17	0.548664438	0.4	0.078	1.8000000000000004e-12	B_Cells	Immune_Lymphoid
FAM65B	5.72e-12	0.5484487570000001	0.529	0.16399999999999998	1.51e-07	B_Cells	Immune_Lymphoid
TSC22D3	6.990000000000001e-13	0.545295393	0.914	0.7340000000000001	1.84e-08	B_Cells	Immune_Lymphoid
ISG20	2.4300000000000003e-08	0.54419026	0.593	0.234	0.000640391	B_Cells	Immune_Lymphoid
BIRC3	1.84e-10	0.542486347	0.45	0.13	4.85e-06	B_Cells	Immune_Lymphoid
RP11-693J15.5	2.3799999999999993e-131	0.540491731	0.371	0.002	6.269999999999997e-127	B_Cells	Immune_Lymphoid
RPS2	5.4799999999999985e-21	0.539622955	1.0	0.99	1.45e-16	B_Cells	Immune_Lymphoid
ST6GAL1	6.7e-16	0.539510127	0.436	0.086	1.7699999999999998e-11	B_Cells	Immune_Lymphoid
REL	1.12e-12	0.539240839	0.629	0.365	2.96e-08	B_Cells	Immune_Lymphoid
STK17A	5.79e-15	0.538611451	0.6	0.222	1.53e-10	B_Cells	Immune_Lymphoid
RPL7A	5.26e-32	0.536723135	1.0	0.995	1.39e-27	B_Cells	Immune_Lymphoid
RPL35	3.0099999999999998e-33	0.5356355939999999	1.0	0.977	7.94e-29	B_Cells	Immune_Lymphoid
HVCN1	6.55e-42	0.535061849	0.5429999999999999	0.136	1.7299999999999999e-37	B_Cells	Immune_Lymphoid
DUSP2	0.000543714	0.529719051	0.464	0.217	1.0	B_Cells	Immune_Lymphoid
TCL1A	0.010186432	0.527743893	0.243	0.001	1.0	B_Cells	Immune_Lymphoid
6-Sep	1.97e-15	0.521449556	0.557	0.194	5.21e-11	B_Cells	Immune_Lymphoid
RPL9	1.71e-27	0.52131298	1.0	0.987	4.52e-23	B_Cells	Immune_Lymphoid
PARP15	2.3199999999999997e-28	0.521123719	0.464	0.062	6.12e-24	B_Cells	Immune_Lymphoid
FAU	3.18e-33	0.5167430820000001	1.0	0.995	8.4e-29	B_Cells	Immune_Lymphoid
IL2RG	1.24e-06	0.51004437	0.664	0.231	0.03260627	B_Cells	Immune_Lymphoid
MTRNR2L12	4.55e-10	0.507611138	0.221	0.093	1.2e-05	B_Cells	Immune_Lymphoid
NCF1	7.46e-09	0.505256362	0.643	0.244	0.000196673	B_Cells	Immune_Lymphoid
POU2AF1	1.1100000000000002e-08	0.5021984970000001	0.429	0.036000000000000004	0.000291576	B_Cells	Immune_Lymphoid
IRF8	2.22e-16	0.500721051	0.6	0.21600000000000005	5.8600000000000005e-12	B_Cells	Immune_Lymphoid
RP5-887A10.1	1.1799999999999999e-30	0.498334136	0.25	0.002	3.1100000000000004e-26	B_Cells	Immune_Lymphoid
UBA52	7.64e-29	0.497665581	1.0	0.978	2.0199999999999998e-24	B_Cells	Immune_Lymphoid
GNG7	1.1400000000000002e-29	0.497478776	0.421	0.046	3.0099999999999997e-25	B_Cells	Immune_Lymphoid
EEF1A1	1.1399999999999999e-24	0.495340069	1.0	1.0	3.01e-20	B_Cells	Immune_Lymphoid
SCIMP	9.989999999999999e-26	0.494059065	0.443	0.13699999999999998	2.63e-21	B_Cells	Immune_Lymphoid
RPL10	1.03e-20	0.490498447	1.0	0.999	2.71e-16	B_Cells	Immune_Lymphoid
SYK	1.2999999999999998e-19	0.48952771	0.557	0.251	3.4200000000000004e-15	B_Cells	Immune_Lymphoid
RPL12	1.2799999999999999e-20	0.485835907	1.0	0.991	3.37e-16	B_Cells	Immune_Lymphoid
LSP1	2.97e-06	0.484741232	0.743	0.3720000000000001	0.078465322	B_Cells	Immune_Lymphoid
TMEM156	2.61e-21	0.4814743970000001	0.386	0.019	6.890000000000001e-17	B_Cells	Immune_Lymphoid
TNFAIP8	8.800000000000001e-23	0.47904372	0.536	0.204	2.32e-18	B_Cells	Immune_Lymphoid
RPL27	6.389999999999999e-26	0.477565584	0.993	0.961	1.6899999999999996e-21	B_Cells	Immune_Lymphoid
PNISR	7.63e-18	0.476199161	0.721	0.443	2.01e-13	B_Cells	Immune_Lymphoid
RPS20	1.35e-24	0.471518409	0.929	0.862	3.5599999999999996e-20	B_Cells	Immune_Lymphoid
CD27	1.99e-05	0.467731282	0.364	0.037000000000000005	0.525593696	B_Cells	Immune_Lymphoid
STAG3	3.3200000000000003e-23	0.462823058	0.207	0.018000000000000002	8.750000000000002e-19	B_Cells	Immune_Lymphoid
AC079767.4	2.3199999999999995e-42	0.462545915	0.314	0.031	6.119999999999998e-38	B_Cells	Immune_Lymphoid
SF1	2.2699999999999998e-17	0.462221508	0.7929999999999999	0.482	5.99e-13	B_Cells	Immune_Lymphoid
1-Mar	3.16e-18	0.462150273	0.486	0.211	8.34e-14	B_Cells	Immune_Lymphoid
EEF2	1.63e-21	0.459570433	1.0	0.949	4.31e-17	B_Cells	Immune_Lymphoid
RPS28	2.06e-21	0.458885889	1.0	0.995	5.42e-17	B_Cells	Immune_Lymphoid
STK4	1.4199999999999998e-12	0.458810714	0.6	0.28600000000000003	3.75e-08	B_Cells	Immune_Lymphoid
CLECL1	9.2e-31	0.457963214	0.336	0.026	2.43e-26	B_Cells	Immune_Lymphoid
PTPRC	1.42e-05	0.456236598	0.8640000000000001	0.494	0.374207758	B_Cells	Immune_Lymphoid
FCER2	1.63e-11	0.454359726	0.314	0.004	4.29e-07	B_Cells	Immune_Lymphoid
EEF1D	1.13e-22	0.452886	1.0	0.946	2.98e-18	B_Cells	Immune_Lymphoid
ARHGDIB	9.41e-09	0.450511876	0.943	0.685	0.00024813200000000003	B_Cells	Immune_Lymphoid
RPL22L1	1.22e-15	0.449575637	0.65	0.465	3.2100000000000004e-11	B_Cells	Immune_Lymphoid
TMEM154	1.56e-16	0.448388248	0.364	0.101	4.1e-12	B_Cells	Immune_Lymphoid
CD53	1.89e-10	0.447613175	0.764	0.45	4.98e-06	B_Cells	Immune_Lymphoid
SWAP70	6.389999999999999e-20	0.4461132820000001	0.5429999999999999	0.195	1.6899999999999999e-15	B_Cells	Immune_Lymphoid
GNB2L1	1.7899999999999993e-21	0.445064067	1.0	0.99	4.73e-17	B_Cells	Immune_Lymphoid
RPL36A	6.1e-14	0.445046319	0.821	0.6859999999999999	1.61e-09	B_Cells	Immune_Lymphoid
GLTSCR2	1.0400000000000002e-17	0.445020997	0.807	0.644	2.7399999999999994e-13	B_Cells	Immune_Lymphoid
RPLP0	3.71e-17	0.444385195	1.0	0.996	9.78e-13	B_Cells	Immune_Lymphoid
RPL28	1.11e-16	0.443691095	1.0	0.997	2.94e-12	B_Cells	Immune_Lymphoid
FCRL5	0.00024084	0.442444694	0.193	0.005	1.0	B_Cells	Immune_Lymphoid
NR4A2	5.7200000000000015e-05	0.44178992	0.464	0.328	1.0	B_Cells	Immune_Lymphoid
TAGAP	1.04e-05	0.439737595	0.436	0.18	0.274330693	B_Cells	Immune_Lymphoid
CYB561A3	2.83e-31	0.436903889	0.414	0.129	7.47e-27	B_Cells	Immune_Lymphoid
RPL6	3.2399999999999997e-19	0.43632552	1.0	0.988	8.55e-15	B_Cells	Immune_Lymphoid
RPL37A	6.68e-20	0.43572022	1.0	0.984	1.7600000000000006e-15	B_Cells	Immune_Lymphoid
ARID5B	7.959999999999999e-13	0.434663062	0.443	0.194	2.1e-08	B_Cells	Immune_Lymphoid
LBH	9.23e-08	0.43225483	0.421	0.114	0.002433846	B_Cells	Immune_Lymphoid
RPS9	2.55e-18	0.429702524	1.0	0.991	6.72e-14	B_Cells	Immune_Lymphoid
RPL15	6.15e-23	0.427329436	1.0	0.993	1.6199999999999999e-18	B_Cells	Immune_Lymphoid
LY9	7.7e-12	0.426858282	0.3	0.031	2.03e-07	B_Cells	Immune_Lymphoid
PPM1K	4.05e-22	0.424788495	0.479	0.132	1.07e-17	B_Cells	Immune_Lymphoid
RPL38	2.1800000000000007e-21	0.423803344	0.993	0.959	5.76e-17	B_Cells	Immune_Lymphoid
CXCR5	8.779999999999996e-138	0.423159828	0.307	0.001	2.3199999999999984e-133	B_Cells	Immune_Lymphoid
ICAM3	3.61e-11	0.422079458	0.514	0.151	9.51e-07	B_Cells	Immune_Lymphoid
CD22	7.24e-44	0.421906258	0.35700000000000004	0.028	1.91e-39	B_Cells	Immune_Lymphoid
GPSM3	5.87e-10	0.419872929	0.7140000000000001	0.406	1.55e-05	B_Cells	Immune_Lymphoid
RPL31	6.3800000000000005e-21	0.419824155	0.986	0.937	1.68e-16	B_Cells	Immune_Lymphoid
SRSF7	1.24e-08	0.418986414	0.7070000000000001	0.509	0.000326305	B_Cells	Immune_Lymphoid
AC090498.1	3.33e-16	0.417552533	1.0	0.998	8.78e-12	B_Cells	Immune_Lymphoid
FUS	2.48e-11	0.417540055	0.7140000000000001	0.516	6.529999999999999e-07	B_Cells	Immune_Lymphoid
RPS13	2.04e-15	0.415509315	1.0	0.994	5.379999999999999e-11	B_Cells	Immune_Lymphoid
RPL22	5.58e-22	0.414819713	1.0	0.982	1.47e-17	B_Cells	Immune_Lymphoid
FCRL1	1.819999999999999e-135	0.41000432	0.314	0.005	4.809999999999998e-131	B_Cells	Immune_Lymphoid
ZFP36L2	8.11e-06	0.408983816	0.857	0.662	0.21380823	B_Cells	Immune_Lymphoid
TRAF3IP3	1.57e-07	0.4071255170000001	0.436	0.098	0.004147749	B_Cells	Immune_Lymphoid
STK17B	9.69e-09	0.405914106	0.586	0.342	0.000255592	B_Cells	Immune_Lymphoid
RPL8	2.81e-22	0.404785265	1.0	0.997	7.41e-18	B_Cells	Immune_Lymphoid
CCR7	0.0007948089999999999	0.404247136	0.293	0.006999999999999999	1.0	B_Cells	Immune_Lymphoid
AIM2	1.6399999999999996e-24	0.402841567	0.279	0.015	4.32e-20	B_Cells	Immune_Lymphoid
LRMP	3.7700000000000006e-23	0.40269643	0.314	0.054000000000000006	9.93e-19	B_Cells	Immune_Lymphoid
NCOA3	1.7300000000000001e-15	0.401605132	0.443	0.181	4.57e-11	B_Cells	Immune_Lymphoid
ANKRD44	5.04e-14	0.398217568	0.493	0.182	1.3300000000000002e-09	B_Cells	Immune_Lymphoid
ANXA6	1.66e-08	0.397733357	0.5429999999999999	0.188	0.000438272	B_Cells	Immune_Lymphoid
KIAA1551	1.3e-09	0.3963020370000001	0.479	0.231	3.4200000000000005e-05	B_Cells	Immune_Lymphoid
IKZF3	1.63e-08	0.394787568	0.336	0.048	0.000429574	B_Cells	Immune_Lymphoid
TBC1D10C	2.71e-11	0.394312272	0.436	0.158	7.159999999999998e-07	B_Cells	Immune_Lymphoid
AC006129.2	1.02e-14	0.392582901	0.364	0.057	2.7000000000000005e-10	B_Cells	Immune_Lymphoid
TNFRSF13B	3.39e-06	0.392441297	0.3	0.005	0.08939915699999999	B_Cells	Immune_Lymphoid
TRBC2	0.00080134	0.392215811	0.429	0.077	1.0	B_Cells	Immune_Lymphoid
HLA-DPB1	0.000119399	0.390634452	0.993	0.8270000000000001	1.0	B_Cells	Immune_Lymphoid
IL16	9.079999999999999e-17	0.390599551	0.429	0.11	2.4e-12	B_Cells	Immune_Lymphoid
YWHAZ	1.88e-15	0.388235886	0.893	0.8170000000000001	4.96e-11	B_Cells	Immune_Lymphoid
ORAI2	5.33e-23	0.387638281	0.393	0.095	1.41e-18	B_Cells	Immune_Lymphoid
PPP3CC	1.38e-16	0.387271355	0.479	0.179	3.64e-12	B_Cells	Immune_Lymphoid
PDE4B	9.17e-07	0.38272276	0.429	0.156	0.024184216	B_Cells	Immune_Lymphoid
EVL	3.41e-07	0.380494242	0.629	0.321	0.009005002	B_Cells	Immune_Lymphoid
ARHGAP15	1.91e-10	0.379061897	0.429	0.126	5.05e-06	B_Cells	Immune_Lymphoid
MALAT1	5.13e-05	0.375358555	1.0	0.991	1.0	B_Cells	Immune_Lymphoid
RPL14	1.45e-15	0.375199285	1.0	0.993	3.820000000000001e-11	B_Cells	Immune_Lymphoid
CD82	1.63e-08	0.373745076	0.443	0.185	0.000429744	B_Cells	Immune_Lymphoid
ATP2B1	2.54e-11	0.373454623	0.479	0.237	6.709999999999999e-07	B_Cells	Immune_Lymphoid
RP5-1171I10.5	5.5e-13	0.372940718	0.364	0.105	1.45e-08	B_Cells	Immune_Lymphoid
MYCBP2	6.31e-13	0.370302805	0.457	0.261	1.66e-08	B_Cells	Immune_Lymphoid
GPR183	0.001576712	0.365697978	0.414	0.159	1.0	B_Cells	Immune_Lymphoid
ITGA4	7.25e-06	0.362546733	0.393	0.172	0.19129607	B_Cells	Immune_Lymphoid
ATF7IP	3.8e-13	0.357994676	0.386	0.189	1e-08	B_Cells	Immune_Lymphoid
RNASET2	1.41e-07	0.35444990000000004	0.6709999999999999	0.4	0.003706948	B_Cells	Immune_Lymphoid
CNN2	2.4e-08	0.354442649	0.593	0.368	0.000633648	B_Cells	Immune_Lymphoid
BCAS4	9.41e-28	0.35354236200000005	0.343	0.051	2.48e-23	B_Cells	Immune_Lymphoid
NACA	1.04e-14	0.352972283	1.0	0.984	2.75e-10	B_Cells	Immune_Lymphoid
PABPC1	5.68e-13	0.35160182100000004	1.0	0.958	1.5e-08	B_Cells	Immune_Lymphoid
TCF4	7.04e-05	0.349599592	0.407	0.14300000000000002	1.0	B_Cells	Immune_Lymphoid
INPP5D	1.2e-13	0.349300975	0.35	0.104	3.16e-09	B_Cells	Immune_Lymphoid
PCBP2	3.13e-14	0.34881935299999994	0.95	0.915	8.269999999999999e-10	B_Cells	Immune_Lymphoid
FCRL2	1.7099999999999992e-87	0.348461588	0.257	0.003	4.4999999999999985e-83	B_Cells	Immune_Lymphoid
ANKRD12	8.9e-11	0.347967469	0.529	0.403	2.35e-06	B_Cells	Immune_Lymphoid
ACAP1	6.790000000000001e-07	0.347713085	0.429	0.125	0.017904344	B_Cells	Immune_Lymphoid
HLA-DOB	3.63e-37	0.343901364	0.307	0.012	9.57e-33	B_Cells	Immune_Lymphoid
FAM46C	2.61e-06	0.33954516700000004	0.314	0.112	0.06891367400000001	B_Cells	Immune_Lymphoid
KIAA0226L	1.6899999999999993e-37	0.339415055	0.307	0.025	4.47e-33	B_Cells	Immune_Lymphoid
BLNK	2.9999999999999998e-33	0.33773968200000004	0.379	0.059	7.91e-29	B_Cells	Immune_Lymphoid
SMIM14	2.83e-12	0.336867422	0.457	0.339	7.46e-08	B_Cells	Immune_Lymphoid
RPL7	3.5600000000000005e-13	0.336280821	1.0	0.96	9.39e-09	B_Cells	Immune_Lymphoid
HMGN1	1.34e-11	0.336210526	0.7709999999999999	0.618	3.53e-07	B_Cells	Immune_Lymphoid
PTPN6	2.78e-08	0.33612858100000004	0.5710000000000001	0.387	0.000733299	B_Cells	Immune_Lymphoid
ARHGAP25	9.59e-15	0.334962915	0.343	0.105	2.53e-10	B_Cells	Immune_Lymphoid
MT-ND4L	8.99e-09	0.334295344	1.0	0.993	0.000237103	B_Cells	Immune_Lymphoid
EZR	0.000135667	0.332640227	0.679	0.481	1.0	B_Cells	Immune_Lymphoid
CD1C	0.016441187	0.329835472	0.179	0.009000000000000001	1.0	B_Cells	Immune_Lymphoid
TNFRSF13C	1.7199999999999993e-112	0.32923268	0.271	0.002	4.519999999999999e-108	B_Cells	Immune_Lymphoid
SF3B1	6.940000000000001e-10	0.328113993	0.593	0.496	1.83e-05	B_Cells	Immune_Lymphoid
KIAA0125	0.006532693000000001	0.327686667	0.236	0.004	1.0	B_Cells	Immune_Lymphoid
C1orf186	0.007384621	0.327464719	0.28600000000000003	0.012	1.0	B_Cells	Immune_Lymphoid
HNRNPDL	8.46e-15	0.327032715	0.9	0.8390000000000001	2.23e-10	B_Cells	Immune_Lymphoid
RPL24	2.93e-11	0.326733238	1.0	0.983	7.72e-07	B_Cells	Immune_Lymphoid
KIAA0922	1.26e-16	0.326414692	0.28600000000000003	0.097	3.32e-12	B_Cells	Immune_Lymphoid
POLD4	1.5699999999999997e-10	0.32487705100000003	0.6	0.493	4.13e-06	B_Cells	Immune_Lymphoid
CCNI	5.59e-12	0.321767598	0.95	0.8809999999999999	1.47e-07	B_Cells	Immune_Lymphoid
PLPP5	3.3100000000000005e-13	0.32141641600000004	0.336	0.173	8.72e-09	B_Cells	Immune_Lymphoid
UVRAG	5.62e-14	0.321255917	0.393	0.21	1.4800000000000005e-09	B_Cells	Immune_Lymphoid
EIF3E	6.009999999999999e-11	0.321072482	0.85	0.708	1.58e-06	B_Cells	Immune_Lymphoid
EIF3F	1.91e-12	0.320665198	0.871	0.7659999999999999	5.04e-08	B_Cells	Immune_Lymphoid
SMC6	6.75e-18	0.320425285	0.35700000000000004	0.147	1.7800000000000002e-13	B_Cells	Immune_Lymphoid
HLA-DPA1	0.0016133439999999998	0.319917681	1.0	0.878	1.0	B_Cells	Immune_Lymphoid
CD40	8.46e-15	0.319796724	0.364	0.129	2.23e-10	B_Cells	Immune_Lymphoid
UBE2J1	1.6399999999999998e-08	0.317050296	0.45	0.322	0.000432815	B_Cells	Immune_Lymphoid
TCEA1	5.19e-11	0.316259047	0.657	0.504	1.37e-06	B_Cells	Immune_Lymphoid
HLA-A	1.63e-05	0.316062228	1.0	0.957	0.429331599	B_Cells	Immune_Lymphoid
PPP1R2	7.88e-10	0.315345206	0.593	0.362	2.08e-05	B_Cells	Immune_Lymphoid
CYTIP	2.84e-05	0.314847294	0.55	0.312	0.748162797	B_Cells	Immune_Lymphoid
CLEC2D	5.24e-06	0.312842868	0.329	0.08	0.138247699	B_Cells	Immune_Lymphoid
TMEM243	7.020000000000002e-09	0.312807084	0.5429999999999999	0.376	0.000185109	B_Cells	Immune_Lymphoid
