S.No.	cellType	Cell Category	old_symbol	gene	Updated Gene ID	logFC	logDOR	Prop.Exp.in	Prop.Exp.Out	nCells.in	nCells.out
6009	DC Mature	Immune_Myeloid	ABCC4	ABCC4	10257	0.644583538	2.108408875	0.544642857	0.126794757	784	306866
6497	DC Langerhans	Immune_Myeloid	ABCC4	ABCC4	10257	1.075670337	3.249445904	0.790625	0.127169492	320	307330
8727	Goblet	Epithelial	ABCC4	ABCC4	10257	0.485531208	2.212176512	0.568519969	0.126022854	1277	306373
12327	Mast	Immune_Myeloid	ABCC4	ABCC4	10257	0.891581678	1.961147053	0.506320225	0.126099678	1424	306226
19392	VE Venous	Vascular-Endothelial	ABCC4	ABCC4	10257	0.680833361	1.971985718	0.510958904	0.12694839	730	306920
20044	VE Capillary B	Vascular-Endothelial	ABCC4	ABCC4	10257	0.542415529	1.442342659	0.380530973	0.12683457	1243	306407
20545	VE Arterial	Vascular-Endothelial	ABCC4	ABCC4	10257	0.682261719	1.878755647	0.487646294	0.126958007	769	306881
21739	VE Peribronchial	Vascular-Endothelial	ABCC4	ABCC4	10257	0.474122671	1.874572508	0.483173077	0.125440979	2080	305570
2355	Basal	Epithelial	ABCC5	ABCC5	10057	0.360285117	1.766422048	0.370480142	0.091432624	1687	305963
3699	Ciliated	Epithelial	ABCC5	ABCC5	10057	0.435665527	2.268420863	0.460714286	0.081219602	9520	298130
4581	Club	Epithelial	ABCC5	ABCC5	10057	0.305330845	1.669314857	0.346530772	0.090842645	2551	305099
19170	VE Venous	Vascular-Endothelial	ABCC8	ABCC8	6833	0.396897901	3.525665398	0.232876712	0.008872019	730	306920
19805	VE Capillary B	Vascular-Endothelial	ABCC8	ABCC8	6833	0.377450949	3.209420124	0.178600161	0.008717164	1243	306407
778	AT2	Epithelial	ABCC9	ABCC9	10060	0.382212786	3.697589333	0.336026256	0.012387673	3961	303689
16974	Pericytes	Mesenchyme	ABCC9	ABCC9	10060	0.441740767	3.426406057	0.331343284	0.015867483	670	306980
3868	Ciliated	Epithelial	ABCD3	ABCD3	5825	0.358844417	1.82156199	0.445483193	0.115016939	9520	298130
12414	Mast	Immune_Myeloid	ABCD3	ABCD3	5825	0.334131969	0.847533973	0.249297753	0.124666096	1424	306226
21761	VE Peribronchial	Vascular-Endothelial	ABCD4	ABCD4	5826	0.3002405	1.796022119	0.366826923	0.087734398	2080	305570
11878	Macrophage Alveolar	Immune_Myeloid	ABCG1	ABCG1	9619	1.112663045	2.453262329	0.818329354	0.279241673	74558	233092
5077	cDC2	Immune_Myeloid	ABHD12	ABHD12	26090	0.45502961	1.207987248	0.634035704	0.341075608	6834	300816
1526	B	Immune_Lymphoid	ABHD15-AS1	ABHD15-AS1	104355133	0.569597165	0.799222504	0.559721343	0.363727044	7895	299755
13753	ncMonocyte	Immune_Myeloid	ABHD15-AS1	ABHD15-AS1	104355133	0.443246921	0.716606332	0.541170287	0.365497347	5708	301942
11233	Lymphatic	Vascular-Endothelial	ABHD17B	ABHD17B	51104	0.582773943	1.757771716	0.454804948	0.125760928	2102	305548
13261	cMonocyte	Immune_Myeloid	ABHD17C	ABHD17C	58489	0.313121248	1.470783412	0.218208839	0.060265458	15476	292174
18933	T Regulatory	Immune_Lymphoid	ABHD18	ABHD18	80167	0.365913164	0.892153591	0.31489071	0.158567015	1464	306186
612	AT1	Epithelial	ABHD2	ABHD2	11057	0.455699744	0.76361423	0.563152896	0.375218936	1053	306597
1214	AT2	Epithelial	ABHD2	ABHD2	11057	0.561068877	1.326827575	0.690482201	0.371758608	3961	303689
2644	Basal	Epithelial	ABHD2	ABHD2	11057	0.319934469	0.804122916	0.572614108	0.374777342	1687	305963
4102	Ciliated	Epithelial	ABHD2	ABHD2	11057	0.443358333	1.191334008	0.656092437	0.366913762	9520	298130
4767	Club	Epithelial	ABHD2	ABHD2	11057	0.460836262	0.987432409	0.615836927	0.373855699	2551	305099
8913	Goblet	Epithelial	ABHD2	ABHD2	11057	0.524081862	1.416574933	0.711824589	0.374461849	1277	306373
9231	ILC A	Immune_Lymphoid	ABHD2	ABHD2	11057	0.452265513	0.451659996	0.48582996	0.375596675	741	306909
10149	Ionocyte	Epithelial	ABHD2	ABHD2	11057	0.772867244	2.368073941	0.88	0.375821211	25	307625
15171	Aberrant Basaloid	Epithelial	ABHD2	ABHD2	11057	0.828661095	2.325330009	0.860706861	0.375102956	481	307169
16095	PNEC	Epithelial	ABHD2	ABHD2	11057	1.17272905	2.116982577	0.838709677	0.375768886	62	307588
10449	Ionocyte	Epithelial	ABHD3	ABHD3	171586	0.501391405	1.765794257	0.68	0.260443722	25	307625
11931	Macrophage Alveolar	Immune_Myeloid	ABHD5	ABHD5	51099	0.793623078	1.929720649	0.73518603	0.287277127	74558	233092
2517	Basal	Epithelial	ABI1	ABI1	10006	0.786434595	1.28289788	0.813278008	0.546696823	1687	305963
19013	T Regulatory	Immune_Lymphoid	ABI1	ABI1	10006	0.621759764	0.49245096	0.664617486	0.547601785	1464	306186
527	AT1	Epithelial	ABI2	ABI2	10152	0.368584669	1.096475894	0.402659069	0.1838472	1053	306597
2422	Basal	Epithelial	ABI2	ABI2	10152	0.432714504	1.55092463	0.513337285	0.182783539	1687	305963
3604	Ciliated	Epithelial	ABI2	ABI2	10152	0.78156691	2.504351548	0.711554622	0.167769094	9520	298130
4635	Club	Epithelial	ABI2	ABI2	10152	0.396419291	1.478487133	0.493923951	0.182009774	2551	305099
10395	Ionocyte	Epithelial	ABI2	ABI2	10152	0.459012445	1.875195417	0.6	0.184562373	25	307625
13011	Mesothelial	Epithelial	ABI2	ABI2	10152	0.400739162	1.52823657	0.509700176	0.183995858	567	307083
14346	Myofibroblast	Mesenchyme	ABI2	ABI2	10152	0.321004411	1.241223538	0.434461189	0.181706688	3517	304133
15200	Aberrant Basaloid	Epithelial	ABI2	ABI2	10152	0.427157347	2.270752954	0.686070686	0.183810866	481	307169
16083	PNEC	Epithelial	ABI2	ABI2	10152	0.629649556	2.143785331	0.661290323	0.184500046	62	307588
17325	Pericytes	Mesenchyme	ABI2	ABI2	10152	0.377785688	1.083788582	0.4	0.184126002	670	306980
292	AT1	Epithelial	ABI3BP	ABI3BP	25890	0.404731552	2.226425295	0.300094967	0.044260055	1053	306597
7785	Fibroblast	Mesenchyme	ABI3BP	ABI3BP	25890	1.449070601	4.470957716	0.779161948	0.038760529	2649	305001
11131	Lymphatic	Vascular-Endothelial	ABI3BP	ABI3BP	25890	0.443965571	2.400140924	0.3320647	0.043161795	2102	305548
12664	Mesothelial	Epithelial	ABI3BP	ABI3BP	25890	0.967684067	3.369080153	0.57319224	0.044160699	567	307083
13966	Myofibroblast	Mesenchyme	ABI3BP	ABI3BP	25890	0.877675135	3.576398945	0.59084447	0.038825119	3517	304133
19286	VE Venous	Vascular-Endothelial	ABI3BP	ABI3BP	25890	0.602715051	2.602771292	0.384931507	0.044327512	730	306920
20445	VE Arterial	Vascular-Endothelial	ABI3BP	ABI3BP	25890	0.496987754	2.496660605	0.360208062	0.04434618	769	306881
5441	cDC1	Immune_Myeloid	ABL1	ABL1	25	1.127106706	2.140379788	0.743159753	0.253685766	1133	306517
8149	Fibroblast	Mesenchyme	ABL1	ABL1	25	0.598129617	1.589594215	0.623254058	0.252294255	2649	305001
10228	Ionocyte	Epithelial	ABL1	ABL1	25	0.595223121	2.168375202	0.76	0.255447379	25	307625
14355	Myofibroblast	Mesenchyme	ABL1	ABL1	25	0.400513006	1.186718802	0.525163492	0.252369851	3517	304133
8260	Fibroblast	Mesenchyme	ABL2	ABL2	27	0.582315429	1.044628136	0.673461684	0.420421572	2649	305001
12223	Macrophage Alveolar	Immune_Myeloid	ABL2	ABL2	27	0.314898011	1.019220201	0.61144344	0.362196043	74558	233092
13179	Mesothelial	Epithelial	ABL2	ABL2	27	0.4409878	0.912002709	0.645502646	0.422188789	567	307083
20844	VE Arterial	Vascular-Endothelial	ABL2	ABL2	27	0.311229482	0.299880981	0.496749025	0.422414552	769	306881
21960	VE Peribronchial	Vascular-Endothelial	ABL2	ABL2	27	0.518231373	1.054066318	0.675961538	0.42087574	2080	305570
192	AT1	Epithelial	ABLIM1	ABLIM1	3983	1.018153076	2.858239117	0.668566002	0.103653982	1053	306597
1088	AT2	Epithelial	ABLIM1	ABLIM1	3983	0.329568445	1.847786712	0.41757132	0.10151833	3961	303689
2204	Basal	Epithelial	ABLIM1	ABLIM1	3983	0.652601863	2.400248263	0.558980439	0.103087628	1687	305963
3838	Ciliated	Epithelial	ABLIM1	ABLIM1	3983	0.315346327	1.91723934	0.418277311	0.095602589	9520	298130
4497	Club	Epithelial	ABLIM1	ABLIM1	3983	0.407697159	1.976676871	0.452371619	0.10268798	2551	305099
7956	Fibroblast	Mesenchyme	ABLIM1	ABLIM1	3983	0.853805844	2.747910017	0.636844092	0.100973439	2649	305001
8683	Goblet	Epithelial	ABLIM1	ABLIM1	3983	0.468148548	2.419919834	0.565387627	0.103671015	1277	306373
10276	Ionocyte	Epithelial	ABLIM1	ABLIM1	3983	0.4247812	2.059974505	0.48	0.105557091	25	307625
11035	Lymphatic	Vascular-Endothelial	ABLIM1	ABLIM1	3983	1.3063236	3.146708733	0.724072312	0.101332687	2102	305548
12764	Mesothelial	Epithelial	ABLIM1	ABLIM1	3983	0.764600528	2.745422587	0.645502646	0.104590616	567	307083
14728	Aberrant Basaloid	Epithelial	ABLIM1	ABLIM1	3983	0.937074433	3.613031388	0.812889813	0.104479944	481	307169
19145	VE Venous	Vascular-Endothelial	ABLIM1	ABLIM1	3983	1.807818428	3.828473329	0.842465753	0.103834876	730	306920
19943	VE Capillary B	Vascular-Endothelial	ABLIM1	ABLIM1	3983	0.798413707	2.015312744	0.465808528	0.104126211	1243	306407
20344	VE Arterial	Vascular-Endothelial	ABLIM1	ABLIM1	3983	1.56930469	3.294660368	0.758127438	0.103952346	769	306881
21033	VE Capillary A	Vascular-Endothelial	ABLIM1	ABLIM1	3983	0.966480827	2.263600119	0.529865125	0.10487056	519	307131
21431	VE Peribronchial	Vascular-Endothelial	ABLIM1	ABLIM1	3983	1.716675903	4.023048513	0.862019231	0.100438525	2080	305570
12683	Mesothelial	Epithelial	ABLIM2	ABLIM2	84448	0.456868867	3.226717002	0.400352734	0.02583015	567	307083
14806	Aberrant Basaloid	Epithelial	ABLIM2	ABLIM2	84448	0.310198093	3.347864468	0.43035343	0.025888029	481	307169
15827	PNEC	Epithelial	ABLIM2	ABLIM2	84448	0.615794243	3.542966356	0.483870968	0.026428209	62	307588
16950	Pericytes	Mesenchyme	ABLIM2	ABLIM2	84448	0.82832187	3.668077865	0.505970149	0.025473972	670	306980
21510	VE Peribronchial	Vascular-Endothelial	ABLIM2	ABLIM2	84448	0.453314432	3.223356503	0.382692308	0.024095952	2080	305570
11103	Lymphatic	Vascular-Endothelial	ABLIM3	ABLIM3	22885	0.472073487	2.598304228	0.35775452	0.039803893	2102	305548
19365	VE Venous	Vascular-Endothelial	ABLIM3	ABLIM3	22885	0.321794198	2.112191287	0.263013699	0.041450541	730	306920
20502	VE Arterial	Vascular-Endothelial	ABLIM3	ABLIM3	22885	0.327624271	2.111069508	0.262678804	0.041423223	769	306881
21611	VE Peribronchial	Vascular-Endothelial	ABLIM3	ABLIM3	22885	0.335600738	2.564629726	0.350480769	0.039876297	2080	305570
11767	Macrophage	Immune_Myeloid	ABR	ABR	29	0.398865767	0.883738875	0.678991504	0.466399203	108994	198656
1077	AT2	Epithelial	ABTB2	ABTB2	25841	0.353998927	1.892631751	0.328957334	0.068794062	3961	303689
5948	DC Mature	Immune_Myeloid	ABTB2	ABTB2	25841	0.931508814	2.725288535	0.538265306	0.070952794	784	306866
8011	Fibroblast	Mesenchyme	ABTB2	ABTB2	25841	0.696857237	2.417782386	0.453378633	0.068832561	2649	305001
12932	Mesothelial	Epithelial	ABTB2	ABTB2	25841	0.416316119	1.869596161	0.333333333	0.071661408	567	307083
14867	Aberrant Basaloid	Epithelial	ABTB2	ABTB2	25841	0.733053879	3.179512553	0.648648649	0.071240913	481	307169
533	AT1	Epithelial	ACACA	ACACA	31	0.363539949	1.087184884	0.393162393	0.179342916	1053	306597
965	AT2	Epithelial	ACACA	ACACA	31	0.878665246	2.532915495	0.724816965	0.172969716	3961	303689
2357	Basal	Epithelial	ACACA	ACACA	31	0.557404484	1.764506699	0.55838767	0.177988842	1687	305963
4457	Club	Epithelial	ACACA	ACACA	31	0.764188717	2.162939809	0.650333203	0.176142826	2551	305099
8740	Goblet	Epithelial	ACACA	ACACA	31	0.535603784	2.154436146	0.651527016	0.17810969	1277	306373
10455	Ionocyte	Epithelial	ACACA	ACACA	31	0.420590659	1.747844765	0.56	0.180043885	25	307625
12900	Mesothelial	Epithelial	ACACA	ACACA	31	0.665985826	2.058693063	0.631393298	0.179241443	567	307083
15234	Aberrant Basaloid	Epithelial	ACACA	ACACA	31	0.448750701	2.197045582	0.663201663	0.179318225	481	307169
16316	PNEC	Epithelial	ACACA	ACACA	31	0.36215149	1.325149528	0.451612903	0.180020027	62	307588
9072	ILC A	Immune_Lymphoid	ACAP1	ACAP1	9744	0.382235052	1.419564354	0.313090418	0.09938125	741	306909
9421	ILC B	Immune_Lymphoid	ACAP1	ACAP1	9744	0.339126105	1.218042285	0.271762208	0.099632462	471	307179
18064	T	Immune_Lymphoid	ACAP1	ACAP1	9744	0.338414856	1.283365156	0.264873929	0.090784365	16102	291548
18450	T Cytotoxic	Immune_Lymphoid	ACAP1	ACAP1	9744	0.355949063	1.364298805	0.278604538	0.089835676	16396	291254
18839	T Regulatory	Immune_Lymphoid	ACAP1	ACAP1	9744	0.381788261	1.442667707	0.316939891	0.09885821	1464	306186
21142	VE Capillary A	Vascular-Endothelial	ACE	ACE	1636	0.512190019	1.370626732	0.342967245	0.117181268	519	307131
5684	cDC1	Immune_Myeloid	ACER3	ACER3	55331	0.426980404	1.066525447	0.730803177	0.482792145	1133	306517
11945	Macrophage Alveolar	Immune_Myeloid	ACER3	ACER3	55331	0.710929441	1.8463396	0.797526758	0.383325039	74558	233092
12438	Mast	Immune_Myeloid	ACER3	ACER3	55331	0.82184626	0.651132591	0.641853933	0.482970094	1424	306226
19101	VE Venous	Vascular-Endothelial	ACKR1	ACKR1	2532	2.192783999	5.929620432	0.790410959	0.009904861	730	306920
21367	VE Peribronchial	Vascular-Endothelial	ACKR1	ACKR1	2532	1.737624467	5.843870258	0.709134615	0.00700985	2080	305570
10950	Lymphatic	Vascular-Endothelial	ACKR2	ACKR2	1238	0.375488009	4.603977396	0.289248335	0.004058282	2102	305548
8138	Fibroblast	Mesenchyme	ACKR3	ACKR3	57007	0.404577982	1.646583	0.397130993	0.112658647	2649	305001
11354	Lymphatic	Vascular-Endothelial	ACKR3	ACKR3	57007	0.306243773	1.148152011	0.28829686	0.113916635	2102	305548
11900	Macrophage Alveolar	Immune_Myeloid	ACO1	ACO1	48	0.405732312	2.194660494	0.456610961	0.085592813	74558	233092
10238	Ionocyte	Epithelial	ACO2	ACO2	50	0.54871584	2.140992061	0.64	0.169534336	25	307625
12000	Macrophage Alveolar	Immune_Myeloid	ACOT7	ACOT7	11332	0.393084541	1.604417886	0.471860833	0.152244607	74558	233092
13724	ncMonocyte	Immune_Myeloid	ACOT9	ACOT9	23597	0.375471161	0.791969675	0.446566223	0.2676673	5708	301942
706	AT2	Epithelial	ACOXL	ACOXL	55289	1.509318385	4.616682877	0.83665741	0.048164405	3961	303689
4397	Club	Epithelial	ACOXL	ACOXL	55289	0.494339672	2.476313152	0.410819287	0.055368913	2551	305099
11653	Macrophage	Immune_Myeloid	ACP5	ACP5	54	0.571670793	1.226025128	0.687652531	0.392487516	108994	198656
11901	Macrophage Alveolar	Immune_Myeloid	ACP5	ACP5	54	1.003931618	2.185824741	0.847742697	0.384886654	74558	233092
11585	Macrophage	Immune_Myeloid	ACSL1	ACSL1	2180	0.790693511	1.609251465	0.849615575	0.53054023	108994	198656
12034	Macrophage Alveolar	Immune_Myeloid	ACSL1	ACSL1	2180	0.415639001	1.48086509	0.856353443	0.575523828	74558	233092
13275	cMonocyte	Immune_Myeloid	ACSL1	ACSL1	2180	0.921286164	1.322915529	0.865662962	0.631818711	15476	292174
13625	ncMonocyte	Immune_Myeloid	ACSL1	ACSL1	2180	0.622004218	1.112632213	0.843903294	0.63979506	5708	301942
5296	cDC2	Immune_Myeloid	ACSL3	ACSL3	2181	0.378380234	0.76456855	0.70500439	0.526607627	6834	300816
11637	Macrophage	Immune_Myeloid	ACSL3	ACSL3	2181	0.684493047	1.286154036	0.726370259	0.423143524	108994	198656
13368	cMonocyte	Immune_Myeloid	ACSL3	ACSL3	2181	0.663943234	0.726876879	0.693137762	0.521959517	15476	292174
11718	Macrophage	Immune_Myeloid	ACSL4	ACSL4	2182	0.464375791	1.01360023	0.592124337	0.345053761	108994	198656
12384	Mast	Immune_Myeloid	ACSL4	ACSL4	2182	1.144445675	1.113631642	0.698033708	0.431351355	1424	306226
13088	Mesothelial	Epithelial	ACSL4	ACSL4	2182	0.670775075	1.249110967	0.726631393	0.432042803	567	307083
1134	AT2	Epithelial	ACSS2	ACSS2	55902	0.329204354	1.654721862	0.388790709	0.108416834	3961	303689
927	AT2	Epithelial	ACSS3	ACSS3	79611	0.328647103	2.716355024	0.339813178	0.032915252	3961	303689
17007	Pericytes	Mesenchyme	ACTA2	ACTA2	59	0.645911875	3.166516714	0.386567164	0.025890938	670	306980
17473	SMC	Mesenchyme	ACTA2	ACTA2	59	1.475886029	4.537386873	0.706798867	0.025112073	706	306944
6579	DC Langerhans	Immune_Myeloid	ACTB	ACTB	60	0.823910871	2.308015529	0.99375	0.92685387	320	307330
11813	Macrophage	Immune_Myeloid	ACTB	ACTB	60	0.494122167	0.750359141	0.955915004	0.911017034	108994	198656
12218	Macrophage Alveolar	Immune_Myeloid	ACTB	ACTB	60	0.469477229	1.036371473	0.967662759	0.913892369	74558	233092
13397	cMonocyte	Immune_Myeloid	ACTB	ACTB	60	0.396824582	0.592084586	0.957288705	0.925315052	15476	292174
13838	ncMonocyte	Immune_Myeloid	ACTB	ACTB	60	0.37513835	0.29326464	0.944288718	0.926595174	5708	301942
17764	SMC	Mesenchyme	ACTB	ACTB	60	0.675868335	1.400573255	0.981586402	0.926797722	706	306944
669	AT1	Epithelial	ACTG1	ACTG1	71	0.449542221	0.470961319	0.830959164	0.753849516	1053	306597
5795	cDC1	Immune_Myeloid	ACTG1	ACTG1	71	0.466775549	0.57888421	0.845542807	0.753775484	1133	306517
6413	DC Mature	Immune_Myeloid	ACTG1	ACTG1	71	0.316615508	0.578207528	0.845663265	0.753879544	784	306866
6812	DC Langerhans	Immune_Myeloid	ACTG1	ACTG1	71	0.705500197	1.565384304	0.9375	0.753922494	320	307330
9962	Ionocyte	Epithelial	ACTG1	ACTG1	71	0.475803743	2.811265331	1	0.754093458	25	307625
14475	Myofibroblast	Mesenchyme	ACTG1	ACTG1	71	0.326581433	0.491303632	0.833096389	0.75320008	3517	304133
15642	Aberrant Basaloid	Epithelial	ACTG1	ACTG1	71	0.364855845	0.486954105	0.833679834	0.753988847	481	307169
22075	VE Peribronchial	Vascular-Endothelial	ACTG1	ACTG1	71	0.40928325	0.524492646	0.837980769	0.75354256	2080	305570
17446	SMC	Mesenchyme	ACTG2	ACTG2	72	1.239813131	6.000883239	0.603399433	0.00374987	706	306944
11465	Lymphatic	Vascular-Endothelial	ACTN1	ACTN1	87	0.368868471	0.636829154	0.509990485	0.355057143	2102	305548
15594	Aberrant Basaloid	Epithelial	ACTN1	ACTN1	87	0.405316259	1.442900761	0.700623701	0.355576246	481	307169
17799	SMC	Mesenchyme	ACTN1	ACTN1	87	0.688682297	1.170599279	0.640226629	0.355462234	706	306944
19641	VE Venous	Vascular-Endothelial	ACTN1	ACTN1	87	0.489985184	0.775290847	0.545205479	0.355665972	730	306920
21966	VE Peribronchial	Vascular-Endothelial	ACTN1	ACTN1	87	0.454461043	1.037142781	0.607692308	0.354403246	2080	305570
662	AT1	Epithelial	ACTN4	ACTN4	81	0.318402574	0.498626004	0.487179487	0.365893991	1053	306597
2319	Basal	Epithelial	ACTN4	ACTN4	81	1.096485064	1.911937032	0.794902193	0.363945967	1687	305963
4786	Club	Epithelial	ACTN4	ACTN4	81	0.374222769	0.91655346	0.589180713	0.364445639	2551	305099
7553	pDC	Immune_Myeloid	ACTN4	ACTN4	81	0.500393914	0.866354934	0.578500707	0.365820364	707	306943
8883	Goblet	Epithelial	ACTN4	ACTN4	81	0.54784765	1.531625569	0.726703211	0.364806951	1277	306373
15560	Aberrant Basaloid	Epithelial	ACTN4	ACTN4	81	0.358553286	1.58387332	0.738045738	0.36572701	481	307169
12179	Macrophage Alveolar	Immune_Myeloid	ACTR2	ACTR2	10097	0.371979328	1.133047893	0.78450334	0.539675321	74558	233092
6989	DC Langerhans	Immune_Myeloid	ACTR3	ACTR3	10096	0.407587469	1.317134448	0.796875	0.511007712	320	307330
9746	Ionocyte	Epithelial	ACTR3C	ACTR3C	653857	0.612410894	4.175559526	0.72	0.036518488	25	307625
10041	Ionocyte	Epithelial	ACVR1	ACVR1	90	0.455793646	2.587225768	0.64	0.115559529	25	307625
