gene	logFC	p_val	pval_adj	cell
S100A13	0.54	8.82E-67	2.34E-62	Club
SLPI	0.76	1.65E-66	4.36E-62	Club
RPL35A	0.39	6.67E-66	1.77E-61	Club
FOLR1	0.54	2.18E-64	5.78E-60	Club
RPL10	0.4	1.37E-63	3.64E-59	Club
RPL31	0.42	1.09E-62	2.90E-58	Club
FABP5	0.79	1.17E-62	3.09E-58	Club
TPT1	0.4	3.88E-62	1.03E-57	Club
RPL12	0.42	2.38E-61	6.32E-57	Club
RPL5	0.42	1.10E-60	2.91E-56	Club
GDF15	0.88	1.57E-59	4.16E-55	Club
RPL13	0.37	3.73E-58	9.89E-54	Club
RPS12	0.41	3.76E-57	9.95E-53	Club
RPS8	0.38	2.69E-56	7.12E-52	Club
RPL13A	0.35	3.79E-55	1.00E-50	Club
RPL7A	0.37	5.84E-55	1.55E-50	Club
RPS27	0.4	8.23E-55	2.18E-50	Club
ARHGDIB	0.55	8.97E-55	2.38E-50	Club
RPL11	0.36	2.24E-54	5.92E-50	Club
RPL23A	0.35	2.38E-54	6.31E-50	Club
CMAHP	0.65	3.65E-54	9.66E-50	Club
SOX4	0.75	5.75E-54	1.52E-49	Club
RPL37A	0.4	1.61E-53	4.26E-49	Club
MS4A15	0.26	5.58E-53	1.48E-48	Club
RPL29	0.36	5.94E-53	1.57E-48	Club
LRRC75A-AS1	0.42	4.85E-52	1.28E-47	Club
RPL23	0.38	5.08E-52	1.34E-47	Club
CRACR2B	0.5	8.04E-52	2.13E-47	Club
RPS13	0.34	1.88E-51	4.98E-47	Club
PTP4A1	0.52	2.14E-51	5.68E-47	Club
MRPS25	0.44	1.92E-50	5.08E-46	Club
RPS20	0.34	2.01E-50	5.33E-46	Club
FAM46A	0.59	3.86E-50	1.02E-45	Club
PIGR	0.45	7.28E-50	1.93E-45	Club
RPL30	0.34	1.16E-49	3.07E-45	Club
RPS5	0.34	1.36E-49	3.59E-45	Club
CXCL17	0.4	5.29E-49	1.40E-44	Club
RPL17	0.52	1.11E-48	2.93E-44	Club
RPL14	0.33	2.46E-48	6.50E-44	Club
RPS11	0.33	7.11E-48	1.88E-43	Club
RPS15	0.31	1.03E-46	2.73E-42	Club
CD74	0.52	1.58E-46	4.17E-42	Club
FAU	0.31	2.39E-46	6.33E-42	Club
HLA-DRB5	0.53	2.58E-46	6.83E-42	Club
JUND	0.52	6.38E-46	1.69E-41	Club
RPL38	0.37	2.46E-44	6.51E-40	Club
CEACAM6	0.42	8.38E-44	2.22E-39	Club
HLA-DRB1	0.54	6.28E-43	1.66E-38	Club
RPL36	0.34	8.30E-43	2.20E-38	Club
RPL18	0.31	1.01E-42	2.68E-38	Club
ZFAS1	0.42	1.94E-42	5.13E-38	Club
RPL18A	0.29	2.32E-42	6.14E-38	Club
RPS17	0.31	3.92E-42	1.04E-37	Club
FAM129A	0.36	6.16E-42	1.63E-37	Club
RPS7	0.3	1.04E-41	2.75E-37	Club
HSD17B13	0.41	1.34E-41	3.56E-37	Club
SLC22A31	0.38	5.91E-41	1.56E-36	Club
CIT	0.36	1.05E-40	2.79E-36	Club
GPRC5A	0.39	3.40E-39	9.00E-35	Club
SSR4	0.41	3.92E-39	1.04E-34	Club
RPS9	0.28	6.69E-39	1.77E-34	Club
RPS16	0.28	8.86E-39	2.35E-34	Club
ERP27	0.3	3.92E-38	1.04E-33	Club
SLC22A3	0.32	4.56E-38	1.21E-33	Club
RPL27	0.3	7.68E-38	2.03E-33	Club
DAPK1	0.37	8.97E-38	2.38E-33	Club
RPL7	0.28	3.07E-37	8.13E-33	Club
RPL19	0.26	1.31E-36	3.48E-32	Club
AREG	1.09	3.58E-36	9.47E-32	Club
SDPR	0.52	4.51E-36	1.19E-31	Club
ADIRF	0.44	3.20E-35	8.48E-31	Club
RPL15	0.26	4.15E-35	1.10E-30	Club
LTA4H	0.36	4.23E-34	1.12E-29	Club
HSD17B6	0.45	2.87E-33	7.60E-29	Club
XAGE2	0.61	4.13E-33	1.09E-28	Club
HLA-DRB6	0.47	4.47E-32	1.18E-27	Club
SERP1	0.33	4.83E-32	1.28E-27	Club
SNHG6	0.33	4.91E-32	1.30E-27	Club
WSB1	0.38	5.14E-32	1.36E-27	Club
HNMT	0.36	1.75E-31	4.64E-27	Club
FOSB	0.47	1.83E-31	4.85E-27	Club
GAS5	0.33	2.25E-31	5.96E-27	Club
BCAM	0.34	4.51E-31	1.19E-26	Club
FAM46C	0.32	5.18E-30	1.37E-25	Club
AARD	0.29	6.58E-30	1.74E-25	Club
RPL41	0.25	1.04E-29	2.76E-25	Club
HLA-DPB1	0.48	2.06E-29	5.46E-25	Club
TMSB4X	0.28	5.94E-29	1.57E-24	Club
RNF145	0.34	6.34E-29	1.68E-24	Club
ATL2	0.32	9.53E-29	2.52E-24	Club
GLTSCR2	0.32	3.56E-28	9.43E-24	Club
TM4SF1	0.43	3.88E-28	1.03E-23	Club
ATP1B1	0.4	6.66E-28	1.76E-23	Club
ZFP36L1	0.4	7.37E-28	1.95E-23	Club
PTGS2	0.43	7.58E-28	2.01E-23	Club
CRTAC1	0.42	1.67E-27	4.41E-23	Club
TIMP1	0.47	2.19E-27	5.81E-23	Club
MUC1	0.3	2.53E-27	6.70E-23	Club
RPL36A	0.39	2.71E-27	7.18E-23	Club
C8orf4	0.41	4.64E-27	1.23E-22	Club
VAMP5	0.4	1.51E-26	4.00E-22	Club
FXYD5	0.35	3.40E-26	9.01E-22	Club
LINC01578	0.32	2.52E-25	6.69E-21	Club
RGS16	0.44	3.67E-25	9.71E-21	Club
SOCS2	0.45	8.23E-25	2.18E-20	Club
BST2	0.41	3.60E-24	9.53E-20	Club
FAM20A	0.32	4.06E-24	1.07E-19	Club
RPL13AP5	0.32	4.34E-24	1.15E-19	Club
HLA-DRA	0.3	5.69E-24	1.51E-19	Club
SEL1L3	0.26	1.32E-23	3.49E-19	Club
FCGR2A	0.26	1.50E-23	3.97E-19	Club
MGST1	0.28	1.85E-23	4.89E-19	Club
SFTA3	0.28	2.38E-23	6.30E-19	Club
PON3	0.29	1.43E-22	3.79E-18	Club
XIST	0.36	2.35E-22	6.23E-18	Club
FBP1	0.33	3.24E-22	8.59E-18	Club
MALL	0.31	4.60E-22	1.22E-17	Club
WWTR1	0.33	1.02E-21	2.71E-17	Club
PAEP	0.38	1.14E-21	3.02E-17	Club
RPS10	0.29	1.29E-21	3.41E-17	Club
SECISBP2L	0.34	2.45E-21	6.49E-17	Club
CEBPD	0.34	7.95E-21	2.11E-16	Club
C6orf48	0.3	8.33E-21	2.21E-16	Club
COMMD6	0.26	2.05E-20	5.42E-16	Club
FNIP2	0.26	4.99E-20	1.32E-15	Club
FLRT3	0.36	7.27E-20	1.93E-15	Club
PEG10	0.36	7.97E-20	2.11E-15	Club
C19orf33	0.28	2.18E-19	5.77E-15	Club
SNHG5	0.28	3.75E-19	9.94E-15	Club
NEDD4L	0.29	4.90E-19	1.30E-14	Club
FMO2	0.45	6.40E-19	1.70E-14	Club
SELK	0.25	1.17E-18	3.11E-14	Club
GLS	0.36	2.43E-18	6.43E-14	Club
EGR1	0.38	3.13E-18	8.29E-14	Club
AHR	0.29	4.24E-18	1.12E-13	Club
IL6ST	0.25	5.92E-18	1.57E-13	Club
MBIP	0.32	9.15E-18	2.42E-13	Club
TOP1	0.26	9.35E-18	2.48E-13	Club
IFT57	0.28	1.01E-17	2.66E-13	Club
RBPMS	0.25	4.70E-17	1.24E-12	Club
HLA-DPA1	0.29	8.80E-17	2.33E-12	Club
FAM129B	0.28	8.86E-17	2.35E-12	Club
LGALS3BP	0.26	1.87E-16	4.95E-12	Club
CLIC6	0.27	2.00E-16	5.30E-12	Club
NGFRAP1	0.26	3.17E-16	8.39E-12	Club
NKX2-1	0.26	4.39E-16	1.16E-11	Club
KLHL24	0.26	6.55E-16	1.74E-11	Club
H19	0.48	9.07E-15	2.40E-10	Club
NR4A1	0.3	1.12E-14	2.95E-10	Club
MYC	0.25	3.04E-14	8.06E-10	Club
PELI1	0.26	1.07E-13	2.83E-09	Club
SGMS2	0.26	5.55E-12	1.47E-07	Club
MSLN	0.32	1.14E-07	0.003009948	Club
MMP7	0.37	0.000517527	1	Club
SCGB3A2	2.63	4.38E-51	2.67E-46	Club_SS2
MGP	3.87	2.71E-41	1.65E-36	Club_SS2
PIGR	1.66	4.85E-34	2.96E-29	Club_SS2
VIM	1.8	5.50E-33	3.35E-28	Club_SS2
SCGB3A1	2.91	9.50E-33	5.79E-28	Club_SS2
TIMP1	1.57	7.32E-32	4.46E-27	Club_SS2
KLK11	1.41	1.75E-30	1.07E-25	Club_SS2
FAM129A	1.45	7.28E-30	4.44E-25	Club_SS2
FMO2	1.57	4.89E-29	2.98E-24	Club_SS2
SCGB1A1	3.23	3.27E-28	1.99E-23	Club_SS2
KLK10	1.94	4.29E-28	2.62E-23	Club_SS2
SCNN1B	1.41	2.32E-27	1.42E-22	Club_SS2
CTSE	1.51	3.87E-27	2.36E-22	Club_SS2
CXCL17	1.05	5.09E-26	3.10E-21	Club_SS2
CX3CL1	2.61	2.19E-25	1.33E-20	Club_SS2
STEAP4	1.44	2.07E-24	1.26E-19	Club_SS2
CRACR2B	1.47	5.04E-24	3.07E-19	Club_SS2
CP	1.46	5.86E-24	3.57E-19	Club_SS2
KLK13	2.84	2.53E-23	1.55E-18	Club_SS2
C16orf89	0.82	7.54E-23	4.60E-18	Club_SS2
CLU	1.21	1.41E-22	8.62E-18	Club_SS2
CYP2F1	3.35	1.43E-22	8.73E-18	Club_SS2
ERP27	1.41	2.01E-22	1.23E-17	Club_SS2
CD82	1.63	3.59E-22	2.19E-17	Club_SS2
KDR	2.36	8.78E-22	5.35E-17	Club_SS2
SFTPB	0.86	1.46E-21	8.91E-17	Club_SS2
SOX4	1.73	3.58E-21	2.18E-16	Club_SS2
CYP2B7P	0.85	4.01E-21	2.44E-16	Club_SS2
MET	1.27	9.63E-21	5.87E-16	Club_SS2
CFH	1.86	2.67E-19	1.63E-14	Club_SS2
ANPEP	1.93	8.76E-19	5.34E-14	Club_SS2
MFSD4A	1.38	1.04E-18	6.36E-14	Club_SS2
CYB5A	0.93	1.38E-18	8.44E-14	Club_SS2
WFDC2	1.02	2.42E-18	1.48E-13	Club_SS2
CYP2A6	3.28	2.86E-18	1.74E-13	Club_SS2
NOTCH3	1.73	4.29E-18	2.61E-13	Club_SS2
RNASE1	0.85	1.23E-17	7.52E-13	Club_SS2
CTSC	1.49	3.04E-17	1.85E-12	Club_SS2
SLPI	0.39	3.41E-17	2.08E-12	Club_SS2
TMEM45A	3.48	7.60E-17	4.64E-12	Club_SS2
TSPAN8	2.33	2.41E-16	1.47E-11	Club_SS2
NT5E	2.13	2.70E-16	1.65E-11	Club_SS2
HNMT	1.43	5.02E-16	3.06E-11	Club_SS2
PAG1	1.4	6.54E-16	3.99E-11	Club_SS2
AARD	2.41	7.64E-16	4.66E-11	Club_SS2
HSD17B13	2.33	8.27E-16	5.04E-11	Club_SS2
CEACAM6	0.66	1.03E-15	6.27E-11	Club_SS2
MDK	1.11	1.52E-15	9.25E-11	Club_SS2
SEL1L3	1.17	2.57E-15	1.56E-10	Club_SS2
ASS1	1.28	3.11E-15	1.90E-10	Club_SS2
RHOV	2.02	3.17E-15	1.94E-10	Club_SS2
GGT5	2.29	5.04E-15	3.07E-10	Club_SS2
S100A13	0.87	1.47E-14	8.99E-10	Club_SS2
RPS6	0.69	1.92E-14	1.17E-09	Club_SS2
B3GNT3	2.8	4.39E-14	2.68E-09	Club_SS2
ARHGDIB	1.55	5.10E-14	3.11E-09	Club_SS2
DHRS3	0.93	9.20E-14	5.61E-09	Club_SS2
MMP7	2.05	9.28E-14	5.66E-09	Club_SS2
ST6GALNAC1	1.2	9.75E-14	5.95E-09	Club_SS2
MRPS25	1.05	1.21E-13	7.36E-09	Club_SS2
SLC39A6	1.26	1.37E-13	8.37E-09	Club_SS2
PAEP	2.79	2.88E-13	1.76E-08	Club_SS2
TCIM	0.85	3.02E-13	1.84E-08	Club_SS2
RPL13AP5	0.63	5.64E-13	3.44E-08	Club_SS2
RPL13P12	0.65	7.35E-13	4.48E-08	Club_SS2
TENT5C	1.33	8.50E-13	5.18E-08	Club_SS2
RPLP0	0.71	8.91E-13	5.43E-08	Club_SS2
KIAA1324	0.73	1.01E-12	6.13E-08	Club_SS2
SCUBE2	1.64	1.19E-12	7.23E-08	Club_SS2
RPL12	0.7	1.38E-12	8.44E-08	Club_SS2
CLIC6	0.83	1.66E-12	1.01E-07	Club_SS2
INPP4B	2.14	1.95E-12	1.19E-07	Club_SS2
TSPAN11	1.83	2.29E-12	1.40E-07	Club_SS2
CTSW	2.58	2.66E-12	1.62E-07	Club_SS2
PROM2	1.56	3.59E-12	2.19E-07	Club_SS2
MGST1	0.76	3.62E-12	2.20E-07	Club_SS2
ELF3	0.6	4.87E-12	2.97E-07	Club_SS2
SIX1	1.31	4.88E-12	2.97E-07	Club_SS2
RPL10P9	0.72	5.43E-12	3.31E-07	Club_SS2
GRHL1	0.86	8.21E-12	5.01E-07	Club_SS2
RPL13	0.54	8.83E-12	5.38E-07	Club_SS2
IVL	2.79	9.68E-12	5.90E-07	Club_SS2
RPL18AP3	0.64	1.28E-11	7.80E-07	Club_SS2
RPL31	0.59	1.49E-11	9.10E-07	Club_SS2
LGALS9	1.08	1.62E-11	9.86E-07	Club_SS2
RPL13AP17	2.55	1.66E-11	1.01E-06	Club_SS2
RPS2P5	0.61	1.67E-11	1.02E-06	Club_SS2
RPL13A	0.62	1.77E-11	1.08E-06	Club_SS2
RPL5	0.63	1.98E-11	1.21E-06	Club_SS2
SLC4A7	1.3	2.07E-11	1.26E-06	Club_SS2
TSC22D1	0.91	2.45E-11	1.50E-06	Club_SS2
MUC211	1.39	2.95E-11	1.80E-06	Club_SS2
APOBEC3C	1.05	3.60E-11	2.19E-06	Club_SS2
CRTAC1	1.11	3.69E-11	2.25E-06	Club_SS2
CCND1	0.91	3.85E-11	2.34E-06	Club_SS2
QSOX1	0.74	3.88E-11	2.36E-06	Club_SS2
RPS3	0.52	4.55E-11	2.77E-06	Club_SS2
NOP53	0.73	4.55E-11	2.78E-06	Club_SS2
RPS19	0.56	5.14E-11	3.13E-06	Club_SS2
PLPP2	0.31	6.26E-11	3.82E-06	Club_SS2
VAMP5	1.02	6.49E-11	3.96E-06	Club_SS2
RPS14	0.58	6.83E-11	4.17E-06	Club_SS2
AC008038.1	0.57	7.50E-11	4.57E-06	Club_SS2
RPS5	0.64	7.96E-11	4.85E-06	Club_SS2
AC073861.1	0.55	8.03E-11	4.90E-06	Club_SS2
CYP2A7	1	8.15E-11	4.97E-06	Club_SS2
RNF145	0.79	9.39E-11	5.72E-06	Club_SS2
TMEM150C	1.8	1.23E-10	7.52E-06	Club_SS2
RPL27A	0.53	1.42E-10	8.63E-06	Club_SS2
PABPC1	0.85	1.42E-10	8.64E-06	Club_SS2
GDF15	1.35	1.43E-10	8.73E-06	Club_SS2
LAMB2	0.31	2.34E-10	1.43E-05	Club_SS2
FXYD5	0.84	2.40E-10	1.46E-05	Club_SS2
FAM83A	1.91	2.47E-10	1.50E-05	Club_SS2
RPL15	0.51	2.57E-10	1.57E-05	Club_SS2
RPL37	0.51	2.77E-10	1.69E-05	Club_SS2
RPLP0P6	0.64	2.87E-10	1.75E-05	Club_SS2
RPL37A	0.49	3.10E-10	1.89E-05	Club_SS2
RPL11	0.49	3.21E-10	1.96E-05	Club_SS2
PCP4L1	2.41	3.40E-10	2.07E-05	Club_SS2
CYBA	0.71	4.10E-10	2.50E-05	Club_SS2
RPS2	0.59	4.14E-10	2.52E-05	Club_SS2
CMAHP	0.59	4.76E-10	2.90E-05	Club_SS2
CAPN8	1.13	5.20E-10	3.17E-05	Club_SS2
ERBB3	0.58	5.67E-10	3.46E-05	Club_SS2
AGR3	0.63	6.60E-10	4.02E-05	Club_SS2
P2RY6	2.36	7.29E-10	4.45E-05	Club_SS2
SHC4	2.29	7.40E-10	4.51E-05	Club_SS2
RPS12	0.52	9.81E-10	5.98E-05	Club_SS2
KITLG	1.38	1.22E-09	7.46E-05	Club_SS2
TSPAN12	1.13	1.29E-09	7.85E-05	Club_SS2
CAPN13	0.64	1.35E-09	8.21E-05	Club_SS2
MEF2C	0.97	1.39E-09	8.50E-05	Club_SS2
RPS3A	0.52	1.43E-09	8.73E-05	Club_SS2
FOXN3	1.25	1.48E-09	9.03E-05	Club_SS2
TPT1	0.51	1.60E-09	9.73E-05	Club_SS2
VTCN1	2.51	1.71E-09	0.000104497	Club_SS2
GPRC5A	0.33	1.72E-09	0.000104763	Club_SS2
TFAP2C	1.03	1.88E-09	0.000114383	Club_SS2
CPAMD8	0.71	2.18E-09	0.000132711	Club_SS2
CYP27C1	2.04	2.18E-09	0.000132896	Club_SS2
RPL18A	0.45	2.48E-09	0.000151215	Club_SS2
RPL32	0.53	2.48E-09	0.000151352	Club_SS2
TCF7L2	1	2.49E-09	0.000151821	Club_SS2
ITGA9	1.62	2.52E-09	0.000153625	Club_SS2
ARFGEF3	0.64	3.23E-09	0.000197055	Club_SS2
RUNX1	0.78	3.42E-09	0.000208248	Club_SS2
RPL3	0.49	3.72E-09	0.000227002	Club_SS2
RPL7	0.56	3.84E-09	0.000234378	Club_SS2
RPS24	0.54	3.97E-09	0.000241857	Club_SS2
BICDL2	0.62	4.23E-09	0.000257637	Club_SS2
BID	1.4	4.24E-09	0.000258577	Club_SS2
RPL10A	0.56	4.55E-09	0.000277149	Club_SS2
KCNK5	2.03	4.75E-09	0.000289698	Club_SS2
RPS15A	0.62	4.75E-09	0.000289709	Club_SS2
RPL10	0.55	4.79E-09	0.000291784	Club_SS2
AL590867.2	0.83	4.93E-09	0.000300561	Club_SS2
EEF2	0.6	5.00E-09	0.000304927	Club_SS2
RPL15P3	0.55	5.25E-09	0.000320121	Club_SS2
RPS28P7	0.5	5.44E-09	0.000331922	Club_SS2
RPLP2	0.51	5.98E-09	0.000364478	Club_SS2
UPK2	2.84	6.36E-09	0.000388063	Club_SS2
IDH1	0.94	7.06E-09	0.000430225	Club_SS2
RPS21	0.45	7.67E-09	0.000467857	Club_SS2
INHBB	1.23	7.92E-09	0.000482917	Club_SS2
GSN	0.73	9.13E-09	0.000556653	Club_SS2
MLLT3	0.92	9.21E-09	0.000561321	Club_SS2
CYP2A13	1.26	9.67E-09	0.000589345	Club_SS2
TRIM5	1.03	1.10E-08	0.000672408	Club_SS2
ALDH1A1	0.47	1.18E-08	0.000722323	Club_SS2
RPL14	0.49	1.23E-08	0.000749313	Club_SS2
RPL34	0.58	1.33E-08	0.00080815	Club_SS2
BMPR1B	0.8	1.33E-08	0.000809772	Club_SS2
RPS28	0.53	1.37E-08	0.000832529	Club_SS2
ZFP36L1	0.3	1.38E-08	0.00084274	Club_SS2
RPL4P4	0.61	1.44E-08	0.000875128	Club_SS2
STK17B	0.69	1.46E-08	0.000891307	Club_SS2
RPL5P34	0.54	1.59E-08	0.000967368	Club_SS2
AC025580.1	2.24	1.63E-08	0.000996393	Club_SS2
RPS29	0.49	1.71E-08	0.001041862	Club_SS2
RPS16	0.58	2.00E-08	0.001220774	Club_SS2
AHR	0.73	2.02E-08	0.001234435	Club_SS2
SERPING1	0.51	2.04E-08	0.001242494	Club_SS2
GRAMD2B	0.91	2.06E-08	0.001257366	Club_SS2
RPL9	0.46	2.15E-08	0.00130897	Club_SS2
RPL28	0.44	2.17E-08	0.001325109	Club_SS2
SERPINI1	1.97	2.21E-08	0.001346864	Club_SS2
RNF125	1.43	2.40E-08	0.001464345	Club_SS2
CDK14	1.18	2.58E-08	0.001574451	Club_SS2
PTMA	0.4	2.69E-08	0.001640019	Club_SS2
DTX4	1.33	2.70E-08	0.00164806	Club_SS2
NECTIN4	1.13	3.02E-08	0.001838341	Club_SS2
RPL18	0.47	3.06E-08	0.001865391	Club_SS2
SCNN1G	0.67	3.37E-08	0.002056144	Club_SS2
ADRA2A	2.45	3.53E-08	0.002153337	Club_SS2
RPL3P4	0.46	3.74E-08	0.002280125	Club_SS2
AP001324.1	0.5	3.93E-08	0.002394548	Club_SS2
BDKRB2	1.7	4.28E-08	0.002611394	Club_SS2
IGSF10	2.35	4.30E-08	0.002619086	Club_SS2
MUC41	0.93	4.33E-08	0.002639001	Club_SS2
CYP2J2	1.14	4.75E-08	0.002897407	Club_SS2
TRIM22	1.1	4.77E-08	0.002907758	Club_SS2
AC026403.1	0.53	5.18E-08	0.003158788	Club_SS2
AP003064.2	0.81	5.56E-08	0.003392818	Club_SS2
WWTR1	0.77	5.79E-08	0.003527701	Club_SS2
KLK14	1.27	6.27E-08	0.00382108	Club_SS2
SLC15A2	0.83	6.58E-08	0.00401338	Club_SS2
MYC	0.97	6.83E-08	0.004165235	Club_SS2
TNFSF10	1.29	7.02E-08	0.004281331	Club_SS2
NPM1	0.49	7.07E-08	0.004308863	Club_SS2
RPS7	0.43	7.36E-08	0.004485458	Club_SS2
TMEM54	0.68	7.69E-08	0.004687594	Club_SS2
CXCL2	0.29	8.65E-08	0.005273595	Club_SS2
RPSA	0.5	9.59E-08	0.005846414	Club_SS2
SLC4A5	0.8	9.81E-08	0.00598142	Club_SS2
SUSD4	1.71	1.01E-07	0.006128794	Club_SS2
AKR1C1	1.01	1.10E-07	0.006712488	Club_SS2
EMP1	0.26	1.16E-07	0.00706125	Club_SS2
FABP5P7	0.44	1.19E-07	0.007281679	Club_SS2
LCN2	1.09	1.41E-07	0.008601091	Club_SS2
RPL26P19	0.88	1.42E-07	0.008635243	Club_SS2
ECE1	0.49	1.47E-07	0.008982036	Club_SS2
EPAS1	0.52	1.52E-07	0.009243367	Club_SS2
ZNRF1	1.06	1.54E-07	0.009359673	Club_SS2
SMARCC1	0.79	1.61E-07	0.00981931	Club_SS2
TMPRSS2	0.58	1.69E-07	0.010290565	Club_SS2
SPINK1	1.79	1.80E-07	0.010959388	Club_SS2
PLCE1	0.37	1.81E-07	0.01102814	Club_SS2
NACA	0.47	1.83E-07	0.011139575	Club_SS2
S100A16	0.79	1.86E-07	0.011337806	Club_SS2
MS4A15	0.25	1.87E-07	0.011385797	Club_SS2
FEZ2	0.93	1.88E-07	0.011437669	Club_SS2
RPS23P8	0.54	2.02E-07	0.012320656	Club_SS2
FABP5	0.42	2.03E-07	0.012349882	Club_SS2
RPL6	0.44	2.09E-07	0.012744878	Club_SS2
HMGB3	0.69	2.10E-07	0.012796382	Club_SS2
PTGS2	0.9	2.21E-07	0.013462506	Club_SS2
RPS3AP6	0.31	2.21E-07	0.013493854	Club_SS2
TENT5A	0.43	2.27E-07	0.013859188	Club_SS2
RIMS1	1.12	2.34E-07	0.014247485	Club_SS2
CXCL1	2.25	2.45E-07	0.014966479	Club_SS2
CHD3	1.14	2.56E-07	0.015587977	Club_SS2
MSI1	0.87	2.58E-07	0.015754111	Club_SS2
SYNGR1	1.99	2.77E-07	0.016902062	Club_SS2
AC007207.2	1.96	2.81E-07	0.017138692	Club_SS2
RPL7P9	0.55	2.84E-07	0.017312319	Club_SS2
AC113935.1	0.73	2.91E-07	0.01775666	Club_SS2
ARID5B	0.86	3.09E-07	0.018837179	Club_SS2
TMEM159	1.13	3.37E-07	0.020528224	Club_SS2
LTA4H	0.74	3.59E-07	0.021875248	Club_SS2
AC007969.1	0.48	3.62E-07	0.022097014	Club_SS2
AC005912.1	0.47	3.68E-07	0.022411833	Club_SS2
RPL37P2	0.42	3.91E-07	0.023820091	Club_SS2
ROBO2	0.44	4.18E-07	0.025461916	Club_SS2
OAT	1.17	4.21E-07	0.025668385	Club_SS2
CYTOR	2.94	4.27E-07	0.026033388	Club_SS2
RPL39P3	0.53	4.33E-07	0.026383697	Club_SS2
RPL41P1	0.5	4.50E-07	0.02745076	Club_SS2
BMP3	1.15	4.63E-07	0.028202518	Club_SS2
RPS2P46	0.61	4.65E-07	0.028367815	Club_SS2
APOD	1.57	4.72E-07	0.02876279	Club_SS2
BZW1	0.78	5.38E-07	0.032798921	Club_SS2
ABCC3	0.55	5.98E-07	0.036432453	Club_SS2
ANTXR2	0.44	6.13E-07	0.037384756	Club_SS2
AL450405.1	0.5	6.36E-07	0.038778085	Club_SS2
B4GALT5	0.98	6.57E-07	0.040048938	Club_SS2
RPL24	0.4	6.66E-07	0.040618773	Club_SS2
RPLP1	0.42	6.70E-07	0.040868866	Club_SS2
RPL26	0.42	7.27E-07	0.044329043	Club_SS2
PMAIP1	0.67	7.86E-07	0.047936432	Club_SS2
FBN1	1.54	7.87E-07	0.048003153	Club_SS2
TMEM190	2.85	0	0	Ciliated
CAPS	2.8	0	0	Ciliated
C9orf24	2.71	0	0	Ciliated
C20orf85	2.62	0	0	Ciliated
TPPP3	2.53	0	0	Ciliated
FAM183A	2.42	0	0	Ciliated
C1orf194	2.41	0	0	Ciliated
RSPH1	2.34	0	0	Ciliated
SNTN	2.26	0	0	Ciliated
CETN2	2.25	0	0	Ciliated
C11orf88	2.21	0	0	Ciliated
PIFO	2.16	0	0	Ciliated
ODF3B	2.12	0	0	Ciliated
C9orf116	2.12	0	0	Ciliated
C5orf49	2.11	0	0	Ciliated
C2orf40	2.07	0	0	Ciliated
LRRIQ1	2.07	0	0	Ciliated
DYNLRB2	2.01	0	0	Ciliated
ZMYND10	2	0	0	Ciliated
CAPSL	1.96	0	0	Ciliated
MORN2	1.95	0	0	Ciliated
C12orf75	1.95	0	0	Ciliated
